"short",name,url
"en2","england_champ",https://championship.predictthefootball.com
"en","england",https://premierleague.predictthefootball.com
"enf","fa cup",https://facup.predictthefootball.com/
"fr","france",https://ligue1.predictthefootball.com
"de","germany",https://bundesliga.predictthefootball.com
"gr","greece",https://superleague.predictthefootball.com
"it","italy",https://seriea.predictthefootball.com
"sc","scotland",https://scottish-premier.predictthefootball.com
"es","spain",https://laliga.predictthefootball.com
"se","sweden",https://allsvenskan.predictthefootball.com
"wwc","womens-wc",https://womensworldcup.predictthefootball.com
