game,res,league,howmany,scores
Dynamo Kyiv v Juventus                       ,21,euc,   259,0-2:1-2:1-1:1-3:0-1:0-3
Zenit St Petersburg v Club Bruges            ,0 ,euc,   259,2-1:2-0:1-0:1-1:3-1:3-0
Barcelona v Ferencvárosi TC                  ,10,euc,   272,3-0:4-0:2-0:5-0:3-1:4-1
Chelsea v Sevilla                            ,0 ,euc,   272,2-1:1-1:2-2:1-2:2-0:1-0:3-2:0-1
Lazio v B Dortmund                           ,2 ,euc,   273,1-2:1-1:1-3:2-2:0-1:0-2:2-1:2-3
PSG v Man Utd                                ,10,euc,   273,2-1:3-1:2-0:3-0:2-2:1-1:4-1
RB Leipzig v Istanbul Basaksehir             ,10,euc,   272,2-0:3-0:3-1:2-1:1-0:4-0
Rennes v FK Krasnodar                        ,0 ,euc,   272,2-1:1-0:1-1:2-0:2-2:0-1
RB Salzburg v Lokomotiv Moscow               ,0 ,euc,   256,2-1:2-0:1-1:1-0:1-2:3-1:0-1
Real Madrid v Shakhtar Donetsk               ,10,euc,   255,2-0:3-1:3-0:2-1:1-0
Ajax v Liverpool                             ,2 ,euc,   253,1-2:1-1:2-2:1-3:2-1:0-2:2-3:0-1
Bayern Munich v Atl Madrid                   ,10,euc,   253,2-1:2-0:3-1:1-0:1-1:3-0:3-2
FC Midtjylland v Atalanta                    ,21,euc,   253,0-2:1-2:1-3:0-1:0-3:1-1:1-4
Inter Milan v B Mgladbach                    ,10,euc,   253,2-0:2-1:1-0:3-1:1-1:3-0
Man City v FC Porto                          ,10,euc,   253,3-1:2-0:3-0:2-1:1-0:4-1
Olympiakos v Marseille                       ,X ,euc,   253,1-1:1-2:1-0:2-1:0-1:2-2:2-0:0-0
B Leverkusen v Nice                          ,10,eue,    77,2-1:2-0:3-1:1-1:1-0
CSKA Sofia v CFR Cluj                        ,X ,eue,    77,1-1:2-0:2-1:1-0:1-2:0-1
Dundalk v Molde                              ,X ,eue,    77,1-1:1-2:0-1:2-1:1-0:0-2:1-3
Hapoel Be'er Sheva v Slavia Prague           ,X ,eue,    77,1-2:0-2:1-1:0-1:2-1:2-0:2-2
HNK Rijeka v Real Sociedad                   ,21,eue,    77,1-2:0-2:1-3:0-1:0-3:1-1
Lech Poznan v Benfica                        ,21,eue,    77,1-2:1-3:0-2:1-1:0-1:0-3:2-2
Napoli v AZ Alkmaar                          ,10,eue,    77,2-0:3-1:2-1:3-0:1-0:4-1
PAOK Salonika v Omonia Nicosia               ,0 ,eue,    76,1-1:2-0:1-0:2-1:1-2
PSV Eindhoven v Granada                      ,10,eue,    76,2-1:2-0:3-1:1-0:1-1:1-2:2-2:3-0
Rapid Vienna v Arsenal                       ,21,eue,    76,1-2:1-3:0-2:0-3:0-1:1-1
Standard Liege v Rangers                     ,X ,eue,    76,1-1:1-2:2-1:1-0:2-2:0-1:2-0
Young Boys v Roma                            ,2 ,eue,    76,1-2:0-2:1-1:1-3:0-1
Celtic v AC Milan                            ,21,eue,    76,1-2:0-2:1-3:1-1:0-1:1-0:2-2
Dinamo Zagreb v Feyenoord                    ,X ,eue,    76,1-1:2-1:2-0:2-2:0-1:1-0:1-2:0-2:1-3
Hoffenheim v Red Star Belgrade               ,10,eue,    76,2-1:2-0:3-1:1-1:1-0:3-0:1-2
Leicester v Zorya Luhansk                    ,10,eue,    76,2-0:3-0:2-1:4-0:3-1:1-1
Ludogorets v Royal Antwerp                   ,0 ,eue,    76,1-1:2-1:2-0:1-0:1-2
Maccabi Tel-Aviv v FK Qarabag                ,X ,eue,    76,1-1:2-1:2-0:0-2:1-2:3-1:1-0
RZ Pellets WAC v CSKA Moscow                 ,21,eue,    76,1-2:0-2:0-1:0-3:1-3:1-1
Slovan Liberec v KAA Gent                    ,X ,eue,    76,1-2:1-1:2-1:0-1:2-0
Sparta Prague v Lille                        ,X ,eue,    76,1-1:1-2:2-1:0-2:2-0:1-3:2-2:0-1
Sporting Braga v AEK Athens                  ,0 ,eue,    76,1-1:2-1:2-0:1-2:1-0:3-1:2-2
Tottenham v LASK                             ,10,eue,    76,3-0:2-0:4-0:3-1:4-1:2-1
Villarreal v Sivasspor                       ,10,eue,    76,2-0:3-0:2-1:3-1:1-0
Aston Villa v Leeds                          ,0 ,en ,  1812,2-1:1-1:2-2:1-2:2-0:1-0:3-1:0-1
West Ham v Man City                          ,21,en ,  1780,1-3:1-2:0-2:0-3:1-1:1-4:2-2
Fulham v Crystal Palace                      ,2 ,en ,  1775,1-1:1-2:0-1:0-2:1-0:2-1:0-0
Man Utd v Chelsea                            ,X ,en ,  1779,2-2:2-1:1-2:1-1:1-3:3-2:2-3
Liverpool v Sheff Utd                        ,10,en ,  1776,3-0:2-0:3-1:4-0:2-1:4-1:1-0
Southampton v Everton                        ,2 ,en ,  1762,1-2:1-1:1-3:2-2:0-2:2-1:0-1
Wolves v Newcastle                           ,10,en ,  1759,2-0:2-1:1-0:1-1:3-1:2-2
Arsenal v Leicester                          ,0 ,en ,  1759,2-1:2-0:1-1:2-2:3-1:1-0:1-2
Brighton v West Brom                         ,0 ,en ,  1757,1-0:2-0:1-1:2-1:0-0:1-2
Burnley v Tottenham                          ,21,en ,  1759,1-3:1-2:0-2:0-3:1-4:1-1:0-1:0-4
Bristol City v Middlesbrough                 ,10,en2,   220,2-1:2-0:1-0:1-1:3-1:1-2:0-1
Coventry v Swansea                           ,2 ,en2,   219,1-2:1-1:0-1:0-2:1-3:1-0:2-1
Huddersfield v Derby                         ,X ,en2,   220,1-1:2-0:2-1:1-0:1-2:0-1:0-2
Millwall v Luton                             ,0 ,en2,   220,2-1:2-0:1-1:1-0:1-2:3-1:0-1
