game,res,league,howmany,scores
Cardiff v Reading,X,en2,376,1-1:2-1:1-0:1-2:2-0:0-1:2-2:0-0
Millwall v Sheff Utd,2,en2,381,1-2:1-1:2-1:1-3:0-2:0-1:1-0:2-2:2-3
Blackburn v Swansea,0,en2,374,2-0:2-1:1-0:1-1:0-1:1-2:0-2:2-2
Blackpool v Stoke,X,en2,375,1-1:1-2:0-1:2-1:0-2:1-0:0-0:1-3
Huddersfield v Birmingham,X,en2,377,1-1:1-2:2-1:0-2:1-0:0-1:0-0:2-0
Hull v Preston,X,en2,378,1-1:2-1:1-0:1-2:2-0:0-1
Luton v Burnley,2,en2,379,1-2:1-1:1-3:0-2:0-1:2-1:1-0:2-2
Middlesbrough v QPR,10,en2,380,2-0:3-1:3-0:2-1:1-0:1-2
Rotherham v Coventry,X,en2,382,1-1:1-2:1-0:2-1:0-1:2-0:2-2:0-0
Sunderland v Bristol City,10,en2,383,2-0:2-1:1-0:1-1:2-2
Wigan v Norwich,21,en2,385,0-2:1-2:1-1:1-3:0-1:1-0:0-3:2-1
Watford v West Brom,X,en2,384,2-1:1-1:2-2:1-0:1-2:0-1:2-0:0-0
Blackburn v Blackpool,10,en2,326,2-0:2-1:1-0:3-0:1-1:3-1:1-2:0-0
Millwall v Burnley,2,en2,331,1-2:1-1:0-2:0-1
Norwich v Birmingham,10,en2,332,2-0:2-1:1-0:3-1:1-1:1-2:0-1:3-0
Rotherham v Sunderland,2,en2,335,1-2:1-1:0-1:0-2:2-1:0-0:1-0:1-3
Swansea v Stoke,0,en2,336,2-1:1-1:2-0:1-0:1-2:2-2:0-1
Aston Villa v Arsenal,21,en,231,1-2:0-2:1-1:1-3:0-1
Brentford v Crystal Palace,0,en,232,2-1:2-0:1-0:1-1:3-1:1-2
Brighton v Fulham,0,en,233,2-1:1-1:2-0:1-0:2-2:1-2
Chelsea v Southampton,10,en,234,2-0:3-0:2-1:1-0:3-1:1-1
Everton v Leeds,0,en,235,1-1:1-0:2-1:2-0:1-2:0-0:0-1
Nottm Forest v Man City,21,en,238,0-3:0-2:1-3:0-4:1-2:1-4:0-1
Wolves v Bournemouth,0,en,240,2-0:1-0:2-1:1-1:0-0
Newcastle v Liverpool,X,en,237,2-1:1-1:1-2:2-2:2-0:1-0:0-1
Man Utd v Leicester,10,en,236,2-1:2-0:3-1:2-2:3-0:1-0:1-1:3-2
Tottenham v West Ham,0,en,239,2-1:2-0:1-1:1-0:3-1:2-2:1-2
Stoke v Brighton,21,enf,134,1-2:1-3:0-2:0-1:0-3:2-1
Leicester v Blackburn,10,enf,131,2-1:2-0:3-1:3-0:1-0
Fulham v Leeds,1,enf,135,2-1:1-2:2-0:1-0:1-1:2-2:0-2:0-1
Bristol City v Man City,21,enf,130,0-3:0-4:0-2:1-2:1-3:0-1:0-5:1-4
Southampton v Grimsby,10,enf,133,2-0:1-0:2-1:3-1:3-0:1-2:1-1:4-0
Burnley v Fleetwood,10,enf,137,2-0:2-1:3-0:1-0:3-1:4-1
Man Utd v West Ham,10,enf,132,2-1:2-0:3-1:3-0:1-0:0-1:1-1
Sheff Utd v Tottenham,21,enf,136,1-2:0-2:1-3:1-1:2-1:0-1:0-3:1-0
Auxerre v Lyon,21,fr,231,0-2:1-2:0-3:0-1:1-1:1-3:1-0
Nice v Reims,10,fr,235,2-1:2-0:3-1:1-0:1-1:0-0:2-2:3-0:1-2:3-2
Strasbourg v Angers,0,fr,238,2-0:1-0:1-1:2-1:3-1:0-1
PSG v Lille,10,fr,236,2-0:2-1:3-1:1-1:1-2:3-0:1-0:0-1:4-1:0-0:2-2:3-2
Brest v Monaco,21,fr,232,1-2:0-2:1-1:0-1:1-3:1-0:0-3
Lorient v Ajaccio,0,fr,234,1-0:1-1:2-1:2-0:0-0:0-1:1-2:2-2:3-0:3-1
Rennes v Clermont,10,fr,237,1-0:2-1:2-0:1-1:3-1:1-2:2-2
Troyes v Montpellier,X,fr,240,1-2:1-1:2-1:0-1:1-0:0-0:2-0:0-2:2-2:2-3:3-1
Lens v Nantes,0,fr,233,1-0:2-1:1-1:2-0:0-1:3-1:1-2:2-2:3-2:3-3
Toulouse v Marseille,2,fr,239,1-2:1-1:0-2:0-1:1-3:1-0:1-4:2-1:2-2
Augsburg v Hoffenheim,0,de,186,1-1:2-1:1-2:1-0:2-0:2-2:3-1:0-0:0-2
B Mgladbach v Bayern Munich,21,de,184,1-2:1-3:0-2:2-1:0-1:0-3:1-1:2-2:0-4:1-0:2-0:2-3:2-4
Stuttgart v Köln,X,de,187,2-1:1-0:1-1:1-2:2-0:0-1:2-2:0-2:3-1
VfL Bochum v Freiburg,X,de,188,1-2:1-1:0-1:2-1:1-3:1-0:0-0:0-2:0-3:2-0
Wolfsburg v RB Leipzig,X,de,189,1-2:0-2:1-1:2-2:0-1:1-0:1-3:2-1:2-3:2-0:3-2
Frankfurt v Werder Bremen,0,de,185,2-1:2-0:1-1:1-0:3-1:1-2:3-0:0-1:0-2:2-2
Union Berlin v Schalke,10,de,181,2-0:3-0:2-1:3-1:1-0:1-1:4-1:0-1:1-2
B Dortmund v Hertha Berlin,10,de,183,2-0:3-1:2-1:3-0:1-0:4-0:5-0
B Leverkusen v Mainz,10,de,182,2-1:2-0:1-0:3-1:1-1:1-2:2-2:3-0:0-1
Panathinaikos v Volos NFC,0,gr,159,2-0:3-0:1-1:3-1:2-1:0-0:1-0:2-2
Asteras Tripolis v PAS Giannina,0,gr,155,1-0:2-1:1-1:0-0:1-2:2-0
Lamia v Olympiakos,21,gr,157,0-2:0-3:0-1:1-2:1-3:1-1:0-4
Panetolikos v Ionikos FC,X,gr,160,1-1:1-0:2-1:2-0:1-2:0-1:0-0:0-2:3-1
PAOK Salonika v AEK Athens,X,gr,161,1-1:1-2:1-0:2-2:0-0:2-1:0-1:0-2:1-3:3-1
Atromitos Athens v Levadiakos,0,gr,156,2-0:1-0:1-1:0-0:2-1:0-1:2-2
OFI v Aris,X,gr,158,1-0:1-1:2-1:1-2:0-1:2-0:0-0:0-2
Sassuolo v Napoli,2,it,228,1-2:0-2:1-3:0-0:0-1:1-1:2-2:2-3:0-3:1-0
Sampdoria v Bologna,X,it,227,1-1:1-2:2-1:1-0:0-1:0-0:0-2:2-0:2-2
Monza v AC Milan,21,it,224,1-2:0-1:0-2:1-1:1-3:1-0:2-1
Inter Milan v Udinese,10,it,223,2-0:2-1:1-0:3-1:0-1:1-1:3-0:4-0
Atalanta v Lecce,10,it,221,2-0:2-1:3-0:1-0:3-1:1-1:1-2:4-1
Fiorentina v Empoli,0,it,222,1-0:1-1:2-0:2-1:0-1:1-2:0-0:2-2
