game,res,league,howmany,scores
Bristol City v Cardiff,X,en2,329,1-1:2-1:1-2:2-0:1-0:2-2
Nottm Forest v Derby,X,en2,331,2-1:1-1:2-0:1-2:1-0:2-2:0-1:3-1
Birmingham v Barnsley,0,en2,325,2-0:2-1:1-0:1-1:0-1:0-0:1-2
Blackpool v Millwall,X,en2,327,2-1:1-1:1-0:2-0:1-2:0-0:0-1
Bournemouth v Hull,10,en2,328,2-0:2-1:3-0:3-1:1-0
Coventry v QPR,X,en2,330,1-1:1-2:2-1:2-2:0-1:1-0:1-3:2-0
Reading v Huddersfield,X,en2,332,1-1:1-2:0-2:2-1:1-0:0-1:0-0:2-0
Sheff Utd v Luton,0,en2,333,2-1:2-0:1-1:1-2:0-2:1-0:3-1:2-2
Stoke v Fulham,21,en2,334,1-2:1-3:1-1:0-2:2-1:1-4:0-3
Swansea v Preston,0,en2,335,1-1:2-1:1-0:2-0:1-2:0-1:3-1
West Brom v Peterborough,10,en2,336,2-0:3-0:1-0:2-1:3-1:4-0
Blackburn v Middlesbrough,0,en2,326,2-1:1-1:2-0:1-2:2-2:1-0:3-1
Birmingham v Peterborough,10,en2,289,2-0:2-1:1-0:1-1:3-0:0-0:1-2:2-2
Coventry v Stoke,X,en2,270,2-1:1-1:1-2:1-0:2-0:0-1:2-2:0-0
Luton v Bristol City,0,en2,283,2-1:2-0:1-1:1-0:2-2:1-2:3-1
Nottm Forest v Barnsley,10,en2,307,2-0:2-1:3-0:1-0:1-1:3-1
QPR v Swansea,10,en2,275,2-1:2-0:1-0:1-1:1-2:2-2:3-1
West Brom v Preston,10,en2,300,2-0:2-1:1-0:1-1:3-1:3-0:0-1
Watford v Norwich,0,en,230,2-1:1-1:1-0:2-0:1-2:0-1
Everton v Aston Villa,X,en,225,1-2:1-1:0-2:2-1:0-1:1-3:2-2:1-0
Brentford v Wolves,X,en,222,1-1:1-2:0-1:2-1:0-2:1-0:2-2:0-0
Leeds v Newcastle,0,en,226,2-1:2-0:1-1:1-0:3-1:1-2:2-2:0-1
Man Utd v West Ham,X,en,228,2-1:1-1:1-2:2-2:2-0:3-1:1-0
Southampton v Man City,21,en,229,1-3:0-3:0-2:1-2:0-4:1-4:0-1:1-1
Arsenal v Burnley,10,en,221,2-0:3-0:2-1:1-0:3-1:1-1
Crystal Palace v Liverpool,21,en,224,1-2:1-3:0-2:1-1:0-3:0-1
Leicester v Brighton,0,en,227,2-1:1-1:2-0:1-0:1-2:2-2
Chelsea v Tottenham,0,en,223,2-1:2-0:1-1:2-2:1-2:1-0:3-1
Man Utd v Middlesbrough,10,enf,195,2-0:3-1:2-1:3-0:1-2:1-1:0-1:4-1
Chelsea v Plymouth,10,enf,184,3-0:4-0:2-0:4-1:5-0:1-0:2-1:3-1:5-1
Kidderminster v West Ham,21,enf,188,0-3:1-3:0-2:0-5:1-2:1-4:0-4:1-0:1-1
Crystal Palace v Hartlepool,10,enf,185,2-0:3-0:3-1:2-1:4-1:0-1:1-0:1-2
Everton v Brentford,X,enf,186,1-1:2-1:1-2:1-0:2-0:0-2
Huddersfield v Barnsley,10,enf,187,2-1:2-0:1-1:1-0:3-1:0-1:0-2:3-0
Man City v Fulham,10,enf,190,3-0:4-0:2-1:4-1:3-1:5-0:5-1:1-2:2-0:3-2:0-1:1-0:2-2
Peterborough v QPR,1,enf,192,1-2:0-1:2-1:0-2:1-1:1-0:1-3:2-0:2-3
Southampton v Coventry,10,enf,193,2-0:2-1:1-1:3-1:3-0:1-0:0-1:1-2
Stoke v Wigan,1,enf,194,2-1:2-0:1-1:1-0:1-2:0-0:0-1:3-1:3-2:0-2
Wolves v Norwich,10,enf,197,2-0:2-1:3-0:3-1:1-0:1-1:0-1:1-2:4-0
Cambridge v Luton,1,enf,183,1-2:2-1:0-1:1-1:0-2:1-0:1-3:2-2:2-3:3-2
Tottenham v Brighton,10,enf,196,2-1:2-0:1-1:1-0:3-0:0-1:1-2:2-2:3-1:3-2
Liverpool v Cardiff,10,enf,189,3-0:4-0:2-0:3-1:2-1:4-1:5-1:1-0:5-0:0-1
Nottm Forest v Leicester,1,enf,191,1-2:1-3:2-1:1-1:0-1:1-0:0-2:2-3:3-2
Bournemouth v Boreham Wood,10,enf,182,2-0:3-0:4-0:3-1:2-1:1-0:0-1:1-1:4-1
Lyon v Saint-Étienne,10,fr,216,2-0:2-1:1-0:1-1:3-0:3-1:3-2:4-0
Brest v Lille,2,fr,213,1-2:1-1:0-2:0-1:1-3:1-0:2-1:2-2
Lens v Marseille,2,fr,215,1-2:1-1:0-1:2-1:2-2:0-2:1-3:1-0
Metz v Nice,21,fr,217,1-2:0-1:0-2:1-1:1-0:2-0:1-3:2-3
Angers v Troyes,0,fr,211,1-0:2-1:1-1:2-0:0-1:0-0:0-2:1-2
Bordeaux v Strasbourg,1,fr,212,1-2:2-1:0-1:1-0:1-1:0-2:1-3:0-0:0-3:2-0:2-2:2-3
Clermont v Rennes,2,fr,214,0-2:1-1:1-2:0-1:1-0:1-3:0-3
Nantes v Lorient,0,fr,219,1-0:2-1:1-1:2-0:3-1:0-1
Montpellier v Monaco,2,fr,218,1-1:1-2:0-1:0-2:1-3:2-2:1-0:2-1
PSG v Reims,10,fr,220,2-0:3-0:2-1:3-1:4-0:1-1:0-1:1-0:4-1
Angers v Saint-Étienne,X,fr,191,1-1:1-0:1-2:2-0:2-1:0-1
Frankfurt v Arminia Bielefeld,10,de,174,2-1:2-0:3-1:1-0:1-1:3-0
B Leverkusen v Augsburg,10,de,172,2-0:3-1:2-1:1-0:3-0:1-1
B Mgladbach v Union Berlin,X,de,173,2-1:1-1:1-2:2-0:1-0:3-1:2-2
Freiburg v Stuttgart,X,de,177,2-1:1-1:1-2:1-0:0-2:0-1:2-0:3-1
