game,res,league,howmany,scores
Lazio v Club Bruges                          ,10,euc,    40,2-1:2-0:3-1:1-0:1-1:1-3:3-0
Zenit St Petersburg v B Dortmund             ,2 ,euc,    40,1-2:0-2:1-3:2-2:0-3
Barcelona v Juventus                         ,X ,euc,    40,2-1:1-2:3-2:1-1:2-2:3-1:2-0
Chelsea v FK Krasnodar                       ,10,euc,    40,3-0:2-0:4-0:1-0:2-1:3-1
Dynamo Kyiv v Ferencvárosi TC                ,10,euc,    40,2-0:1-0:2-1:3-1:1-1:1-2:3-0:4-0
PSG v Istanbul Basaksehir                    ,10,euc,    40,3-0:4-0:3-1:4-1:0-0:0-1:2-0:2-1
RB Leipzig v Man Utd                         ,X ,euc,    40,2-1:1-2:1-0:2-2:1-1:3-1
Rennes v Sevilla                             ,2 ,euc,    40,1-1:1-2:0-2:0-0:1-0:1-3:0-1:0-3
Ajax v Atalanta                              ,X ,euc,    40,2-1:2-0:1-1:1-2:2-3:2-2:1-0:2-4
FC Midtjylland v Liverpool                   ,21,euc,    40,1-2:0-2:0-3:0-4:1-3:1-4:0-1:2-1
Bayern Munich v Lokomotiv Moscow             ,10,euc,    40,3-0:4-0:5-0:2-0:2-1:3-1:4-1
Inter Milan v Shakhtar Donetsk               ,10,euc,    40,2-1:2-0:2-2:3-1:3-2:3-0
Man City v Marseille                         ,10,euc,    41,2-1:3-1:2-0:3-0:4-0:1-0:1-1:1-2:4-1
Olympiakos v FC Porto                        ,2 ,euc,    41,1-1:1-2:0-2:0-1:1-0:2-0:2-1:2-2
RB Salzburg v Atl Madrid                     ,2 ,euc,    41,1-2:1-1:2-2:0-2:1-3:0-0:0-1:1-0:2-1
Real Madrid v B Mgladbach                    ,10,euc,    41,2-1:3-1:3-0:3-2:1-1:2-0:1-2:1-3:2-2
AC Milan v Celtic                            ,10,eue,   100,2-0:2-1:3-0:3-1:1-0:4-0:1-1:4-1
AEK Athens v Sporting Braga                  ,X ,eue,   100,1-2:2-1:1-1:0-1:1-0:0-2:1-3:2-0:2-2
CSKA Moscow v RZ Pellets WAC                 ,10,eue,   100,2-0:2-1:1-0:1-1:3-0:3-1
Feyenoord v Dinamo Zagreb                    ,0 ,eue,   100,2-1:1-1:1-0:1-2:2-0:3-1:0-1:2-2
FK Qarabag v Maccabi Tel-Aviv                ,X ,eue,    99,1-1:2-1:1-0:1-2:0-1:0-2:0-0
KAA Gent v Slovan Liberec                    ,10,eue,    98,2-1:2-0:1-0:1-1:3-1:0-1:1-2:3-0
LASK v Tottenham                             ,21,eue,    99,0-2:1-2:1-3:0-3:0-1:0-4:1-1:1-4
Lille v Sparta Prague                        ,10,eue,    99,2-1:2-0:1-0:1-1:2-2:3-1:1-2
Red Star Belgrade v Hoffenheim               ,X ,eue,    99,1-2:1-1:2-1:1-3:0-1:1-0:2-2:0-0:0-2
Royal Antwerp v Ludogorets                   ,10,eue,    99,2-0:2-1:1-1:1-0:3-0:3-1:1-2
Sivasspor v Villarreal                       ,21,eue,    99,1-2:0-2:1-3:1-1:0-3:0-1
Zorya Luhansk v Leicester                    ,21,eue,    99,0-2:1-2:0-3:1-3:0-1:1-1:2-1
Arsenal v Rapid Vienna                       ,10,eue,    98,2-0:2-1:3-1:3-0:1-1:4-1:1-0
AZ Alkmaar v Napoli                          ,2 ,eue,    98,1-2:1-1:0-1:0-2:1-3:2-1:0-3:2-2
Benfica v Lech Poznan                        ,10,eue,    98,2-0:2-1:3-0:3-1:1-1:4-0
CFR Cluj v CSKA Sofia                        ,0 ,eue,    97,1-1:1-0:2-0:2-1:1-2
Granada v PSV Eindhoven                      ,X ,eue,    98,2-1:1-1:1-2:2-2:1-0:2-0:1-3:3-1
Molde v Dundalk                              ,10,eue,    97,2-0:2-1:1-1:3-0:1-0:3-1:4-1
Nice v B Leverkusen                          ,2 ,eue,    98,1-2:1-1:1-3:2-2:2-1:0-2:0-3:2-3
