game,res,league,howmany,scores
Barcelona v PSG                              ,X ,euc,    14,2-1:2-2:3-2:0-0:1-0:1-2:1-3:3-1
RB Leipzig v Liverpool                       ,X ,euc,    14,2-1:1-2:1-1:1-3:0-1:0-2:1-0
FC Porto v Juventus                          ,X ,euc,    14,1-2:0-1:2-2:0-2:1-0:1-1:1-3:2-1
Sevilla v B Dortmund                         ,X ,euc,    14,1-1:0-2:1-0:2-1:2-2:0-0:1-3:2-0
Atl Madrid v Chelsea                         ,0 ,euc,    14,2-1:2-2:0-2:1-0:2-0
Lazio v Bayern Munich                        ,21,euc,    14,1-2:0-2:0-3:1-3:0-1:1-1
Atalanta v Real Madrid                       ,2 ,euc,    14,1-2:1-1:1-3:0-2:2-1:2-2:2-3
B Mgladbach v Man City                       ,1 ,euc,    14,1-2:0-2:1-0:1-3:0-3:2-1:2-2:3-1
B Dortmund v Sevilla                         ,X ,euc,     9,2-1:1-1:1-2:2-0
Juventus v FC Porto                          ,0 ,euc,     8,2-0:2-1:3-1:1-0:2-2
Liverpool v RB Leipzig                       ,0 ,euc,     8,3-1:2-0:1-0:1-1:2-2
PSG v Barcelona                              ,1 ,euc,     8,2-1:1-2:2-0:3-1
Man City v B Mgladbach                       ,0 ,euc,     8,3-1:1-1:2-0:2-1:3-0
Real Madrid v Atalanta                       ,1 ,euc,     8,2-0:3-1:1-2:2-1:3-2
Bayern Munich v Lazio                        ,10,euc,     8,3-1:2-0:2-1:3-0:4-2
Chelsea v Atl Madrid                         ,X ,euc,     8,1-1:2-1:0-0:1-0:1-2:2-0
Dynamo Kyiv v Club Bruges                    ,X ,eue,     7,2-0:1-2:1-1:2-1
FK Krasnodar v Dinamo Zagreb                 ,X ,eue,     7,1-0:1-2:0-1:1-1:2-1
Olympiakos v PSV Eindhoven                   ,X ,eue,     7,1-0:1-1:1-2:2-2:5-3
Real Sociedad v Man Utd                      ,X ,eue,     7,0-1:1-2:2-0:2-1:2-2
Red Star Belgrade v AC Milan                 ,2 ,eue,     7,1-2:0-2:1-1
RZ Pellets WAC v Tottenham                   ,2 ,eue,     7,1-3:1-2:0-0:0-2
Slavia Prague v Leicester                    ,X ,eue,     7,0-1:1-2:1-0:1-1:1-3
Sporting Braga v Roma                        ,X ,eue,     7,1-2:2-1:0-0:1-1
Young Boys v B Leverkusen                    ,X ,eue,     7,0-1:1-1:1-2:1-0
Benfica v Arsenal                            ,X ,eue,     7,1-2:0-0:0-1:1-1:1-3:2-0
Granada v Napoli                             ,X ,eue,     7,1-2:2-1:0-2:1-0:1-1
Lille v Ajax                                 ,X ,eue,     7,1-1:1-2:0-1:1-0:2-0
Maccabi Tel-Aviv v Shakhtar Donetsk          ,X ,eue,     7,1-2:1-1:1-3:2-1:2-2
