game,res,league,howmany,scores
Barnsley v Cardiff,X,en2,349,1-1:1-2:0-1:2-1:2-0:0-2:0-0:1-0
Huddersfield v Derby,0,en2,352,2-1:1-1:2-0:1-0:1-2:2-2
Birmingham v Sheff Utd,X,en2,350,1-2:1-1:0-2:2-1:2-0:0-1:1-0:1-3
Blackpool v Bristol City,0,en2,351,2-1:1-1:1-0:2-0:3-1:2-2
Hull v Preston,0,en2,353,1-1:2-1:1-0:1-2:2-0:3-1:2-2
Reading v Stoke,X,en2,358,1-1:0-2:1-2:2-1:0-1:1-0:1-3:2-2
Swansea v Blackburn,X,en2,359,1-2:2-1:1-1:2-0:2-2:0-2:1-0:1-3:0-0
Burnley v Watford,X,en,164,1-1:1-0:2-1:1-2:0-0:0-1:2-0:2-2:0-2
Newcastle v Everton,X,en,237,1-1:2-1:1-0:1-2:2-0:2-2:0-1
West Ham v Watford,10,en,235,2-0:2-1:3-1:3-0:1-0:1-1
Burnley v Man Utd,21,en,233,0-2:1-2:1-3:0-1:1-1:0-3
Man City v Brentford,10,en,240,3-0:4-0:2-0:3-1:4-1:2-1:5-0
Norwich v Crystal Palace,X,en,234,1-1:1-2:2-1:0-1:0-2:1-0:2-2
Tottenham v Southampton,0,en,238,2-1:2-0:1-1:1-0:2-2:3-1:1-2
Aston Villa v Leeds,0,en,231,2-1:2-0:1-1:1-0:2-2:3-1:1-2
Liverpool v Leicester,10,en,239,2-1:3-1:2-0:3-0:3-2:1-0:1-1:2-2
Wolves v Arsenal,X,en,236,1-1:1-2:2-1:1-0:2-2:0-1:0-0:0-2:2-0
Man Utd v Middlesbrough,10,enf,195,2-0:2-1:3-1:3-0:1-2
Chelsea v Plymouth,10,enf,184,3-0:4-0:2-0:5-0:4-1:5-1
Kidderminster v West Ham,21,enf,188,0-3:1-3:0-2:1-4:1-2:0-5:0-4
Crystal Palace v Hartlepool,10,enf,185,2-0:3-0:2-1:3-1:1-0
Everton v Brentford,X,enf,186,2-1:1-2:1-1:1-0:2-0
Huddersfield v Barnsley,10,enf,187,2-1:2-0:1-0:1-1:3-1:0-1:1-2:3-0
Man City v Fulham,10,enf,190,3-0:3-1:2-1:4-0:4-1:2-0:5-1:3-2:5-0:1-2
Peterborough v QPR,21,enf,192,1-2:0-1:2-1:0-2:1-1:1-3
Southampton v Coventry,10,enf,193,2-0:2-1:3-1:1-1:3-0:1-0:1-2
Stoke v Wigan,10,enf,194,2-1:1-0:2-0:1-1:1-2
Wolves v Norwich,10,enf,197,2-0:2-1:3-1:1-0:3-0:1-1
Cambridge v Luton,1,enf,183,1-2:2-1:0-1:1-1:1-3:0-2:1-0:0-3
Tottenham v Brighton,10,enf,196,2-1:1-1:2-0:1-0:3-1:1-2:3-0
Liverpool v Cardiff,10,enf,189,3-0:4-0:2-0:4-1:3-1:2-1:1-0:5-0:5-1
Nottm Forest v Leicester,21,enf,191,1-2:1-3:2-1:1-1:0-1:0-2:1-0:2-3
Bournemouth v Boreham Wood,10,enf,182,3-0:2-0:4-0:2-1:3-1:1-0:4-1
Marseille v Angers,10,fr,223,1-0:2-0:2-1:3-0:3-1:0-0:1-1:1-2
Saint-Étienne v Montpellier,X,fr,228,1-1:1-2:2-1:1-0:0-1:0-0:2-0:0-2:0-3:2-2:3-1
Monaco v Lyon,X,fr,224,2-1:1-2:1-1:0-1:1-0:2-2:3-1:0-0:1-3:2-0:2-3:2-4:4-1
Lorient v Lens,X,fr,222,1-1:0-1:1-2:0-2:2-1:0-0:1-0:2-0:0-3:1-3
Nice v Clermont,10,fr,225,1-0:2-1:1-1:2-0:3-1:3-0:0-0:1-2:5-1
Reims v Bordeaux,X,fr,226,1-1:1-0:0-0:1-2:2-1:0-1:2-0:2-2:0-2
Strasbourg v Nantes,X,fr,229,1-0:2-1:1-2:1-1:0-0:0-1:0-2:0-3:0-4:1-3:2-2:3-0:3-1:4-2
Troyes v Metz,X,fr,230,1-1:1-0:0-0:1-2:2-1:0-1:0-2:2-0:2-2:2-5:3-2
Rennes v Brest,0,fr,227,2-1:2-0:1-1:1-0:3-1:4-1:0-0:1-2:2-3:3-0:3-2
Lille v PSG,2,fr,221,1-2:1-1:1-3:0-1:2-2:1-0:2-1:0-0:0-2
Hertha Berlin v VfL Bochum,0,de,187,2-1:1-0:1-1:1-2:2-0:3-1:0-1:2-2
Arminia Bielefeld v B Mgladbach,X,de,184,1-2:1-1:1-3:0-1:1-0:2-1:0-2:0-3:2-0
Augsburg v Union Berlin,X,de,185,1-1:1-2:0-1:0-2:2-1:1-0:2-0:1-3
Köln v Freiburg,X,de,181,1-1:2-1:1-2:2-2:1-0:2-0:0-0:0-2:3-1:0-1:2-3
Mainz v Hoffenheim,X,de,182,2-1:1-1:1-2:1-0:2-0:2-2:0-2:3-2
Stuttgart v Frankfurt,X,de,188,1-1:2-1:2-0:1-2:2-2:0-1:0-2:1-0:0-0:3-1
Bayern Munich v RB Leipzig,10,de,186,3-1:2-1:2-0:3-0:2-2:4-1:1-0:1-1:1-2:3-2:4-0
