game,res,league,howmany,scores
Derby v Bournemouth,21,en2,291,1-2:0-2:1-1:0-1:1-3:2-1:1-0
Reading v Coventry,10,en2,295,2-1:2-0:1-0:1-1
Blackburn v Swansea,2,en2,290,1-2:1-1:2-1:0-2:2-2:1-3:0-0:0-1:1-0
Rotherham v Stoke,2,en2,292,1-1:0-1:1-2:0-2:2-1:1-0:0-0
Watford v Barnsley,10,en2,294,2-0:2-1:1-0:1-1:3-0:3-1
Norwich v Bristol City,10,en2,300,2-0:2-1:3-1:1-0:1-1
Brentford v Luton,10,en2,297,2-0:2-1:3-1:3-0:1-0:1-1
Cardiff v QPR,1,en2,298,2-1:1-0:1-1:2-0:0-1:1-2
Huddersfield v Millwall,0,en2,299,1-1:1-0:2-0:2-1:0-1:1-2:0-0
Nottm Forest v Middlesbrough,X,en2,301,1-1:2-1:1-0:1-2:0-1:0-0:2-0
Birmingham v Preston,X,en2,296,1-1:1-2:2-1:1-0:0-1:0-2:2-0:2-2
Sheff Utd v Tottenham,21,en,188,0-2:1-2:0-3:0-1:1-3:1-1
Liverpool v Man Utd,X,en,186,2-1:1-1:1-2:2-2:3-1:2-0:1-0
Man City v Crystal Palace,10,en,187,2-0:3-0:3-1:2-1:4-0:1-0:4-1
Arsenal v Newcastle,10,en,181,2-0:2-1:1-0:1-1:3-0:3-1
West Ham v West Brom,0,en,177,2-0:2-1:1-0:1-1:3-1:1-2
Leicester v Chelsea,0,en,175,2-1:1-1:2-2:1-2:1-0:2-0
Man City v Aston Villa,10,en,5,2-1:2-0:3-1:3-0:1-1:1-0
Fulham v Man Utd,21,en,173,0-2:1-2:1-3:0-1:0-3:1-1
Liverpool v Burnley,10,en,179,2-0:3-0:3-1:2-1:1-0:4-0
Aston Villa v Newcastle,0,en,101,2-1:2-0:1-1:1-0:1-2:3-1
Aston Villa v Liverpool,1,enf,62,1-2:2-1:1-3:0-3:0-2:0-4:1-0:1-1:0-1:2-2:0-5
Wolves v Crystal Palace,10,enf,91,2-1:2-0:1-0:1-1:1-2:3-1:0-1
Boreham Wood v Millwall,21,enf,66,0-2:1-2:0-3:1-3:0-1:1-1
Everton v Rotherham,10,enf,75,2-0:3-0:3-1:4-1:2-1:4-0:1-0
Luton v Reading,1,enf,78,1-2:2-1:1-1:1-0:0-2:0-1
Norwich v Coventry,10,enf,83,2-0:2-1:3-1:1-0:3-0:1-1
Nottm Forest v Cardiff,X,enf,84,1-2:2-1:1-1:1-0:2-0:0-1:0-2
Chorley v Derby,1,enf,73,1-2:0-3:1-3:0-2:2-1:0-1:1-1:1-0:0-4
Blackburn v Doncaster,10,enf,64,2-0:2-1:3-1:1-0:3-0
Blackpool v West Brom,1,enf,65,1-2:0-2:2-1:1-3:0-1:1-1:0-3:1-0
Bournemouth v Oldham,10,enf,85,2-0:2-1:3-1:3-0:1-0:1-2
Bristol Rovers v Sheff Utd,1,enf,69,1-2:0-2:2-1:0-1:1-0:1-3:1-1
Burnley v MK Dons,10,enf,70,2-0:2-1:3-0:1-0:3-1:4-0
Exeter v Sheff Wed,1,enf,76,1-2:2-1:1-1:0-2:0-1:1-3:1-0
QPR v Fulham,1,enf,86,1-2:2-1:0-2:1-0:1-1:2-0:2-2:1-3:0-1
Stevenage v Swansea,21,enf,88,0-2:1-2:0-3:0-1:1-3:2-1:1-0
Stoke v Leicester,21,enf,90,1-2:1-3:0-2:0-3:0-1:2-1
Wycombe v Preston,1,enf,92,1-2:0-1:2-1:1-1:0-2:1-0:2-2:1-3
Arsenal v Newcastle,10,enf,61,2-0:2-1:3-1:3-0:1-0:1-1:1-2
Brentford v Middlesbrough,10,enf,67,2-1:2-0:1-0:1-1:2-2:0-1:1-2:3-1
Huddersfield v Plymouth,10,enf,77,2-0:2-1:1-0:3-1:1-1:1-2:3-0
Man Utd v Watford,10,enf,80,2-0:3-0:2-1:3-1:4-1:4-0:1-0
Barnsley v Tranmere,10,enf,63,2-0:2-1:1-0:3-1:3-0:1-1:1-2
Bristol City v Portsmouth,1,enf,68,2-1:1-2:2-0:1-0:1-1:0-1:3-1
Chelsea v Morecambe,10,enf,71,4-0:5-0:3-0:2-0:6-0
Cheltenham v Mansfield,X,enf,72,2-1:1-2:1-1:1-0:2-0:0-1
Crawley v Leeds,21,enf,74,0-3:1-2:1-3:0-2:0-4:1-4:0-5
Man City v Birmingham,10,enf,79,3-0:4-0:5-0:2-0:3-1
Marine v Tottenham,21,enf,81,0-4:0-3:0-5:0-6:0-2:0-7:1-4
Newport v Brighton,1,enf,82,1-2:0-2:2-1:1-3:0-1:1-1:0-3
Stockport v West Ham,21,enf,89,0-2:1-3:0-3:1-2:1-4:0-4
Southampton v Shrewsbury,10,enf,87,2-0:3-0:4-0:2-1:3-1:1-0:4-1:5-0
Montpellier v Monaco,X,fr,197,1-2:1-1:0-2:1-0:2-1:2-0:2-2:0-0:1-3
Marseille v Nîmes,10,fr,196,2-0:3-0:2-1:3-1:4-1:1-1:1-0:4-0
Angers v PSG,21,fr,191,1-3:0-2:1-2:0-3:1-1:0-4:0-0:2-2:0-1:1-0:1-4
Brest v Rennes,X,fr,192,1-1:1-2:2-1:0-1:0-0:0-2:1-0
Nantes v Lens,X,fr,198,1-1:2-1:2-0:1-2:0-1:2-2:1-0:3-1:0-2
Nice v Bordeaux,X,fr,199,1-1:1-2:2-1:0-1:1-0:2-0:0-2:3-1
Strasbourg v Saint-Étienne,X,fr,200,1-1:2-1:1-2:1-0:0-1:0-0:2-0:3-1
Lille v Reims,10,fr,193,2-0:2-1:3-1:1-0:1-1:3-0
Lyon v Metz,10,fr,195,2-0:3-0:3-1:1-0:2-1:1-1
Marseille v Lens,10,fr,84,2-1:2-0:1-0:3-0:1-1:3-1:0-1
B Mgladbach v Werder Bremen,10,de,147,2-1:2-0:1-1:3-1:1-0:1-2:3-0:0-1
B Leverkusen v B Dortmund,X,de,146,1-1:1-2:2-2:2-1:0-2:1-3:0-1:1-0:2-0
Hertha Berlin v Hoffenheim,X,de,151,1-1:1-0:2-0:2-1:1-2:0-2:3-1:0-0:0-1
Mainz v Wolfsburg,2,de,145,0-2:1-2:1-1:0-1:2-1:0-3:1-0:1-3:2-0
Schalke v Köln,X,de,150,1-1:1-0:2-1:2-0:0-1:1-2:0-0:0-2:3-1
Arminia Bielefeld v Stuttgart,2,de,148,1-1:0-1:1-2:1-3:0-2:2-1:0-0:1-0:2-0
Augsburg v Bayern Munich,21,de,149,1-2:0-2:0-3:1-3:0-1:1-0:1-1:1-4
Freiburg v Frankfurt,X,de,153,1-1:1-2:0-1:2-1:0-2:1-0:2-2
RB Leipzig v Union Berlin,10,de,152,2-1:2-0:1-0:1-1:3-1:1-2:0-1:2-2:3-0
Asteras Tripolis v Larissa,0,gr,120,2-0:1-0:1-1:2-1:0-0:1-3:3-0:0-1:0-2:1-2:2-2:3-1:3-2
Apollon Smyrnis v Aris,X,gr,121,1-0:1-1:0-2:0-1:2-1:1-2:2-2:0-0:1-3:2-0:2-3:3-0
Panathinaikos v OFI,0,gr,122,2-0:1-0:2-1:1-1:3-0:0-0:0-1:2-2:0-2:1-2:1-3:3-1:3-2:4-2
Atromitos Athens v Olympiakos,21,gr,123,1-2:0-2:1-1:1-3:0-1:0-3:2-1:2-3:0-0:0-4:1-0:1-4
Panetolikos v Lamia,0,gr,124,1-0:1-1:0-0:2-0:2-1:3-0:0-1:1-2:1-3:2-2:3-2
PAS Giannina v Volos NFC,X,gr,125,1-0:1-1:0-1:2-0:2-1:0-0:1-2:2-2:1-3:3-0:3-1:3-2
PAOK Salonika v AEK Athens,X,gr,126,1-1:2-1:0-0:0-1:2-0:2-2:0-2:1-0:1-2:1-3:2-3:3-0:3-1:3-2:4-0
Lazio v Roma,X,it,176,1-2:1-1:2-2:2-1:0-1:1-0:0-2
