game,res,league,howmany,scores
Blackburn v Hull,10,en2,73,2-1:2-0:1-0:1-1:1-2:3-1
Blackpool v Huddersfield,X,en2,74,1-1:1-2:2-1:0-1:1-0:2-2:0-2:0-0
Bournemouth v QPR,10,en2,75,2-1:2-0:1-2:1-1:2-2:1-0:3-1:0-1:3-2
Sheff Utd v Preston,10,en2,76,2-1:2-0:1-1:1-0:3-0:0-1:3-1
Reading v Peterborough,0,en2,77,2-1:1-1:1-0:2-0:2-2:3-1:1-2:0-1
West Brom v Derby,10,en2,78,2-0:3-0:2-1:3-1:1-0:0-1
Birmingham v Fulham,X,en2,79,1-2:1-1:2-2:2-1:0-1:1-0:1-3:0-2
Bristol City v Luton,X,en2,80,2-1:1-1:1-0:1-2:2-0:0-1:2-2:3-1
Coventry v Cardiff,X,en2,81,1-1:2-1:0-1:1-0:1-2:2-0:0-0:2-2
Nottm Forest v Middlesbrough,X,en2,82,1-1:0-1:1-2:2-1:0-2:1-0:0-0
Stoke v Barnsley,10,en2,84,2-1:2-0:1-0:1-1:3-0:3-1
Swansea v Millwall,X,en2,83,2-1:1-1:1-0:1-2:2-0:0-1:0-0:3-0
Newcastle v Leeds,X,en,46,1-1:1-2:2-1:2-2:1-0:0-1:0-2:1-3
Wolves v Brentford,0,en,50,2-1:2-0:1-0:1-1
Burnley v Arsenal,X,en,43,1-1:1-2:0-1:0-2:1-0:2-1
Liverpool v Crystal Palace,10,en,44,3-0:2-0:3-1:2-1:4-0:1-0
Man City v Southampton,10,en,45,3-0:2-0:4-0:3-1:4-1:2-1:5-0:1-0
Norwich v Watford,X,en,47,1-1:2-1:1-0:1-2:0-0:0-1:2-0
Aston Villa v Everton,X,en,41,1-1:1-2:2-2:2-1:1-0
Brighton v Leicester,2,en,42,1-2:1-1:0-2:0-1:1-3:2-1:1-0
West Ham v Man Utd,2,en,49,1-2:1-3:2-2:1-1:0-2:2-3:2-1:0-1
