game,res,league,howmany,scores
Birmingham v Derby,0,en2,61,2-1:1-1:2-0:1-0:0-1:1-2:3-1
Blackburn v Luton,10,en2,62,2-1:2-0:1-0:1-1:3-1:0-1:1-2
Blackpool v Fulham,21,en2,63,0-2:1-3:1-2:0-3:0-1:1-1:0-0
Bournemouth v Barnsley,0,en2,64,2-0:2-1:1-1:1-0:3-1:2-2:3-0:0-1
Bristol City v Preston,0,en2,65,1-1:1-0:2-1:2-0:1-2:2-2:0-1:0-0
Coventry v Middlesbrough,X,en2,66,1-1:2-1:1-0:1-2:2-0:0-1:0-0:2-2
Reading v QPR,2,en2,68,1-2:1-1:0-2:1-3:2-1:0-1:0-3
Sheff Utd v Peterborough,10,en2,69,2-0:2-1:1-0:1-1:1-2:0-0:0-1:3-1:3-0
Stoke v Huddersfield,0,en2,70,2-0:2-1:1-1:1-0:1-2:3-1:0-1:2-2
Swansea v Hull,10,en2,71,2-1:1-0:2-0:1-1:3-1:1-2:0-1:0-0:3-0
West Brom v Millwall,10,en2,72,2-0:3-0:3-1:2-1:1-0:0-0:1-1
Nottm Forest v Cardiff,X,en2,67,1-2:1-1:2-1:1-0:0-1:0-2:2-0
Crystal Palace v Tottenham,21,en,34,1-2:0-2:0-1:1-1:1-3:0-3
Arsenal v Norwich,10,en,31,2-0:2-1:1-0:1-1:3-0:3-1
Brentford v Brighton,0,en,32,1-1:2-1:1-0:1-2:2-2:2-0:0-1:0-0
Leicester v Man City,21,en,37,1-2:1-3:1-1:0-2:2-2:2-1:0-3
Man Utd v Newcastle,10,en,38,3-0:2-0:4-0:3-1:2-1:4-1
Southampton v West Ham,2,en,39,1-2:1-1:0-2:2-2:1-3:2-1:0-1:1-0
Watford v Wolves,X,en,40,1-1:1-2:0-1:2-1:1-0:0-0:0-2:2-2
Chelsea v Aston Villa,10,en,33,2-0:3-0:3-1:2-1:1-0
Leeds v Liverpool,21,en,36,1-2:1-3:0-2:1-1:2-2:2-3:0-3:0-1
Everton v Burnley,10,en,35,2-0:2-1:1-0:1-1:3-1:3-0
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,2-1:1-2:3-1:2-0:0-1:1-0:1-1:2-2
Lorient v Lille,2,fr,43,1-2:1-1:0-1:2-2:0-0:1-0:1-3
PSG v Clermont,10,fr,49,4-0:3-0:2-0:4-1:5-0:3-1:5-1:1-0
Monaco v Marseille,X,fr,46,1-2:2-1:1-1:1-0:0-1:2-0:2-2:3-1:0-2:1-3
Montpellier v Saint-Étienne,0,fr,47,2-1:1-1:1-0:2-0:2-2:1-2:0-1:3-1:0-2
Bordeaux v Lens,X,fr,41,2-1:1-0:1-1:0-1:2-0:0-2:1-3:1-2:0-0:3-0:3-1
Brest v Angers,X,fr,42,1-1:2-1:1-2:0-1:0-2:1-0:2-2:0-0:1-3
Metz v Troyes,0,fr,45,1-0:2-0:2-1:1-1:0-1:0-0:1-2:3-1
Rennes v Reims,0,fr,50,2-1:1-1:2-0:0-0:1-0:0-1:1-2:0-2
Nantes v Nice,X,fr,48,1-2:1-1:0-1:0-2:2-1:0-0:0-3:1-0:1-3:2-0:2-3
Lyon v Strasbourg,10,fr,44,2-0:2-1:3-1:1-0:1-1:3-0:4-1:0-1
B Leverkusen v B Dortmund,X,de,29,1-2:2-1:1-1:2-2:1-3:3-2:1-0:0-1:3-1
Freiburg v Köln,X,de,33,2-1:1-1:2-0:1-2:1-0:0-1:3-1:1-3:2-2
Hoffenheim v Mainz,X,de,35,2-1:1-1:2-0:1-2:3-1:0-1:1-0:0-2:0-0
SpVgg Greuther Fürth v Wolfsburg,21,de,34,0-2:0-3:1-2:0-1:1-3:1-1:1-0
Union Berlin v Augsburg,10,de,28,2-1:2-0:1-0:1-1:3-1:1-2:3-0
RB Leipzig v Bayern Munich,2,de,32,1-2:1-3:1-1:2-2:0-1:0-2:1-0:0-3:2-0:2-1
Frankfurt v Stuttgart,0,de,31,2-1:2-0:1-1:1-0:2-2:3-1:1-2:3-0
VfL Bochum 1848 v Hertha Berlin,X,de,36,1-1:1-2:1-0:2-1:2-0:0-1:2-2:0-0:0-2:1-3:3-2
B Mgladbach v Arminia Bielefeld,10,de,30,2-0:2-1:1-0:3-0:3-1:1-1:0-0
Panetolikos v Asteras Tripolis,X,gr,5,1-1:0-1:1-2:0-0:1-0:0-2:2-1:2-0
Panathinaikos v Apollon Smyrnis,10,gr,4,2-0:1-0:2-1:3-0:1-1:3-1:0-0
Volos NFC v Lamia,0,gr,7,1-1:1-0:0-0:2-0:2-1:2-2:0-1:1-2
PAOK Salonika v PAS Giannina,10,gr,6,2-0:3-1:2-1:3-0:1-0:1-1
AEK Athens v Ionikos FC,10,gr,1,2-0:3-0:1-0:3-1:2-1
Olympiakos v Atromitos Athens,10,gr,3,2-0:3-0:1-0:3-1:1-1:2-1
Aris v OFI,0,gr,2,1-0:1-1:2-0:2-1:0-1:3-1
Empoli v Venezia,0,it,24,1-0:2-1:1-1:2-0:0-0:0-1:0-2:1-2
Napoli v Juventus,X,it,26,1-1:2-1:1-2:0-1:2-0:3-1:1-0:1-3:2-2:2-3
Atalanta v Fiorentina,10,it,21,2-1:2-0:3-1:1-1:1-0:2-2:0-1:2-3:3-0:4-1
Sampdoria v Inter Milan,2,it,28,1-2:0-2:1-1:1-3:0-1:0-3:0-0:1-0:1-4:2-2
