game,res,league,howmany,scores
Bristol City v Nottm Forest,X,en2,145,1-1:1-2:2-1:0-1:0-2:1-0:2-2:0-0:2-0
Derby v Luton,X,en2,146,1-1:1-2:2-1:1-0:0-1:2-0:0-0:0-2
QPR v Blackburn,10,en2,148,2-1:2-0:1-1:1-0:1-2:2-2:0-1
Sheff Utd v Millwall,10,en2,149,2-0:2-1:1-0:1-1:3-1:3-0
Stoke v Bournemouth,X,en2,150,1-2:1-1:2-1:0-1:1-3:2-0:0-2:1-0:2-2:0-0
Fulham v Cardiff,10,en2,147,2-0:3-0:3-1:2-1:1-0:1-1
Huddersfield v Birmingham,0,en2,151,2-1:2-0:1-1:1-0:1-2:3-1:0-1
Hull v Peterborough,0,en2,152,2-1:1-1:1-0:2-0:0-1:1-2:0-0
Middlesbrough v Barnsley,0,en2,153,2-0:1-0:2-1:1-1:1-2:0-0
Preston v Coventry,X,en2,154,1-2:1-1:2-1:0-2:2-2:0-1:1-0:0-0
Swansea v West Brom,X,en2,155,1-2:1-1:2-1:1-3:0-1:0-2:2-2:1-0
Reading v Blackpool,10,en2,156,2-1:2-0:1-0:1-1:1-2:3-1
Arsenal v Aston Villa,0,en,81,2-1:1-1:2-0:1-2:1-0:2-2:0-1
Chelsea v Norwich,10,en,84,3-0:2-0:4-0:3-1
Crystal Palace v Newcastle,0,en,85,2-1:1-1:2-0:1-0:1-2:2-2:0-1:3-1
Everton v Watford,10,en,86,2-0:2-1:1-0:1-1:3-1:3-0
Leeds v Wolves,X,en,87,1-1:2-1:1-2:1-0:2-2:0-1:2-0
Southampton v Burnley,0,en,89,1-0:1-1:2-1:2-0:0-0:1-2:0-1
Brighton v Man City,21,en,83,1-3:1-2:0-2:0-3:0-1:1-1:1-4
Brentford v Leicester,X,en,82,1-2:1-1:2-2:2-1:1-3:0-2:0-1:1-0
West Ham v Tottenham,X,en,90,2-1:1-1:2-2:1-2:1-0:2-0
Man Utd v Liverpool,2,en,88,1-2:1-3:1-1:2-2:2-1:2-3:0-2
AFC Sudbury v Colchester,1,enf,1,0-2:0-3:0-1:1-3:2-0:2-1
Banbury United v Barrow,X,enf,3,1-2:0-2:1-0:1-1:2-1:2-2
Bolton v Stockport,1,enf,4,2-0:3-1:0-1:1-0:2-1:3-0:4-0
Boreham Wood v TBC,1,enf,5,1-0:2-1:1-3:3-1
Bradford v Exeter,X,enf,6,1-2:2-1:1-1:1-3:2-0:2-6:3-0:3-1
Carlisle v Horsham,1,enf,7,2-1:3-1:4-1:1-0:1-3:3-0
Charlton v TBC,1,enf,8,2-1:3-1:1-0:1-7:3-0:3-2
Chesterfield v Southend,X,enf,9,1-1:1-2:2-1:0-1:1-0:2-2:3-2
Crawley v Tranmere,1,enf,10,2-1:1-2:0-1:1-0:2-0:2-3
Crewe v Swindon,X,enf,11,2-1:0-1:1-0:1-1:1-2:2-0
Dag & Red v Salford,X,enf,12,2-1:1-2:0-1:1-1:1-3:2-3:3-1
Fleetwood v Burton,X,enf,13,2-1:1-0:1-1:2-0:2-4:4-1
Gillingham v Cheltenham,X,enf,14,2-1:1-3:2-0:1-1:3-1
