game,res,league,howmany,scores
Lazio v Club Bruges                          ,10,euc,    70,2-1:2-0:3-1:1-0:1-1
Zenit St Petersburg v B Dortmund             ,21,euc,    70,1-2:0-2:1-3:2-1:2-2:0-1:1-1:0-3
Barcelona v Juventus                         ,0 ,euc,    70,2-1:2-2:1-1:3-2:1-2:1-0:3-1
Chelsea v FK Krasnodar                       ,10,euc,    70,3-0:2-0:4-0:1-0:2-1:3-1:4-1
Dynamo Kyiv v Ferencvárosi TC                ,10,euc,    70,2-0:1-0:2-1:3-1:1-2:1-1
PSG v Istanbul Basaksehir                    ,10,euc,    70,3-0:4-0:2-0:3-1:4-1:2-1
RB Leipzig v Man Utd                         ,X ,euc,    70,2-1:1-2:1-0:2-2:1-1:3-1:3-2
Rennes v Sevilla                             ,2 ,euc,    70,1-2:1-1:0-2:1-3:1-0:0-0:0-1:0-3
Ajax v Atalanta                              ,X ,euc,    69,2-1:2-2:1-1:2-0:1-2:1-0:2-3:2-4:3-1
FC Midtjylland v Liverpool                   ,21,euc,    69,0-2:1-2:1-3:0-3:0-4:2-1:0-1:1-1:1-4
Bayern Munich v Lokomotiv Moscow             ,10,euc,    69,3-0:2-0:4-0:5-0:3-1:2-1:4-1
Inter Milan v Shakhtar Donetsk               ,10,euc,    69,2-1:2-0:3-1:3-2:2-2:1-1:3-0:4-1
Man City v Marseille                         ,10,euc,    70,2-1:3-0:2-0:3-1:1-1:4-0:1-2:4-1
Olympiakos v FC Porto                        ,X ,euc,    70,1-1:1-2:0-1:0-2:2-1:1-0:2-0:2-2
RB Salzburg v Atl Madrid                     ,2 ,euc,    70,1-2:1-1:0-1:2-2:1-3:0-2:1-0:2-1:3-2
Real Madrid v B Mgladbach                    ,10,euc,    70,2-1:3-2:3-1:1-1:2-0:3-0:1-2:2-2
B Leverkusen v Slavia Prague                 ,10,eue,    27,2-0:2-1:1-0:2-2:3-0:3-1
CSKA Sofia v Roma                            ,21,eue,    26,1-2:1-3:0-2:1-1:0-1:0-3:2-1
Dundalk v Arsenal                            ,21,eue,    26,0-3:0-4:1-4:1-1:1-2:1-3
Hapoel Be'er Sheva v Nice                    ,X ,eue,    26,1-2:1-1:0-2:1-0:2-1
HNK Rijeka v AZ Alkmaar                      ,2 ,eue,    26,1-2:1-3:2-2:1-1:2-0:2-1
Lech Poznan v Rangers                        ,2 ,eue,    26,1-2:0-2:1-1:0-0:0-1:2-1
Napoli v Real Sociedad                       ,10,eue,    26,2-1:2-2:3-2:2-0:3-1
PAOK Salonika v Granada                      ,X ,eue,    26,1-1:1-2:0-1:0-2:2-0:2-1
PSV Eindhoven v Omonia Nicosia               ,10,eue,    26,2-0:2-1:1-1:3-0:3-1
Rapid Vienna v Molde                         ,0 ,eue,    26,2-1:1-1:1-2:2-2:1-0
Standard Liege v Benfica                     ,X ,eue,    26,1-1:1-2:2-1:1-3:0-0:0-2:2-2
Young Boys v CFR Cluj                        ,10,eue,    26,2-1:2-0:1-0:1-1:1-2
Celtic v Lille                               ,X ,eue,    26,1-1:1-2:2-1:2-2
Dinamo Zagreb v CSKA Moscow                  ,0 ,eue,    26,2-1:1-1:1-2:2-0:2-2:3-0:3-1
