game,res,league,howmany,scores
West Brom v Birmingham,10,en2,144,2-0:2-1:3-1:1-0:1-1:3-0
Fulham v QPR,0,en2,135,2-1:2-0:1-1:2-2:3-1:1-0:1-2:0-1
Blackburn v Coventry,X,en2,133,1-1:2-1:1-2:2-2:1-0:2-0:0-1:0-2
Bristol City v Bournemouth,21,en2,134,1-2:0-2:1-1:1-3:0-1:2-1:1-0
Huddersfield v Hull,0,en2,136,2-0:2-1:1-1:1-0:1-2:3-1:0-1
Middlesbrough v Peterborough,10,en2,137,2-0:2-1:1-0:1-1:3-1:3-0:1-2
Millwall v Luton,X,en2,138,1-1:2-1:1-0:1-2:2-0:0-0:0-1:0-2:2-2
Nottm Forest v Blackpool,0,en2,139,2-1:2-0:1-1:1-0:1-2:3-1:0-1
Preston v Derby,X,en2,140,1-0:1-1:2-1:2-0:1-2:0-1:0-0:0-2
Reading v Barnsley,0,en2,141,2-0:2-1:1-0:1-1:3-1:2-2
Sheff Utd v Stoke,X,en2,142,1-1:2-1:1-2:2-2:1-0:2-0:0-1:0-2
Swansea v Cardiff,0,en2,143,1-1:2-1:1-0:2-0:0-0:2-2:0-1:1-2
Watford v Liverpool,21,en,80,0-2:0-3:1-3:1-2:0-1
Aston Villa v Wolves,0,en,72,2-1:1-1:2-0:1-0:1-2:0-1:2-2
Leicester v Man Utd,2,en,75,1-2:1-1:2-1:2-2:1-3:0-2:0-1
Man City v Burnley,10,en,76,3-0:4-0:2-0:5-0:3-1
Norwich v Brighton,2,en,78,1-2:0-2:0-1:1-1:1-0:2-1:0-0
Southampton v Leeds,X,en,79,1-1:1-2:2-1:2-2:1-0:0-1:0-2:2-0:0-0
Brentford v Chelsea,21,en,73,1-2:0-2:1-3:1-1:2-2:0-3:0-1
Everton v West Ham,X,en,74,2-1:1-1:2-2:1-2:1-0:2-0:0-1
Newcastle v Tottenham,X,en,77,1-2:1-1:0-2:2-1:0-1:1-3:1-0:2-2
Arsenal v Crystal Palace,10,en,71,2-1:2-0:1-1:1-0:3-1:1-2:3-0:2-2
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,2-1:1-2:3-1:2-0:0-1:1-0:1-1:2-2
PSG v Angers,10,fr,98,3-0:2-0:4-0:3-1:2-1:5-0:4-1:1-0
Clermont v Lille,21,fr,93,1-2:0-2:0-1:1-3:1-1:2-2
Lyon v Monaco,X,fr,94,2-1:1-0:2-0:1-1:2-2:1-2:0-1:3-1
Troyes v Nice,2,fr,100,1-2:0-2:1-1:0-1:1-3:2-1:2-2:0-0:1-0
Bordeaux v Nantes,X,fr,91,1-1:2-1:1-2:2-0:1-0:0-1
Brest v Reims,X,fr,92,1-1:0-1:1-0:1-2:2-0:2-1:0-0:0-2
Metz v Rennes,X,fr,96,1-1:1-2:0-2:0-1:2-0:2-1:2-2:1-0:0-0
Strasbourg v Saint-Étienne,X,fr,99,1-1:1-2:1-0:2-0:2-1:0-1:0-0:2-2:3-1
Montpellier v Lens,X,fr,97,1-1:2-1:1-0:2-0:1-2:0-1:1-3:2-2:0-0
Marseille v Lorient,10,fr,95,2-0:2-1:3-1:3-0:1-0:1-1
Hoffenheim v Köln,X,de,72,2-1:1-1:1-2:1-0:2-0:3-1:0-1
B Dortmund v Mainz,10,de,66,2-0:3-0:3-1:2-1:1-1:4-0
Frankfurt v Hertha Berlin,10,de,68,2-1:2-0:1-0:1-1:1-2:3-1:2-2
Freiburg v RB Leipzig,2,de,70,1-2:1-1:0-1:1-3:0-2:2-1:2-2:1-0
Fürth v VfL Bochum,X,de,71,1-1:1-0:2-1:1-2:0-2:2-0:0-0:0-1:2-2
Union Berlin v Wolfsburg,X,de,64,1-2:1-1:1-0:2-1:2-2:0-1:0-2:2-0:1-3
B Mgladbach v Stuttgart,10,de,67,2-1:2-0:1-1:1-0:3-1:3-2:2-2:3-0
B Leverkusen v Bayern Munich,21,de,65,1-2:1-3:1-1:2-2:2-1:2-3:0-2
Augsburg v Arminia Bielefeld,0,de,69,1-0:2-0:2-1:1-1:0-1:0-0:1-2
Apollon Smyrnis v Asteras Tripolis,X,gr,37,1-1:0-1:1-2:0-0:0-2:1-0:2-1
Panathinaikos v Ionikos FC,10,gr,39,2-0:3-0:3-1:2-1:1-0:1-1:4-0:0-0
Panetolikos v OFI,X,gr,40,1-1:2-1:1-0:1-2:0-0:2-0:0-1:0-2
PAOK Salonika v Volos NFC,10,gr,41,2-1:2-0:3-1:3-0:1-1:2-2
AEK Athens v Atromitos Athens,10,gr,36,2-0:2-1:3-1:1-1:3-0:1-0
PAS Giannina v Olympiakos,2,gr,42,0-2:1-2:0-1:1-1:1-3:0-0:0-3
Lamia v Aris,2,gr,38,1-2:0-1:1-1:0-2:0-0:2-1:1-0
Spezia v Salernitana,X,it,78,2-1:1-0:1-1:2-0:1-2:0-1:0-0
Lazio v Inter Milan,X,it,75,1-2:1-1:2-1:2-2:0-1:1-3:0-2:1-0
AC Milan v Hellas Verona,10,it,76,2-0:2-1:3-0:1-1:3-1:1-0
Cagliari v Sampdoria,X,it,71,1-1:1-2:0-1:1-0:2-1:2-2:0-2:2-0:0-0
Empoli v Atalanta,21,it,72,1-2:0-2:1-3:1-1:0-1:0-3:1-0
Genoa v Sassuolo,X,it,73,1-1:2-1:1-2:0-1:1-0:2-0:2-2:0-2
Udinese v Bologna,X,it,79,1-1:2-1:1-0:1-2:2-0:0-0:2-2:0-1:3-1:3-2
Napoli v Torino,10,it,77,2-0:3-1:2-1:3-0:1-1:1-0
Juventus v Roma,X,it,74,2-1:1-1:2-2:1-2:1-0:0-0:0-1:2-0:3-1:3-2
Venezia v Fiorentina,2,it,80,1-2:1-1:0-2:0-1:0-0:1-3
Aberdeen v Hibernian,X,sc,55,1-1:2-1:1-2:1-0:0-1:0-2:2-0:2-2:0-0:1-3
Celtic v St Johnstone,10,sc,56,2-0:2-1:3-0:1-0:3-1:0-1:1-1:4-0:4-1:5-0
Dundee Utd v Motherwell,X,sc,57,2-1:1-1:0-1:2-0:2-2:1-2:1-0:3-1
Hearts v Dundee,10,sc,58,2-1:2-0:1-0:3-1:1-1:3-0:0-1:2-2
Ross County v Livingston,X,sc,59,1-1:1-2:0-0:0-1:2-1:1-3:2-2:0-2:1-0:2-0
St Mirren v Rangers,21,sc,60,1-3:0-1:0-2:1-2:0-3:0-4:1-1:1-4
Levante v Getafe,0,es,86,1-0:1-1:2-1:2-0:0-1:1-2:0-0
Real Sociedad v Mallorca,10,es,89,2-0:2-1:3-1:1-0:1-1:3-0:0-0
Rayo Vallecano v Elche,0,es,87,2-1:2-0:1-0:1-1:0-1:1-2:3-0
Celta Vigo v Sevilla,2,es,83,1-2:1-1:0-1:0-2:1-3:2-1
Villarreal v Osasuna,10,es,90,2-0:2-1:1-0:1-1:3-0:1-2:2-2:0-0
Barcelona v Valencia,0,es,82,2-1:1-1:2-0:1-2:2-2:1-0:0-1:3-2:3-1
Alavés v Real Betis,X,es,81,1-2:1-1:0-2:0-1:1-0:2-1:1-3:2-0
Espanyol v Cádiz,10,es,84,2-1:2-0:1-0:1-1:1-2:0-0:0-1:3-1
Degerfors IF v Halmstads BK,X,se,178,1-0:1-2:2-1:1-1:2-0:0-1:2-2:0-0
Östersunds FK v Malmö FF,21,se,184,0-2:1-3:1-2:0-1:0-3:1-1:0-0
IK Sirius v Varbergs BoIS,0,se,182,1-0:1-1:2-1:2-0:0-1:1-2:4-1
Hammarby IF v AIK,1,se,180,1-2:0-1:0-2:2-1:1-1:1-3:0-0:3-0
