game,res,league,howmany,scores
Lokomotiv Moscow v RB Salzburg               ,X ,euc,    61,1-2:2-1:1-1:1-0:0-0:0-1:2-0:2-2
Shakhtar Donetsk v Real Madrid               ,21,euc,    61,0-2:1-3:1-2:0-1:0-3:1-1:0-4
Atalanta v FC Midtjylland                    ,10,euc,    61,3-0:2-0:2-1:4-1:3-1
Atl Madrid v Bayern Munich                   ,21,euc,    61,1-2:1-1:2-1:0-1:1-3:0-2:2-3
B Mgladbach v Inter Milan                    ,X ,euc,    61,1-2:2-1:2-2:1-1:0-2:1-0:0-1:3-2
FC Porto v Man City                          ,2 ,euc,    61,1-2:0-2:1-1:2-2:1-0:1-3:2-1
Liverpool v Ajax                             ,10,euc,    61,2-1:2-0:1-0:3-1:1-1:1-2:2-2
Marseille v Olympiakos                       ,0 ,euc,    61,2-0:1-1:1-0:2-1:1-2:0-0:0-1:2-2
FK Krasnodar v Rennes                        ,X ,euc,    60,1-1:1-2:1-0:2-1:2-2:0-2:2-0:0-1
Istanbul Basaksehir v RB Leipzig             ,2 ,euc,    60,0-2:1-2:1-1:1-3:0-1:2-2:2-0:2-1
B Dortmund v Lazio                           ,0 ,euc,    60,2-1:2-0:3-1:1-0:1-1:2-2:3-2
Club Bruges v Zenit St Petersburg            ,X ,euc,    60,1-1:2-0:2-1:1-2:1-0:2-2:0-1:1-3
Ferencvárosi TC v Barcelona                  ,21,euc,    60,0-3:1-3:0-2:0-4:1-4:1-2
Juventus v Dynamo Kyiv                       ,10,euc,    60,2-0:3-0:2-1:1-0:3-1:4-0:4-2
Man Utd v PSG                                ,X ,euc,    60,2-1:1-1:1-2:2-2:1-0:1-3:2-0
Sevilla v Chelsea                            ,X ,euc,    60,2-1:1-1:1-2:2-2:1-0:0-2
AC Milan v Celtic                            ,0 ,eue,    20,2-0:1-1:2-1:3-0:3-2:3-1:4-1:5-1
AEK Athens v Sporting Braga                  ,X ,eue,    20,1-2:2-1:0-1:0-2:1-1:0-0:1-0:1-3:2-2:2-3
CSKA Moscow v RZ Pellets WAC                 ,0 ,eue,    20,1-0:1-1:2-0:3-0:1-2:2-1:3-1:3-4
Feyenoord v Dinamo Zagreb                    ,X ,eue,    20,2-1:1-1:1-2:1-0:3-1:2-0:2-2:3-2
FK Qarabag v Maccabi Tel-Aviv                ,X ,eue,    20,2-1:1-1:1-2:0-0:1-0:0-1:0-2:1-3:2-3
KAA Gent v Slovan Liberec                    ,X ,eue,    20,2-1:1-0:2-0:1-1:0-1:1-2:2-2:2-3:3-1:4-0
LASK v Tottenham                             ,2 ,eue,    20,0-2:1-3:1-1:1-2:0-4:1-4:2-0:2-2
Lille v Sparta Prague                        ,10,eue,    20,2-1:1-0:1-2:2-0:3-1:1-1:2-2:3-0:3-2:4-2
Red Star Belgrade v Hoffenheim               ,X ,eue,    20,1-2:1-1:0-1:1-3:2-1:0-2:0-3:2-3:3-2
Royal Antwerp v Ludogorets                   ,0 ,eue,    20,2-0:1-0:3-0:1-1:2-1:2-2:3-1
Sivasspor v Villarreal                       ,2 ,eue,    20,0-3:0-2:1-1:1-2:0-1:1-3:1-0:2-0:2-2
Zorya Luhansk v Leicester                    ,21,eue,    20,0-3:0-2:1-2:1-1:1-3:1-4:0-1:0-4:2-3:2-5
