game,res,league,howmany,scores
Sheff Wed v Derby,X,en2,274,1-2:1-1:2-1:0-1:0-2:1-0:2-0:2-2
Birmingham v Blackburn,X,en2,266,1-2:1-1:2-1:0-1:1-0:0-2:2-2:2-0
Huddersfield v Reading,X,en2,268,1-1:2-1:1-2:1-0:0-1:0-2:2-0:2-2
Millwall v Coventry,0,en2,270,1-1:2-1:1-0:2-0:0-1:0-0:1-2:3-1
Norwich v Barnsley,10,en2,271,2-0:2-1:3-1:3-0:1-0:1-1
Preston v Nottm Forest,X,en2,272,2-1:2-0:1-1:1-0:1-2:0-1:0-2
Swansea v Watford,X,en2,276,1-1:2-1:2-2:1-0:2-0:1-2:0-0:0-2:0-1
Wycombe v Middlesbrough,21,en2,277,1-2:0-2:0-1:1-1:1-3:1-0:0-0:2-1
Stoke v Bournemouth,X,en2,275,1-2:1-1:2-1:2-2:0-2:0-1:1-3:1-0:2-0
Luton v QPR,0,en2,269,2-1:1-1:1-0:2-0:1-2:0-1:0-2:3-1
Sheff Utd v Newcastle,X,en,176,1-1:1-2:1-0:0-1:2-1:0-2:0-0
Burnley v Man Utd,21,en,1,0-2:1-2:1-3:0-3:1-1:0-1
Wolves v Everton,X,en,178,1-1:2-1:1-2:2-2:1-0:2-0:0-1
Man City v Brighton,10,en,180,3-0:4-0:2-0:3-1:5-0:4-1:2-1
Aston Villa v Tottenham,2,en,172,1-2:1-1:1-3:2-2:2-1:0-2:0-1
Arsenal v Crystal Palace,10,en,171,2-0:2-1:3-1:1-1:1-0:3-0
Fulham v Chelsea,21,en,183,1-2:0-2:1-3:0-3:1-1:0-1
Wolves v West Brom,10,en,190,2-0:2-1:1-0:1-1:3-0:3-1
Leeds v Brighton,10,en,184,2-1:2-0:3-1:1-1:1-0:2-2:3-0:3-2
West Ham v Burnley,0,en,189,2-1:2-0:1-1:1-0
Aston Villa v Everton,X,en,182,1-1:2-1:1-2:2-2:0-1:1-0
Leicester v Southampton,0,en,185,2-1:1-1:2-2:2-0:1-2:3-1:1-0
Barnsley v Norwich,1,enf,93,1-2:1-0:0-2:1-3:0-0:0-1
Bournemouth v Crawley,10,enf,94,3-0:3-1:2-0:2-1:0-1:1-1
Brentford v Leicester,X,enf,95,1-2:1-1:1-3:0-1:1-0:2-1:2-5
Brighton v Blackpool,1,enf,96,2-0:2-1:0-1:1-0:1-2
Chelsea v Luton,10,enf,97,3-0:2-0:1-0:3-1:4-0:5-0:5-1
Cheltenham v Man City,21,enf,98,0-3:0-4:0-5:0-1:0-2:0-6:1-3:1-4:1-5
Chorley v Wolves,1,enf,99,0-2:0-1:0-4:1-2:1-0:1-3:2-1
Everton v Sheff Wed,10,enf,100,2-0:3-0:1-0:0-1:1-1:2-1
Fulham v Burnley,X,enf,101,1-1:1-0:0-1:2-0:2-1:1-2:3-1
Man Utd v Liverpool,X,enf,102,1-2:1-3:2-1:0-1:0-2:1-1:2-0:2-2:4-2
Millwall v Bristol City,1,enf,103,1-2:1-0:2-0:0-1:2-1:1-1
Sheff Utd v Plymouth,1,enf,104,2-0:2-1:0-1:1-1:1-2:3-1
Swansea v Nottm Forest,0,enf,105,2-1:1-0:1-1:2-0:3-1
TBC v Arsenal,21,enf,107,0-2:0-1:1-3:1-5
TBC v Doncaster,1,enf,106,2-0:0-2:1-0:1-2:2-1:3-0:3-1
Wycombe v Tottenham,21,enf,108,0-3:1-3:0-2:0-1:0-4:1-2:1-4
Montpellier v Monaco,X,fr,197,1-1:1-2:1-0:2-1:0-0:0-1:0-2:2-0:2-2
Marseille v Nîmes,X,fr,196,2-0:2-1:0-1:1-1:3-0:3-1:0-0:1-0:1-2:4-1:5-2
Angers v PSG,21,fr,191,0-2:1-2:1-3:0-4:1-0:0-0:0-1:0-3:1-1:1-4
