game,res,league,howmany,scores
Lokomotiv Moscow v Atl Madrid                ,21,euc,   264,1-2:0-2:1-1:0-1:1-3:2-2:0-3
Shakhtar Donetsk v B Mgladbach               ,X ,euc,   264,1-1:2-1:2-0:1-2:2-2:1-0:3-1
Atalanta v Liverpool                         ,X ,euc,   274,1-2:1-1:2-2:2-1:0-2:1-3:2-3:1-0:3-1
FC Midtjylland v Ajax                        ,21,euc,   274,0-2:1-2:1-3:0-3:1-1:0-1
FC Porto v Marseille                         ,10,euc,   274,2-1:2-0:1-0:1-1:3-1:1-2:2-2:3-0
Man City v Olympiakos                        ,10,euc,   274,3-0:2-0:3-1:4-0:2-1:4-1:1-0
RB Salzburg v Bayern Munich                  ,21,euc,   273,1-3:0-3:1-2:0-2:1-4:0-4:1-1
Real Madrid v Inter Milan                    ,0 ,euc,   274,2-1:1-1:2-2:1-2:2-0:3-1:0-1:3-2
Istanbul Basaksehir v Man Utd                ,21,euc,   266,0-2:1-2:0-3:1-3:1-1:0-1
Zenit St Petersburg v Lazio                  ,X ,euc,   265,1-1:1-2:2-1:0-1:0-2:1-0:1-3:2-2
Barcelona v Dynamo Kyiv                      ,10,euc,   264,3-0:2-0:3-1:4-0:2-1:4-1
Chelsea v Rennes                             ,10,euc,   263,2-0:3-0:3-1:2-1:4-0:1-0
Club Bruges v B Dortmund                     ,21,euc,   263,1-2:1-3:0-2:1-1:0-1:2-2:0-3
Ferencvárosi TC v Juventus                   ,21,euc,   262,0-2:0-3:1-2:1-3:0-4:0-1
RB Leipzig v PSG                             ,2 ,euc,   263,1-2:1-1:1-3:2-1:2-2:0-2
Sevilla v FK Krasnodar                       ,10,euc,   263,2-0:3-0:2-1:1-0:3-1
Benfica v Rangers                            ,10,eue,    75,2-1:1-1:2-0:3-1:1-0:1-2
Hapoel Be'er Sheva v B Leverkusen            ,21,eue,    74,1-2:0-2:0-1:1-3:1-1:0-3:1-4
HNK Rijeka v Napoli                          ,21,eue,    75,0-2:0-3:1-2:0-1:1-3
Lech Poznan v Standard Liege                 ,X ,eue,    74,1-1:2-1:0-1:1-0:1-2:2-0:3-1:0-2:2-2
Ludogorets v Tottenham                       ,21,eue,    74,0-2:1-3:1-2:0-3:0-1:1-1
