game,res,league,howmany,scores
Luton v Sheff Utd,2,en2,55,1-2:1-1:0-2:1-0:0-1:1-3:2-1
Sunderland v Norwich,X,en2,59,1-1:1-2:2-1:0-2:1-0:2-2
Blackburn v Stoke,0,en2,50,2-0:2-1:1-1:1-2:1-0:3-1
Blackpool v Bristol City,0,en2,51,1-1:2-1:1-0:2-0:1-2:0-1:3-1:0-0:2-2
Cardiff v Preston,0,en2,52,1-1:1-0:0-0:2-1:2-0:0-1:1-2:0-2
Huddersfield v West Brom,2,en2,53,1-2:1-1:0-2:2-1:0-1:1-3:0-0:1-0:2-2
Hull v Coventry,0,en2,54,2-1:1-0:1-1:2-0:1-2:3-1:2-2:0-0:3-0
Middlesbrough v Swansea,0,en2,56,2-1:1-1:2-0:1-0:2-2
Millwall v Reading,0,en2,57,1-0:1-1:2-1:2-0:1-2:0-1:0-0:2-2:3-1
Rotherham v Birmingham,X,en2,58,1-1:2-1:1-0:1-2:2-0:0-1:0-0
Watford v QPR,10,en2,60,2-0:2-1:1-0:1-1:3-1:2-2
Wigan v Burnley,2,en2,61,1-2:1-1:0-2:0-1:1-3:2-1:2-2:0-0:2-3
Southampton v Man Utd,2,en,39,1-2:1-1:0-2:2-1:1-3:2-2:0-1
Brentford v Everton,0,en,33,2-1:2-0:1-1:1-0:1-2:3-1:2-2
Brighton v Leeds,X,en,34,1-1:2-1:2-2:1-0:1-2:2-0
Chelsea v Leicester,10,en,35,2-0:2-1:3-1:3-0:1-0:1-1:2-2
Liverpool v Bournemouth,10,en,36,3-0:2-0:4-0:3-1:2-1:1-0
Man City v Crystal Palace,10,en,37,3-1:3-0:2-0:2-1:4-1:4-0
Arsenal v Fulham,10,en,31,2-0:3-1:2-1:3-0:1-1:1-0
Aston Villa v West Ham,X,en,32,1-1:2-1:1-2:1-0:2-2:0-0:0-1:2-0
Wolves v Newcastle,2,en,40,1-2:1-1:0-2:0-1:2-1:1-3:1-0:2-2
Nottm Forest v Tottenham,21,en,38,1-2:0-2:1-3:1-1:0-3:0-1
Middlesbrough v Chelsea,21,enf,207,1-2:1-3:0-2:0-3:0-1:2-1
Crystal Palace v Everton,1,enf,206,2-1:2-0:1-2:1-0:0-1:1-1:3-1
Southampton v Man City,21,enf,208,1-2:1-3:0-2:0-3:0-1:1-0:2-1
