game,res,league,howmany,scores
Lokomotiv Moscow v Bayern Munich             ,21,euc,   211,0-2:0-3:1-3:0-4:1-2:1-4
Shakhtar Donetsk v Inter Milan               ,X ,euc,   211,1-2:1-1:2-2:2-1:1-3:0-1:0-2
Atalanta v Ajax                              ,0 ,euc,   210,2-1:2-2:2-0:3-1:1-2:1-1:3-2:1-0
Atl Madrid v RB Salzburg                     ,10,euc,   210,2-0:2-1:1-0:3-1:3-0:1-1
B Mgladbach v Real Madrid                    ,21,euc,   211,1-2:1-3:1-1:0-2:2-1:0-1:2-2
FC Porto v Olympiakos                        ,0 ,euc,   209,2-0:2-1:1-1:1-0:3-1:1-2
Liverpool v FC Midtjylland                   ,10,euc,   209,3-0:4-0:2-0:5-0:3-1:4-1
Marseille v Man City                         ,21,euc,   209,1-2:1-3:0-2:1-1:0-3:1-4:0-1
FK Krasnodar v Chelsea                       ,21,euc,   186,1-2:0-2:1-3:0-1:1-1:0-3
Istanbul Basaksehir v PSG                    ,21,euc,   186,0-2:0-3:1-3:1-2:0-1:0-4:1-4
B Dortmund v Zenit St Petersburg             ,10,euc,   185,2-1:2-0:3-1:3-0:1-0:1-1
Club Bruges v Lazio                          ,2 ,euc,   185,1-2:1-1:0-1:1-3:0-2:2-2:2-1
Ferencvárosi TC v Dynamo Kyiv                ,2 ,euc,   185,1-1:1-2:0-1:0-2:0-0:1-3:2-1:1-0:2-2
Juventus v Barcelona                         ,0 ,euc,   186,2-1:1-1:2-2:1-2:2-0:1-0
Man Utd v RB Leipzig                         ,0 ,euc,   186,2-1:2-0:1-1:3-1:1-2:2-2:1-0:3-2
Sevilla v Rennes                             ,10,euc,   185,2-0:2-1:1-0:3-1:3-0:1-1
AC Milan v Sparta Prague                     ,10,eue,    61,2-0:3-1:3-0:2-1:1-0
AEK Athens v Leicester                       ,X ,eue,    62,1-2:1-1:0-2:2-1:1-0:0-1:1-3
CSKA Moscow v Dinamo Zagreb                  ,0 ,eue,    60,2-1:2-0:1-1:1-0:2-2:3-1
Feyenoord v RZ Pellets WAC                   ,10,eue,    60,2-0:3-1:3-0:1-0:2-1:1-1
FK Qarabag v Villarreal                      ,2 ,eue,    59,1-2:0-2:1-1:1-3:2-1
KAA Gent v Hoffenheim                        ,X ,eue,    59,1-2:1-1:0-2:2-1:0-1
LASK v Ludogorets                            ,X ,eue,    59,2-1:2-0:1-1:1-0:1-2
Lille v Celtic                               ,10,eue,    60,2-1:3-1:1-1:2-0:1-2:2-2:1-0
Red Star Belgrade v Slovan Liberec           ,10,eue,    58,2-0:2-1:1-0:3-1:1-1
Royal Antwerp v Tottenham                    ,21,eue,    59,1-2:0-2:1-3:0-3:0-1:0-4:1-1:1-4:2-2
Sivasspor v Maccabi Tel-Aviv                 ,X ,eue,    58,1-1:2-1:0-1:2-0:1-0:1-2:1-3:2-2
Zorya Luhansk v Sporting Braga               ,2 ,eue,    58,1-2:0-1:0-2:1-1:2-1:2-2
Arsenal v Dundalk                            ,10,eue,    59,3-0:4-0:2-0:5-0:2-1:3-1:4-1
AZ Alkmaar v HNK Rijeka                      ,10,eue,    58,2-0:2-1:1-0:3-1:1-1
Benfica v Standard Liege                     ,10,eue,    58,2-1:2-0:3-1:1-0:1-1:3-0:2-2
CFR Cluj v Young Boys                        ,X ,eue,    58,2-1:1-1:1-2:1-0:2-2:0-1:2-0
Granada v PAOK Salonika                      ,10,eue,    58,1-0:2-1:2-0:3-1:1-1:2-2:3-0
Molde v Rapid Vienna                         ,X ,eue,    58,1-2:1-1:2-1:0-1:0-2:2-2:1-0:2-0:3-1
Nice v Hapoel Be'er Sheva                    ,10,eue,    58,2-0:2-1:1-0:1-1:3-1
Omonia Nicosia v PSV Eindhoven               ,21,eue,    58,1-2:0-2:1-1:0-1:1-3
Rangers v Lech Poznan                        ,10,eue,    59,2-0:2-1:3-1:1-0:1-1:2-2:3-0
Real Sociedad v Napoli                       ,X ,eue,    58,1-1:1-2:2-2:2-1:1-3:1-0:2-0
Roma v CSKA Sofia                            ,10,eue,    58,2-0:3-1:2-1:3-0:1-1:4-0
Slavia Prague v B Leverkusen                 ,21,eue,    59,1-2:1-3:0-2:0-1:1-1:2-1:1-4:2-2
Wolves v Crystal Palace                      ,0 ,en ,  1344,2-1:1-1:2-0:1-0:1-2:2-2:0-1
Sheff Utd v Man City                         ,21,en ,  1306,1-2:0-2:1-3:0-3:1-1:0-1
Burnley v Chelsea                            ,21,en ,  1302,1-2:0-2:1-3:1-1:0-1:0-3:1-0
Liverpool v West Ham                         ,10,en ,  1303,2-1:3-1:2-0:3-0:2-2:3-2:1-0
Aston Villa v Southampton                    ,X ,en ,  1281,1-1:2-1:1-2:2-2:1-0:2-0:0-1
Newcastle v Everton                          ,2 ,en ,  1275,1-2:1-1:0-2:1-3:0-1:2-1:1-0:2-2
Man Utd v Arsenal                            ,X ,en ,  1277,1-1:2-1:2-2:1-2:2-0:1-0:3-1
Tottenham v Brighton                         ,10,en ,  1275,2-0:3-0:3-1:2-1:1-0:4-0:4-1:1-1
Fulham v West Brom                           ,X ,en ,  1269,1-1:1-0:2-1:0-0:1-2:0-1:2-2
Leeds v Leicester                            ,X ,en ,  1272,2-1:2-2:1-1:1-2:1-0:1-3:2-0
Barnsley v QPR                               ,X ,en2,   183,1-1:2-1:1-0:1-2:0-0:0-1:2-0:0-2:2-2
Blackburn v Reading                          ,X ,en2,   181,2-1:1-2:1-1:2-2:1-0:2-0:0-2:0-1
