game,res,league,howmany,scores
Barcelona v PSG                              ,X ,euc,    26,2-1:1-1:2-2:3-2
RB Leipzig v Liverpool                       ,X ,euc,    26,1-1:2-1:1-2:0-1:0-2:1-3:2-0
FC Porto v Juventus                          ,X ,euc,    26,1-2:1-3:0-2:1-0:1-1:0-1:2-2
Sevilla v B Dortmund                         ,0 ,euc,    26,1-1:1-0:2-0:2-1:0-2
Atl Madrid v Chelsea                         ,10,euc,    26,2-1:2-0:1-0:1-1:2-2
Lazio v Bayern Munich                        ,21,euc,    26,0-2:1-2:1-3:0-1:0-3:1-1
Atalanta v Real Madrid                       ,X ,euc,    26,1-2:1-1:2-1:2-2:2-0
B Mgladbach v Man City                       ,1 ,euc,    26,0-2:1-2:0-3:1-0:1-1:1-3:2-0:2-2
B Dortmund v Sevilla                         ,10,euc,    21,2-1:1-1:2-0:3-1:1-0:1-2
Juventus v FC Porto                          ,0 ,euc,    20,2-0:3-0:3-1:1-0:1-1:2-1:2-2:4-0
Liverpool v RB Leipzig                       ,0 ,euc,    20,3-1:2-1:2-0:2-2:1-1:1-0:3-0
PSG v Barcelona                              ,1 ,euc,    20,2-1:2-0:3-1:1-2:1-0:1-1:2-2
Man City v B Mgladbach                       ,0 ,euc,    20,1-1:2-0:3-1:3-0:1-0:1-2:2-1:3-2:4-1
Real Madrid v Atalanta                       ,10,euc,    20,2-0:2-1:3-1:1-2:1-1:2-2:3-2
Bayern Munich v Lazio                        ,10,euc,    20,3-0:2-0:3-1:1-1:1-0:1-2:4-1:4-2
Chelsea v Atl Madrid                         ,0 ,euc,    20,1-1:2-1:2-0:0-0:1-0:1-2:3-0
Dynamo Kyiv v Club Bruges                    ,0 ,eue,    16,1-1:2-0:1-2:2-1:3-0
FK Krasnodar v Dinamo Zagreb                 ,1 ,eue,    16,2-0:0-1:0-2:1-0:1-1:1-2:2-1:3-0
Olympiakos v PSV Eindhoven                   ,X ,eue,    16,1-1:0-1:1-0:2-1:1-2:1-3:2-0:2-2:5-3
Real Sociedad v Man Utd                      ,X ,eue,    16,2-1:2-2:0-1:1-1:2-0:0-0:1-2:1-3
