game,res,league,howmany,scores
Blackburn v Preston,10,en2,339,2-1:2-0:1-0:1-1:1-2:0-0
Nottm Forest v Bournemouth,X,en2,345,1-2:2-1:1-1:0-2:1-0:0-1:2-0:2-2:0-0:1-3
Birmingham v Luton,X,en2,338,1-1:2-1:1-2:2-0:0-0:1-0:2-2:0-1
Cardiff v Coventry,10,en2,341,2-0:2-1:1-0:1-1:3-0:3-1:1-2
Derby v Middlesbrough,X,en2,342,1-1:1-2:1-0:2-1:0-1:0-0:0-2:2-0
Huddersfield v Wycombe,10,en2,343,2-0:2-1:1-0:3-0:1-1:0-0:3-1
Norwich v Stoke,10,en2,344,2-0:2-1:3-1:1-0:1-1:3-0:0-0:0-1:1-2:2-2
Reading v Millwall,10,en2,346,2-0:2-1:1-1:1-0:3-1:3-0:1-2
Rotherham v QPR,X,en2,347,1-1:1-2:1-0:2-1:2-0:2-2:0-0:0-2:0-1
Sheff Wed v Swansea,21,en2,348,1-2:0-2:1-1:0-1:2-1:1-3:0-0:1-0
Watford v Bristol City,0,en2,349,2-1:2-0:1-0:1-1:0-0:3-0
Brentford v Barnsley,10,en2,340,2-0:2-1:3-0:3-1:1-0:1-1
Leicester v Liverpool,X,en,236,1-2:2-1:1-1:2-2:1-3:1-0
Crystal Palace v Burnley,0,en,234,1-1:1-0:2-1:2-0:0-1:0-0:1-2
Man City v Tottenham,10,en,237,3-1:2-1:2-0:3-0:1-0:1-1:3-2
Brighton v Aston Villa,X,en,232,1-1:1-2:2-1:1-0:0-1:0-2:2-2
Southampton v Wolves,X,en,238,1-1:2-1:1-0:1-2:2-0:0-1:2-2:0-0:0-2
West Brom v Man Utd,21,en,239,0-2:0-3:1-3:1-2:0-4:0-1:1-1
Arsenal v Leeds,X,en,231,2-1:1-1:1-2:2-2:2-0:1-0:3-1
Everton v Fulham,10,en,235,2-0:2-1:3-1:1-0:3-0:1-1
West Ham v Sheff Utd,10,en,240,2-0:2-1:1-0:1-1:3-1:3-0
Chelsea v Newcastle,10,en,233,2-0:2-1:3-0:3-1:1-0:1-1
Burnley v Fulham,0,en,162,1-0:1-1:2-1:2-0:0-0:0-1:1-2
Everton v Man City,2,en,155,1-2:1-3:1-1:0-2:2-2:2-1:0-1
Burnley v Bournemouth,10,enf,115,2-1:2-0:1-0:1-1:1-2:3-0:3-1
Man Utd v West Ham,10,enf,114,2-1:2-0:3-1:1-2:3-2:1-0
Swansea v Man City,21,enf,112,1-3:0-2:0-3:1-2:0-4:1-4:0-1
Leicester v Brighton,10,enf,113,2-0:2-1:3-1:1-0:1-1:3-0
Sheff Utd v Bristol City,10,enf,111,2-1:2-0:1-0:1-2:1-1
Everton v Tottenham,X,enf,116,2-1:1-2:1-1:1-0:0-1:2-0:1-3:2-2:2-3:3-1
Wolves v Southampton,1,enf,109,2-1:1-2:1-0:2-0:1-1:0-1:2-2
Barnsley v Chelsea,21,enf,110,0-2:0-3:1-2:1-3:0-4:1-4:2-1:0-1
PSG v Nice,10,fr,248,3-0:2-0:3-1:1-0:1-1:2-1:4-1:4-0
Reims v Lens,X,fr,249,1-1:1-2:0-1:2-1:1-0:0-2:0-0:1-3:2-0
Lyon v Montpellier,10,fr,245,2-1:2-0:3-1:1-1:1-0:3-0:3-2:4-1
Monaco v Lorient,10,fr,247,2-0:2-1:3-1:0-1:1-0:3-0:0-0:1-1:1-2:3-2:4-0:4-1
Angers v Nantes,0,fr,241,1-1:1-0:2-1:2-0:0-0:1-2:0-1:3-1
Dijon v Nîmes,X,fr,243,1-1:0-0:1-2:0-1:1-0:2-1:2-0:2-2:0-2
Metz v Strasbourg,X,fr,246,2-1:1-2:1-1:1-0:2-0:0-1:0-0:3-2
Rennes v Saint-Étienne,X,fr,250,2-0:1-0:1-1:2-1:1-2:0-0:0-1:0-2:2-2:3-1:3-2
Lille v Brest,10,fr,244,2-0:1-0:2-1:3-0:3-1:0-1:4-0
Bordeaux v Marseille,X,fr,242,1-1:1-2:0-0:0-1:2-1:2-0:1-0:1-3:2-2
Marseille v Nice,0,fr,105,2-1:2-0:1-0:1-1:1-2:3-0:2-2:3-2
RB Leipzig v Augsburg,10,de,186,2-0:3-0:3-1:2-1:1-0:1-1:4-0
B Dortmund v Hoffenheim,10,de,183,2-1:3-1:2-0:1-1:1-0:3-0:3-2
B Leverkusen v Mainz,10,de,182,2-0:2-1:3-0:1-0:3-1:1-1
Stuttgart v Hertha Berlin,0,de,188,1-1:2-1:2-0:1-0:0-1:1-2:1-3
Werder Bremen v Freiburg,X,de,187,1-1:1-2:2-1:1-0:2-0:0-2:1-3:2-2
Union Berlin v Schalke,1,de,181,2-0:2-1:1-0:1-1:1-2:0-0:0-1:0-2:3-0
Frankfurt v Köln,10,de,184,2-0:2-1:1-0:3-1:1-1:3-0:3-2:2-2:4-1
Wolfsburg v B Mgladbach,X,de,189,2-1:1-1:1-2:2-2:3-2:2-0:1-0:0-1:3-0
Bayern Munich v Arminia Bielefeld,10,de,185,3-0:4-0:5-0:2-0:3-1:1-0:2-1:4-1
Asteras Tripolis v Lamia,10,gr,148,2-0:2-1:1-0:1-1:3-1:3-0:0-2:1-3
Apollon Smyrnis v Atromitos Athens,2,gr,149,1-1:1-2:0-1:0-2:1-0:2-1:2-2:0-0:2-0
Aris v Panetolikos,10,gr,150,2-0:3-0:1-0:2-1:1-1:0-0:0-2:3-1
Larissa v AEK Athens,21,gr,151,0-2:1-2:0-1:0-3:1-3:1-1:2-0:2-3
OFI v Volos NFC,X,gr,152,1-1:1-0:0-2:2-1:2-0:2-2:0-0:1-2:3-1:0-1
Panathinaikos v Olympiakos,2,gr,153,1-2:1-1:0-1:2-1:0-2:1-3:2-3:0-3:1-0:2-0:2-2:0-0
PAS Giannina v PAOK Salonika,21,gr,154,0-2:1-2:1-3:0-1:1-1:1-0:2-1:2-0:2-2:2-3
Apollon Smyrnis v Lamia,0,gr,36,1-1:1-0:2-1:0-0:2-0:0-1:1-2
Bologna v Benevento,0,it,211,2-1:1-1:2-0:1-0:1-2
Torino v Genoa,X,it,219,1-1:2-1:1-2:1-0:2-0:0-1
Napoli v Juventus,X,it,215,1-2:1-3:1-1:2-2:0-1:2-1:1-0
Spezia v AC Milan,21,it,218,0-2:1-2:1-3:0-3:1-1:1-4
Roma v Udinese,10,it,216,2-0:2-1:3-1:1-1:3-0:1-0
Cagliari v Atalanta,21,it,212,1-2:1-3:0-2:0-1:1-1:2-1
Sampdoria v Fiorentina,X,it,217,2-1:1-1:1-2:1-0:2-0:1-3:3-1
Crotone v Sassuolo,2,it,213,1-2:1-1:0-2:0-1:1-3:2-1:0-0
Inter Milan v Lazio,0,it,214,2-1:2-0:1-1:1-0:2-2:1-2:3-0:3-1:3-2
Hellas Verona v Parma,10,it,220,2-0:2-1:1-0:1-1:0-0:1-2:3-1:0-1:3-0
Aberdeen v St Mirren,0,sc,166,2-1:2-0:1-1:1-0:1-2:0-1
Dundee Utd v Livingston,X,sc,167,1-1:1-2:0-2:2-1:0-1:1-0:1-3:2-0
Motherwell v Hamilton,10,sc,168,2-0:2-1:1-0:1-1:1-2:2-2
Rangers v Kilmarnock,10,sc,169,3-0:2-0:2-1:3-1:4-0
Ross County v Hibernian,2,sc,170,1-2:0-2:1-1:0-1:1-3:2-1:0-3:2-2
St Johnstone v Celtic,21,sc,171,1-2:0-2:1-3:0-3:0-1:1-1:0-4
Celtic v Aberdeen,10,sc,19,2-0:2-1:3-0:3-1:1-0
St Mirren v Hamilton,X,sc,54,2-1:1-0:1-1:2-0:1-2:0-1:0-0:0-2
Real Madrid v Getafe,10,es,7,2-0:3-0:1-0:3-1:2-1:1-1
Celta Vigo v Elche,10,es,223,2-1:2-0:1-1:1-0:3-0:0-1
Granada v Atl Madrid,21,es,226,1-2:1-3:0-2:0-1:0-0:1-1:0-3:2-1:2-3
Sevilla v Huesca,10,es,229,2-0:3-0:2-1:3-1:1-0:1-1
Eibar v Real Valladolid,X,es,224,1-1:1-0:2-1:1-2:0-0:0-1:2-0
Barcelona v Alavés,10,es,221,2-0:3-0:2-1:3-1:1-1:4-0
Getafe v Real Sociedad,X,es,225,1-1:0-1:1-2:2-2:0-2:2-1:1-0:0-0
Real Madrid v Valencia,10,es,228,2-1:2-0:1-1:3-1:1-0
Levante v Osasuna,X,es,227,2-1:1-1:1-0:2-0:0-2:0-1:1-2
Villarreal v Real Betis,0,es,230,2-1:2-0:1-1:1-0:2-2:1-2:0-1:3-1
Cádiz v Ath Bilbao,X,es,222,1-1:1-2:2-1:0-1:0-2:2-2:1-0:0-0:1-3
Levante v Atl Madrid,21,es,14,1-2:0-2:1-3:0-1:1-1:0-3:1-0
Barcelona v PSG,X,euc,97,2-1:1-1:2-2:1-0:1-2:3-2:1-3:3-1:2-0
RB Leipzig v Liverpool,X,euc,98,1-1:1-2:2-1:0-1:1-3:1-0:2-0
FC Porto v Juventus,2,euc,99,1-2:0-2:1-1:0-1:1-3:1-0:2-2
Sevilla v B Dortmund,X,euc,100,1-1:2-1:2-0:1-0:1-2:0-2:0-1:1-3:2-2:3-1
Atl Madrid v Chelsea,0,euc,101,2-1:2-0:1-0:1-1:2-2:3-1:0-0:3-0
Lazio v Bayern Munich,21,euc,102,1-3:1-2:0-2:0-1:0-3:1-1:0-4
Atalanta v Real Madrid,X,euc,103,1-2:1-1:2-1:2-2:1-0:0-0
B Mgladbach v Man City,21,euc,104,0-2:1-2:1-3:0-3:1-1:2-2:1-0
B Dortmund v Sevilla,0,euc,105,2-1:2-0:1-1:1-0:3-1:0-1:0-4:1-2:2-2
Juventus v FC Porto,10,euc,106,2-0:3-0:3-1:1-0:2-1:0-1:0-4:1-1:2-2:4-1
Liverpool v RB Leipzig,10,euc,107,2-1:3-1:2-0:1-0:2-2:1-1:1-2:3-0:0-4:3-2
PSG v Barcelona,1,euc,108,2-1:2-0:1-2:1-1:3-1:1-0:2-2:0-1:2-3:3-2
Man City v B Mgladbach,10,euc,109,2-0:3-0:3-1:1-1:2-1:1-0:1-2:4-1:0-4:2-2:4-0
Real Madrid v Atalanta,10,euc,110,2-0:2-1:3-1:1-1:1-2:3-2:4-1:0-4:2-2:3-0
Bayern Munich v Lazio,10,euc,112,2-0:3-0:3-1:2-1:1-0:4-1:4-2:0-4
Chelsea v Atl Madrid,X,euc,111,1-1:2-1:1-2:2-0:0-2:1-0:2-2:0-0:0-4:1-3:3-0
Dynamo Kyiv v Club Bruges,X,eue,146,1-1:2-1:2-0:1-0:1-2:3-1:0-1:1-3
FK Krasnodar v Dinamo Zagreb,X,eue,147,1-1:2-1:1-0:0-1:2-0:0-0:0-2:1-2:2-2
Olympiakos v PSV Eindhoven,X,eue,148,1-1:1-0:2-1:2-0:1-2:1-3:2-2:0-0:0-1:0-2
Real Sociedad v Man Utd,X,eue,149,1-2:1-1:2-1:0-1:0-2:1-3:2-0:2-2:0-0:1-0:3-0
Red Star Belgrade v AC Milan,21,eue,145,0-2:1-2:1-1:0-3:0-1:1-0:1-3:2-1:3-1
RZ Pellets WAC v Tottenham,21,eue,150,0-2:0-3:1-3:1-2:0-1:0-0:0-4:1-1:1-4:2-2
Slavia Prague v Leicester,2,eue,151,1-2:1-1:0-1:0-2:1-0:1-3:0-3:2-2
Sporting Braga v Roma,X,eue,152,1-2:1-1:0-1:2-1:0-2:2-2:0-0:1-0:1-3
Young Boys v B Leverkusen,2,eue,153,1-2:1-1:0-2:0-1:1-3:2-2:0-3:1-0:2-0:2-1
