game,res,league,howmany,scores
Watford v Burnley,0,en2,24,1-1:2-1:1-0:1-2:2-2:2-0
Cardiff v Birmingham,0,en2,16,2-1:1-1:1-0:2-0:0-1:1-2
Blackpool v Swansea,X,en2,15,1-1:1-2:1-0:2-1:2-0:0-1
Huddersfield v Stoke,X,en2,17,1-1:2-1:1-2:0-1:1-0:2-0
Hull v Norwich,2,en2,18,1-2:1-1:0-2:0-1:1-0:2-1:1-3
Luton v Preston,0,en2,19,2-1:2-0:1-0:1-1:0-0:1-2
Millwall v Coventry,0,en2,21,1-0:2-1:2-0:1-1:0-1:0-0:1-2:3-1
Rotherham v Reading,X,en2,22,1-1:1-0:1-2:0-1:2-1:2-0:0-2:0-0
Sunderland v QPR,X,en2,23,2-1:2-0:1-1:1-2:2-2:1-0:3-1:0-2
Wigan v Bristol City,X,en2,25,2-1:1-1:1-0:2-0:1-2:0-2:0-0:0-1
Middlesbrough v Sheff Utd,X,en2,20,1-1:1-2:2-1:2-0:1-0:2-2
Blackburn v West Brom,X,en2,14,1-1:2-1:1-2:0-1:2-0:1-3:1-0:2-2:3-1:0-2
Aston Villa v Everton,0,en,12,1-1:2-1:1-0:2-0:1-2:0-1:2-2
Arsenal v Leicester,10,en,11,2-1:2-0:3-1:3-0:1-1:1-0
Brighton v Newcastle,X,en,14,1-1:1-2:2-1:2-2:1-0:0-1:2-0
Man City v Bournemouth,10,en,17,3-0:4-0:3-1:2-0:5-0:4-1
Southampton v Leeds,X,en,19,1-1:1-2:2-1:1-0:0-1:2-2:2-0:0-0:0-2
Wolves v Fulham,X,en,20,1-1:2-1:1-0:1-2:2-0:2-2:0-1
Brentford v Man Utd,X,en,13,1-2:1-1:2-1:0-2:2-2:1-3:0-1:1-0
Nottm Forest v West Ham,2,en,18,1-2:0-2:1-1:0-1:2-1:1-3:1-0
Chelsea v Tottenham,X,en,15,2-2:1-1:1-2:2-1:1-3
Liverpool v Crystal Palace,10,en,16,2-0:3-0:3-1:2-1:4-0:1-0
Middlesbrough v Chelsea,21,enf,207,1-2:1-3:0-2:0-3:0-1:2-1
Crystal Palace v Everton,1,enf,206,2-1:2-0:1-2:1-0:0-1:1-1:3-1
Southampton v Man City,21,enf,208,1-2:1-3:0-2:0-3:0-1:1-0:2-1
Nottm Forest v Liverpool,21,enf,209,0-2:1-3:1-2:0-3:0-4:0-1:1-4
Man City v Liverpool,X,enf,211,2-1:1-2:1-1:2-2:2-3:1-0:3-1
Chelsea v Crystal Palace,10,enf,210,2-1:2-0:3-1:1-0:1-2:3-0
Chelsea v Liverpool,1,enf,212,1-2:1-3:2-1:0-2:1-1:1-0:3-1
Nantes v Lille,X,fr,16,1-1:1-2:0-2:2-1:0-1:0-0:1-3:2-2:1-0:2-3
Monaco v Rennes,0,fr,15,2-1:2-0:1-1:1-0:3-1:0-1:2-2:0-2:1-2
PSG v Montpellier,10,fr,18,2-0:3-0:3-1:4-0:2-1:5-0:0-1:1-0:1-1
Lorient v Lyon,2,fr,14,1-2:0-2:1-1:0-1:1-3:1-0:0-3:0-4:2-1:2-2
Ajaccio v Lens,X,fr,11,1-1:1-2:0-1:0-2:1-0:1-3:0-0:2-0:2-1
Auxerre v Angers,X,fr,12,1-1:1-0:2-1:0-0:0-1:2-0:1-2:2-2:0-2:3-0
Reims v Clermont,0,fr,19,1-0:2-0:2-1:1-1:0-0:0-1:1-2
Troyes v Toulouse,X,fr,20,1-1:1-0:2-1:0-1:1-2:0-0:2-0:2-2:1-3
Nice v Strasbourg,0,fr,17,2-1:1-0:1-1:2-0:0-1:1-2
Brest v Marseille,21,fr,13,1-2:0-2:0-1:1-3:1-1:1-0:0-0:1-4:2-1:2-3
Freiburg v B Dortmund,2,de,16,1-2:1-1:1-3:2-1:0-2:2-2:0-1:1-0:2-3
B Leverkusen v Augsburg,10,de,11,2-0:2-1:1-0:3-0:3-1:1-1:4-0
Hertha Berlin v Frankfurt,X,de,14,1-1:2-1:1-2:1-0:0-1:0-2:2-3:1-3:2-2
Hoffenheim v VfL Bochum,10,de,18,2-0:2-1:1-0:3-1:1-1:3-0:1-2
RB Leipzig v Köln,10,de,15,2-1:2-0:1-0:3-1:1-1:3-0:0-1
Werder Bremen v Stuttgart,0,de,17,1-1:1-0:2-1:1-2:0-0:2-2:3-0:3-1
Schalke v B Mgladbach,X,de,13,1-2:1-1:0-1:2-2:0-2:2-1:1-0:1-3:2-0:2-3
Mainz v Union Berlin,X,de,10,1-1:1-0:1-2:2-1:2-2:0-1:2-0:0-0
Bayern Munich v Wolfsburg,10,de,12,3-0:2-0:4-0:3-1:4-1:1-0:5-1:1-1
Volos NFC v Asteras Tripolis,0,gr,7,1-1:2-1:0-0:1-0:2-0:1-2:0-3:1-3:2-2:3-0:3-1:3-2
