game,res,league,howmany,scores
Blackburn v QPR,X,en2,411,2-1:1-1:2-0:1-2:1-0:2-2:0-1:0-2
Barnsley v Middlesbrough,2,en2,409,1-2:0-2:1-1:0-1:1-3:0-0:1-0:2-1
Birmingham v Huddersfield,X,en2,410,1-2:1-1:0-2:2-0:2-1:0-1:1-0:0-0
Blackpool v Reading,X,en2,412,2-1:1-1:1-0:2-0:1-2:0-1:2-2
Bournemouth v Stoke,10,en2,413,2-1:2-0:3-1:1-0:1-1:0-1:2-2:3-0:1-2:0-0
Cardiff v Fulham,21,en2,414,1-2:0-2:1-3:1-1:0-1:2-1:0-3
Coventry v Preston,0,en2,415,2-1:1-1:1-0:2-0:0-1:1-2
Luton v Derby,X,en2,416,2-1:2-0:1-1:1-0:1-2:0-1:3-1:0-2:2-2
Millwall v Sheff Utd,X,en2,417,1-2:1-1:0-1:2-1:2-2:0-0:1-0:0-2:2-0
Nottm Forest v Bristol City,10,en2,418,2-0:2-1:3-1:1-0:1-1:3-0:0-0
Peterborough v Hull,X,en2,419,1-1:2-1:0-1:1-0:0-0:1-2:0-2:2-0:2-2
West Brom v Swansea,0,en2,420,2-1:1-0:2-0:1-1:0-1:1-2
Cardiff v Derby,X,en2,269,1-1:2-1:1-2:2-0:1-0:0-1:2-2:0-0
Burnley v Tottenham,2,en,124,1-2:0-2:1-1:1-3:0-1:2-1:1-0:2-2
Watford v Crystal Palace,X,en,178,1-1:1-2:2-1:1-0:0-1:0-2:2-2:0-0:2-0
Liverpool v Leeds,10,en,184,3-0:3-1:2-0:4-0:2-1:4-1
Arsenal v Wolves,0,en,191,2-1:1-1:2-0:1-0:1-2:2-2:3-1:0-1
Southampton v Norwich,10,en,269,2-0:2-1:1-0:3-1:1-1:3-0
Leeds v Tottenham,21,en,267,1-2:1-3:1-1:0-2:2-2:2-1:0-1
Brentford v Newcastle,X,en,262,1-1:1-2:0-1:2-1:0-2:1-0:2-2:2-0:1-3
Brighton v Aston Villa,X,en,263,1-1:2-1:1-2:1-0:2-2:0-1:0-2:2-0:0-0
Crystal Palace v Burnley,0,en,265,2-1:1-1:1-0:2-0:1-2:0-1:0-0
Man Utd v Watford,10,en,268,2-0:3-0:3-1:2-1:1-0:4-0:1-1
Everton v Man City,21,en,266,1-3:0-3:0-2:1-2:1-4:0-4:1-1:0-1
Chelsea v Leicester,10,en,264,2-0:2-1:3-1:1-0:1-1:3-0:2-2
West Ham v Wolves,0,en,270,1-1:2-1:2-2:1-2:1-0:2-0:0-1
Burnley v Leicester,2,en,213,1-2:1-1:0-2:0-1:1-0:2-1:1-3
Peterborough v Man City,21,enf,204,0-3:0-4:0-5:1-4:0-6:1-3:0-2:1-5
Crystal Palace v Stoke,10,enf,198,2-1:2-0:3-1:3-0:1-0:1-2
Middlesbrough v Tottenham,21,enf,202,1-2:0-2:1-3:1-1:1-0:2-1:0-1:0-3
Luton v Chelsea,21,enf,201,1-3:0-2:0-3:1-2:0-1:0-4:1-4
Southampton v West Ham,1,enf,205,2-1:1-2:1-1:2-0:0-1:1-0:1-3:2-2:3-2
Liverpool v Norwich,10,enf,200,3-0:3-1:2-0:4-0:4-1:2-1
Everton v Boreham Wood,10,enf,199,3-0:4-0:2-0:3-1:5-0:4-1:2-1:5-1:6-0
Nottm Forest v Huddersfield,10,enf,203,2-1:2-0:1-1:3-1:1-2:1-0:0-1
Lorient v Lyon,2,fr,264,1-2:0-1:0-0:2-2:0-2:1-0:1-3:2-1
Lens v Brest,X,fr,262,2-1:1-1:0-1:2-0:0-2:1-0:1-3:2-2:3-1
Nice v PSG,2,fr,267,0-2:1-3:1-2:0-1:1-1:0-0:1-0:2-2
Saint-Étienne v Metz,X,fr,270,0-1:1-1:2-1:1-0:1-2:2-2:0-2:1-3:2-0
Bordeaux v Troyes,X,fr,261,2-0:1-1:0-0:1-0:2-1:0-1:0-2:1-2:1-3:2-2:3-1
Nantes v Montpellier,X,fr,266,0-1:1-1:1-2:2-1:0-2:1-0:1-3:2-2:3-0
Reims v Strasbourg,X,fr,268,2-0:0-2:1-0:1-2:1-1:0-1:1-3:2-2
Rennes v Angers,X,fr,269,2-0:2-1:3-0:0-1:1-1:0-2:1-0:1-2:1-3:2-2
Lille v Clermont,X,fr,263,1-0:2-0:2-1:3-1:0-0:0-1:0-2:1-1:1-2:1-3:2-2:3-0:5-1
Marseille v Monaco,X,fr,265,2-1:0-1:1-1:0-2:2-0:2-2:1-2:1-3
Arminia Bielefeld v Augsburg,X,de,219,1-1:2-1:1-0:0-2:1-2:0-0:1-3:0-1:2-2:3-1
Bayern Munich v B Leverkusen,X,de,220,2-2:2-0:2-1:3-1:0-2:1-0:0-1:1-1:1-2:1-3:3-2:4-0:4-2
Hertha Berlin v Frankfurt,X,de,221,1-2:1-0:2-1:1-1:0-0:0-2:2-0:2-2:0-1:1-3
RB Leipzig v Freiburg,10,de,222,2-0:2-1:3-1:1-0:1-1:3-0:0-1:0-2:1-3:2-2:3-2
VfL Bochum v Fürth,X,de,224,1-0:2-1:2-2:0-0:0-1:1-1:3-1:3-2:0-2:1-2:1-3
Wolfsburg v Union Berlin,X,de,225,1-1:2-1:1-0:0-1:0-2:2-0:2-2:1-2:1-3:2-3:3-1
Stuttgart v B Mgladbach,X,de,223,1-2:1-1:2-0:0-2:1-0:2-1:2-2:0-1:1-3:3-0:3-2
Mainz v B Dortmund,X,de,218,1-2:0-2:1-1:2-2:1-0:1-3:2-1:0-1:1-4:3-2
Köln v Hoffenheim,X,de,217,1-2:2-2:1-0:0-1:0-2:1-1:2-1:1-3:0-0
Asteras Tripolis v Aris,X,gr,170,1-1:1-2:1-0:0-1:2-1:2-0:0-0:2-2
Panetolikos v Volos NFC,0,gr,173,1-0:2-1:1-1:1-2:2-0:2-2:0-1:0-0
PAOK Salonika v Ionikos FC,10,gr,174,2-0:1-0:3-0:1-1:2-1:3-1
Olympiakos v OFI,10,gr,171,2-0:2-1:3-0:3-1:1-0:1-1
Panathinaikos v AEK Athens,X,gr,172,1-1:1-2:2-1:1-0:2-2:0-0:0-1
Apollon Smyrnis v Atromitos Athens,X,gr,169,0-1:1-1:0-2:1-2:2-1:1-0:2-2:1-3
PAS Giannina v Lamia,10,gr,175,2-0:1-0:1-1:2-1:0-0:3-0:0-1:3-1
AC Milan v Udinese,10,it,265,2-0:2-1:1-0:3-1:3-0:1-2
Genoa v Inter Milan,21,it,263,0-1:0-2:1-2:0-0:0-3:1-3:1-1
Salernitana v Bologna,X,it,266,1-1:1-2:2-1:0-1:0-2:2-2:1-0:0-0
Empoli v Juventus,21,it,262,1-2:0-2:0-3:0-1:1-1:1-3
Sassuolo v Fiorentina,X,it,267,1-2:2-1:1-1:2-2:0-1:1-0:1-3:0-2
