game,res,league,howmany,scores
Lokomotiv Moscow v RB Salzburg               ,X ,euc,    68,1-2:2-1:1-1:1-0:0-0:0-1:2-0:2-2
Shakhtar Donetsk v Real Madrid               ,21,euc,    68,0-2:1-3:1-2:0-1:0-3:1-1:0-4
Atalanta v FC Midtjylland                    ,10,euc,    68,3-0:2-0:2-1:3-1:4-1:4-0
Atl Madrid v Bayern Munich                   ,21,euc,    68,1-2:1-1:1-3:2-1:0-1:0-2:2-3
B Mgladbach v Inter Milan                    ,X ,euc,    68,1-2:2-1:2-2:1-1:1-0:0-2:0-1:2-3:3-2
FC Porto v Man City                          ,2 ,euc,    68,1-2:0-2:1-1:1-3:2-2:1-0:2-1
Liverpool v Ajax                             ,10,euc,    68,2-1:2-0:1-0:3-1:1-1:2-2:1-2
Marseille v Olympiakos                       ,0 ,euc,    68,2-0:1-0:1-1:2-1:0-1:1-2:0-0:2-2
FK Krasnodar v Rennes                        ,X ,euc,    67,1-1:1-2:1-0:2-1:2-2:0-2:2-0:0-1
Istanbul Basaksehir v RB Leipzig             ,2 ,euc,    67,0-2:1-2:1-3:1-1:0-1:2-2:2-0:2-1
B Dortmund v Lazio                           ,0 ,euc,    67,2-1:2-0:3-1:2-2:1-0:1-1:3-2
Club Bruges v Zenit St Petersburg            ,X ,euc,    67,1-1:2-0:2-1:1-0:1-2:2-2:0-1:1-3:3-1
Ferencvárosi TC v Barcelona                  ,21,euc,    67,0-3:0-2:1-3:0-4:1-4:1-2
Juventus v Dynamo Kyiv                       ,10,euc,    67,2-0:3-0:2-1:1-0:3-1:4-0:4-2
Man Utd v PSG                                ,X ,euc,    67,2-1:1-1:2-2:1-2:1-0:1-3:2-0:3-2
Sevilla v Chelsea                            ,X ,euc,    67,1-1:2-1:1-2:1-0:2-2:0-2:0-1
AC Milan v Celtic                            ,10,eue,    27,2-0:2-1:1-1:3-0:3-2
AEK Athens v Sporting Braga                  ,X ,eue,    27,1-2:0-1:1-1:2-1:0-2
CSKA Moscow v RZ Pellets WAC                 ,10,eue,    27,1-0:2-0:1-1:3-0:2-1:3-1
Feyenoord v Dinamo Zagreb                    ,X ,eue,    27,2-1:1-1:1-2:3-1:1-0:2-0
FK Qarabag v Maccabi Tel-Aviv                ,X ,eue,    27,2-1:1-1:0-0:1-2:1-0
KAA Gent v Slovan Liberec                    ,10,eue,    27,2-0:2-1:1-0:1-1:1-2
LASK v Tottenham                             ,21,eue,    27,0-2:1-3:1-2:1-1:0-3:0-4:1-4
Lille v Sparta Prague                        ,10,eue,    27,2-1:2-0:1-2:1-0:1-1:3-1
Red Star Belgrade v Hoffenheim               ,21,eue,    27,1-2:0-1:1-1:1-3:2-1:0-2:2-3
Royal Antwerp v Ludogorets                   ,10,eue,    27,2-0:1-0:1-1:3-0:3-1
Sivasspor v Villarreal                       ,21,eue,    27,0-2:0-3:1-2:1-3:0-1:1-1
