game,res,league,howmany,scores
Hull v Luton,X,en2,127,1-1:2-1:1-2:0-1:0-0:0-2:1-0:2-0:2-2:1-3:3-1:4-0
Blackburn v Millwall,1,en2,122,2-1:1-2:1-1:2-0:3-1:0-0:0-1:1-0:1-3:3-0:4-0
Blackpool v Norwich,2,en2,123,1-1:1-2:0-2:1-3:0-0:0-1:0-3:0-5:1-0:1-4:1-5:2-0
Bristol City v QPR,X,en2,124,2-1:1-1:1-2:0-1:0-0:2-0:2-2
Cardiff v Burnley,2,en2,125,1-1:1-2:0-2:0-1:1-3:0-0:2-1:3-1:1-0
Coventry v Middlesbrough,X,en2,126,1-1:1-2:0-1:2-1:0-0:1-0:1-3:2-0:3-2
Reading v Huddersfield,X,en2,128,2-1:1-2:0-1:1-1:2-0:0-0:1-0:2-4:3-1
Rotherham v Wigan,X,en2,129,1-1:1-0:1-2:2-1:0-1:0-0:2-0:2-2:3-0
Sheff Utd v Birmingham,0,en2,130,2-0:2-1:3-0:1-1:0-0:1-0:3-1:1-2:2-2:3-2:5-1
Sunderland v Preston,0,en2,132,2-0:2-1:1-1:0-0:1-2:0-1:0-4:1-0:2-2:3-0:3-1:3-3
West Brom v Swansea,0,en2,133,2-1:2-0:1-1:1-2:1-0:0-0
Stoke v Watford,X,en2,131,2-1:1-2:1-1:0-1:1-0:2-2:0-0:0-3:0-4:2-0:2-3
Aston Villa v Southampton,X,en,71,2-1:1-1:1-2:1-0:2-0:2-2:0-1
Nottm Forest v Fulham,X,en,78,1-1:1-2:2-1:2-2:1-0:0-2:0-1:2-0:1-3
Wolves v Man City,21,en,80,1-3:0-3:0-2:1-2:0-4:1-4:0-1:1-1
Newcastle v Bournemouth,10,en,77,2-0:2-1:3-0:3-1:1-0:1-1
Tottenham v Leicester,10,en,79,2-0:3-1:2-1:3-0:1-0:1-1:4-1
Brentford v Arsenal,2,en,72,1-2:1-3:1-1:2-2:0-2:2-1:0-1
Everton v West Ham,X,en,75,1-1:1-2:2-1:1-0:0-1:2-2:0-0:0-2:2-0
Middlesbrough v Chelsea,21,enf,207,1-2:1-3:0-2:0-3:0-1:2-1
Crystal Palace v Everton,1,enf,206,2-1:2-0:1-2:1-0:0-1:1-1:3-1
Southampton v Man City,21,enf,208,1-2:1-3:0-2:0-3:0-1:1-0:2-1
Nottm Forest v Liverpool,21,enf,209,0-2:1-3:1-2:0-3:0-4:0-1:1-4
Man City v Liverpool,X,enf,211,2-1:1-2:1-1:2-2:2-3:1-0:3-1
Chelsea v Crystal Palace,10,enf,210,2-1:2-0:3-1:1-0:1-2:3-0
Chelsea v Liverpool,1,enf,212,1-2:1-3:2-1:0-2:1-1:1-0:3-1
Auxerre v Lorient,X,fr,71,1-1:2-1:0-1:2-0:1-2:1-0:0-0:2-2:0-2
Montpellier v Strasbourg,X,fr,77,2-1:1-1:1-2:2-0:0-1:1-0:0-2:3-1:2-2
Lille v Toulouse,0,fr,74,2-0:2-1:1-0:1-1:2-2:3-0:3-1:0-0
Reims v Monaco,X,fr,80,1-2:1-1:0-1:0-2:2-1:1-3:1-0:0-0:2-0:2-2
Brest v Ajaccio,X,fr,72,1-0:2-0:1-1:1-2:2-1:0-1:0-0:3-1
Clermont v Troyes,X,fr,73,1-1:2-1:0-1:1-0:2-0:1-2:0-0:2-2:0-2
Marseille v Rennes,0,fr,76,2-1:2-0:3-1:1-0:1-1:1-2:2-2:3-0:0-0:0-1
Nice v Angers,0,fr,79,2-0:2-1:1-0:1-1:0-0:0-1:3-0:2-2:1-2
Nantes v Lens,X,fr,78,1-2:1-1:2-1:1-0:0-2:0-0:2-0:0-1:1-3:2-2
Lyon v PSG,21,fr,75,1-2:1-3:0-2:1-1:2-2:3-2:0-1:0-3:2-1:0-0
Mainz v Hertha Berlin,X,de,56,2-1:1-1:1-2:1-0:2-0:0-1:2-2:3-1
Augsburg v Bayern Munich,21,de,60,1-3:0-2:0-3:1-2:0-1:0-4:0-5:1-4
B Dortmund v Schalke,10,de,58,2-1:2-0:3-1:1-0:1-1:2-2:3-0
