game,res,league,howmany,scores
Rotherham v Blackburn,X,en2,310,1-2:0-1:0-2:1-1:2-1:1-0:1-3:0-3:2-2
Bristol City v Birmingham,X,en2,302,1-1:1-0:1-2:0-1:0-2:2-1:2-0:2-2:0-0:2-3
Burnley v Coventry,10,en2,303,2-0:2-1:1-0:3-1:3-0:0-1:2-3:4-0
Cardiff v Wigan,X,en2,304,1-0:1-1:2-1:1-2:0-1:2-0:0-2
Hull v Huddersfield,X,en2,305,1-1:0-1:1-0:2-0:2-1:1-2:0-0:2-2
Luton v West Brom,X,en2,306,1-2:1-1:0-1:2-1:0-2:1-0:2-2:0-0
Middlesbrough v Millwall,0,en2,307,1-0:1-1:2-1:2-0:3-1:0-1:1-2:2-2
Preston v Norwich,X,en2,308,1-2:1-1:0-1:1-0:2-1:2-2:0-2:1-3:0-0
Reading v QPR,X,en2,309,1-1:2-0:1-2:2-1:0-1:1-0:0-0:1-3:2-2
Sheff Utd v Stoke,1,en2,311,2-0:2-1:3-1:0-1:1-0:3-2:1-1:3-0:0-0:0-2:1-2
Sunderland v Swansea,X,en2,312,2-1:1-1:1-0:2-0:0-2:2-2:0-1:1-2
Watford v Blackpool,10,en2,313,2-0:2-1:1-0:0-1:1-1:3-0:3-1:1-2
Brentford v Liverpool,21,en,183,1-2:1-3:0-2:1-1:2-2:0-3:0-1:2-1
Arsenal v Newcastle,0,en,181,2-1:1-1:2-2:2-0:3-1:1-0:1-2:0-1
Everton v Brighton,X,en,186,1-1:1-2:2-1:1-0:0-1:0-2:2-0:2-2:0-0
Leicester v Fulham,X,en,188,2-1:1-1:1-2:2-0:1-0:2-2:0-1:3-1
Man Utd v Bournemouth,10,en,189,2-0:3-0:2-1:3-1:1-0:4-0
Southampton v Nottm Forest,X,en,190,1-1:2-1:1-0:1-2:0-1:0-0:2-0:2-2
Leeds v West Ham,X,en,187,2-1:1-1:1-0:1-2:2-0:2-2:0-1
Aston Villa v Wolves,0,en,182,2-1:2-0:1-1:1-0:3-1:1-2:2-2:0-1
Crystal Palace v Tottenham,X,en,185,1-2:1-1:2-1:0-2:2-2:1-3:0-1:1-0
Chelsea v Man City,21,en,184,1-2:1-3:0-2:1-1:2-2:0-1:2-1
Man Utd v Everton,10,enf,90,2-0:2-1:3-1:1-0:3-0
Crystal Palace v Southampton,10,enf,79,2-1:2-0:1-0:0-1:3-1:1-1:1-2
Forest Green v Birmingham,21,enf,82,1-2:0-2:0-1:1-1:1-3:1-0:0-3
Gillingham v Leicester,21,enf,100,0-2:0-3:1-2:1-3:0-1
Preston v Huddersfield,10,enf,95,2-1:1-0:2-0:1-1:0-1:2-2:1-2
Reading v Watford,X,enf,96,1-2:1-1:2-1:1-0:0-1:0-2:2-0
Tottenham v Portsmouth,10,enf,101,2-0:3-0:3-1:4-0:2-1:1-0:4-1
Blackpool v Nottm Forest,21,enf,71,1-2:1-3:0-2:0-1:1-1:1-0:2-1:2-2
