game,res,league,howmany,scores
Lokomotiv Moscow v RB Salzburg               ,X ,euc,   213,2-1:1-1:1-2:1-0:2-2:0-2:2-0
Shakhtar Donetsk v Real Madrid               ,21,euc,   213,1-2:0-2:1-3:1-1:0-3:0-1
Atalanta v FC Midtjylland                    ,10,euc,   208,3-0:2-0:3-1:4-1:4-0:2-1
Atl Madrid v Bayern Munich                   ,X ,euc,   208,1-2:1-1:2-1:1-3:0-2:1-0:0-1:2-2
B Mgladbach v Inter Milan                    ,X ,euc,   208,2-1:2-2:1-2:1-1:1-0:3-1:0-2:1-3:2-0:2-3
FC Porto v Man City                          ,2 ,euc,   208,1-2:0-2:1-1:1-3:2-2:2-1:0-1
Liverpool v Ajax                             ,10,euc,   209,2-1:2-0:3-1:2-2:1-1:1-2:1-0:3-0
Marseille v Olympiakos                       ,0 ,euc,   208,1-1:2-0:2-1:1-0:0-1:1-2:0-0
FK Krasnodar v Rennes                        ,X ,euc,   182,1-1:1-2:2-1:1-0:2-0:0-0:0-2:2-2:0-1
Istanbul Basaksehir v RB Leipzig             ,21,euc,   182,1-2:0-2:1-3:1-1:0-1:0-3:2-2
B Dortmund v Lazio                           ,10,euc,   183,2-1:2-0:3-1:1-0:1-1:3-2:3-0
Club Bruges v Zenit St Petersburg            ,X ,euc,   182,1-1:2-1:2-0:1-2:1-0:2-2:0-1
Ferencvárosi TC v Barcelona                  ,21,euc,   182,0-3:0-2:1-3:0-4:1-4:1-2:0-5
Juventus v Dynamo Kyiv                       ,10,euc,   182,2-0:3-0:2-1:3-1:4-0:1-0
Man Utd v PSG                                ,X ,euc,   182,2-1:1-2:1-1:2-2:1-3:1-0:3-1:2-0
Sevilla v Chelsea                            ,X ,euc,   183,1-1:1-2:2-1:1-0:0-1:2-2:0-0:0-2
AC Milan v Celtic                            ,10,eue,    60,2-0:2-1:3-0:3-1:1-0:1-1:4-0:3-2:4-1
AEK Athens v Sporting Braga                  ,X ,eue,    60,1-2:1-1:2-1:0-1:2-2
CSKA Moscow v RZ Pellets WAC                 ,10,eue,    60,2-0:1-0:1-1:2-1:3-0:3-1:1-2
Feyenoord v Dinamo Zagreb                    ,0 ,eue,    60,1-1:2-1:1-2:1-0:3-1:2-0:2-2
FK Qarabag v Maccabi Tel-Aviv                ,X ,eue,    60,1-1:2-1:1-2:1-0:0-0:0-1:2-2:2-0
KAA Gent v Slovan Liberec                    ,10,eue,    60,2-1:2-0:1-0:1-1:1-2:3-1:0-1:2-2
LASK v Tottenham                             ,21,eue,    60,0-2:1-2:1-3:0-3:1-1:1-4
Lille v Sparta Prague                        ,10,eue,    60,2-1:2-0:1-0:1-2:3-1:1-1:2-2
Red Star Belgrade v Hoffenheim               ,X ,eue,    60,1-1:1-2:2-1:0-1:1-3:2-2:0-2:1-0:2-3:3-1:3-2
Royal Antwerp v Ludogorets                   ,10,eue,    60,2-0:1-0:1-1:2-1:3-0:3-1
Sivasspor v Villarreal                       ,21,eue,    60,0-2:1-2:1-3:1-1:0-1:0-3
Zorya Luhansk v Leicester                    ,21,eue,    60,0-2:0-3:1-2:1-3:0-1:1-1:2-2
Arsenal v Rapid Vienna                       ,10,eue,    60,2-0:2-1:3-1:3-0:4-1:1-1
AZ Alkmaar v Napoli                          ,2 ,eue,    60,1-2:1-1:0-1:2-1:0-2:1-3:2-2
Benfica v Lech Poznan                        ,10,eue,    60,2-0:2-1:3-0:3-1
CFR Cluj v CSKA Sofia                        ,0 ,eue,    60,1-0:1-1:2-1:2-0:1-2:2-2
Granada v PSV Eindhoven                      ,0 ,eue,    60,2-1:1-1:2-2:1-0:2-0:1-2:0-0:3-1
Molde v Dundalk                              ,10,eue,    60,2-0:2-1:1-1:3-0:1-0:3-1:1-2
Nice v B Leverkusen                          ,2 ,eue,    60,1-2:2-2:1-3:1-1:2-1:0-3:2-3
Omonia Nicosia v PAOK Salonika               ,2 ,eue,    60,1-1:1-2:0-2:0-1:2-1:0-0
Rangers v Standard Liege                     ,10,eue,    60,2-0:2-1:3-1:1-1:3-0
Real Sociedad v HNK Rijeka                   ,10,eue,    60,2-0:2-1:3-0:3-1:4-0:1-1
Roma v Young Boys                            ,10,eue,    60,2-1:2-0:3-1:3-0:1-1:4-0
Slavia Prague v Hapoel Be'er Sheva           ,10,eue,    60,2-1:3-1:2-0:1-1:3-0:0-0:1-0
Aston Villa v Newcastle                      ,0 ,en ,  1259,2-1:1-1:2-0:1-2:1-0:2-2:0-1:3-1
Burnley v Everton                            ,2 ,en ,  1233,1-2:0-2:1-1:0-1:1-0:1-3:2-1
Man City v Fulham                            ,10,en ,  1230,3-0:4-0:5-0:2-0:3-1:4-1
West Ham v Man Utd                           ,X ,en ,  1228,1-2:1-1:2-1:2-2:1-3:0-2:0-1:1-0
Chelsea v Leeds                              ,10,en ,  1229,2-1:2-0:3-1:1-1:2-2:3-2:3-0:1-0
West Brom v Crystal Palace                   ,X ,en ,  1221,1-1:1-2:1-0:0-1:2-1:0-0:0-2:2-0:2-2
Sheff Utd v Leicester                        ,21,en ,  1223,1-2:0-2:1-1:1-3:0-1:0-3:1-0:2-1
