game,res,league,howmany,scores
Coventry v Luton,1,en2,557,1-2:2-1:2-0:1-3:0-1:0-2:1-1:1-0
Arsenal v Wolves,10,en,371,2-0:2-1:3-0:3-1:1-0:1-1:4-0
Aston Villa v Brighton,X,en,372,1-1:2-1:1-2:2-2:1-0:2-0:0-1
Brentford v Man City,21,en,373,1-2:1-3:0-2:1-1:0-3:2-1:2-2:1-4
Chelsea v Newcastle,X,en,374,1-2:1-1:2-1:0-2:1-3:0-1:2-2:2-0:1-0
Crystal Palace v Nottm Forest,0,en,375,2-1:1-1:2-0:1-0:1-2:2-2:0-1:3-1
Everton v Bournemouth,0,en,376,1-0:2-1:2-0:1-1:1-2:0-1:3-1
Leeds v Tottenham,X,en,377,1-2:2-1:1-1:0-2:1-0:1-3:2-2:0-1:2-0
Leicester v West Ham,X,en,378,2-1:1-1:1-2:1-0:2-0:0-2:0-1:2-2:3-1
Man Utd v Fulham,10,en,379,2-0:2-1:3-1:3-0:1-0:1-1:2-2
Southampton v Liverpool,21,en,380,0-2:0-3:1-3:1-2:0-4:0-1:1-4:1-1
Man City v Burnley,10,enf,139,2-0:3-0:3-1:2-1:4-0:1-0
Sheff Utd v Blackburn,1,enf,141,2-1:1-2:2-0:1-0:1-1:0-1
Brighton v Grimsby,10,enf,138,3-0:2-0:3-1:4-0:2-1:1-0:4-1
Man Utd v Fulham,10,enf,140,2-1:2-0:3-1:1-0:3-0
Man City v Sheff Utd,10,enf,143,3-0:4-0:3-1:2-0:4-1:5-0
Brighton v Man Utd,1,enf,142,1-2:2-1:1-3:0-2:2-2:1-1:3-2:0-1:1-0:2-0
Man City v Man Utd,10,enf,144,3-1:2-0:2-1:1-2:4-2:1-0:0-1:3-0:4-0
Angers v Troyes,X,fr,361,1-1:2-1:2-0:0-2:1-0:0-0:0-1:1-2:1-3:2-2:3-1:4-3
Clermont v Lorient,X,fr,362,2-1:1-1:1-2:1-0:0-1:2-0:2-2:3-2:0-0:0-2:1-3:3-1:4-0
