game,res,league,howmany,scores
Middlesbrough v Norwich,0,en2,484,2-1:1-1:1-0:2-2:3-1:1-2:2-0:0-1:2-3
Sheff Utd v Cardiff,10,en2,489,2-0:2-1:3-1:1-1:1-0:1-2:0-0:0-1:0-3:3-0
Blackpool v Wigan,X,en2,483,1-1:2-1:1-0:1-2:0-0:0-1:3-2:1-3:2-2
Millwall v Preston,X,en2,485,2-1:1-1:1-0:2-0:0-1:1-2:0-0:1-3:3-1:3-2
QPR v Coventry,X,en2,486,1-1:2-1:1-2:0-1:1-0:0-0:2-0:3-1:0-2:1-3:3-0:3-2:3-4
Reading v Burnley,21,en2,487,0-2:1-2:1-3:0-1:0-3:1-1:1-0:2-0:2-3:0-0:0-4:1-4:3-0
Rotherham v Luton,X,en2,488,1-2:1-1:2-1:0-0:1-0:0-1:0-2:1-3:2-2:2-0:2-3
Stoke v West Brom,X,en2,490,1-2:1-1:2-1:1-0:2-0:2-2:0-2:0-0:0-1:1-3:3-1:3-2
Sunderland v Birmingham,X,en2,491,2-1:1-1:1-0:1-2:2-0:0-1:2-2:3-0:0-0:0-3
Swansea v Huddersfield,X,en2,492,2-1:1-1:1-2:1-0:2-0:2-2:3-1:0-0:0-1:3-0:3-2:4-1
Watford v Bristol City,X,en2,493,1-1:2-1:2-0:1-2:3-1:0-0:0-1:1-0:1-3:3-0:4-0:4-1:5-0
Blackburn v Hull,10,en2,482,2-0:2-1:1-0:1-1:3-0:0-0:3-2:0-1:0-3:1-2:2-2:3-1
Aston Villa v Newcastle,X,en,301,1-2:1-1:2-1:2-2:0-1:0-2:1-0:1-3
Chelsea v Brighton,X,en,302,1-1:1-2:2-1:2-0:1-0:0-1:2-2:0-2
Everton v Fulham,X,en,303,1-0:1-1:2-1:2-0:1-2:0-1:0-2:0-0
Southampton v Crystal Palace,X,en,307,1-2:1-1:0-2:2-1:1-0:0-1:1-3:0-0
Tottenham v Bournemouth,10,en,308,2-0:2-1:3-0:1-0:3-1:1-1
Wolves v Brentford,X,en,310,1-1:1-2:1-0:2-1:0-1:0-2:2-2:0-0:2-0
Man City v Leicester,10,en,305,3-0:4-0:3-1:2-0:2-1:5-0:4-1
West Ham v Arsenal,21,en,309,1-2:1-3:0-2:1-1:0-3:2-1
Nottm Forest v Man Utd,21,en,306,0-2:1-2:1-3:0-3:0-1:1-1
Leeds v Liverpool,21,en,304,1-2:1-3:0-2:1-1:0-3:2-1:0-1:2-2
Man City v Burnley,10,enf,139,2-0:3-0:3-1:2-1:4-0:1-0
Sheff Utd v Blackburn,1,enf,141,2-1:1-2:2-0:1-0:1-1:0-1
Brighton v Grimsby,10,enf,138,3-0:2-0:3-1:4-0:2-1:1-0:4-1
Man Utd v Fulham,10,enf,140,2-1:2-0:3-1:1-0:3-0
Man City v Sheff Utd,10,enf,143,3-0:4-0:2-0:4-1:5-0:2-1:3-1
Brighton v Man Utd,1,enf,142,1-2:2-1:1-3:0-2:2-2:1-0:0-1
Toulouse v Lyon,2,fr,310,1-2:1-1:0-1:1-3:0-2:1-0:2-1:2-4
Rennes v Reims,1,fr,308,1-0:2-1:1-2:2-0:0-1:1-1:3-1:2-2:3-2
PSG v Lens,0,fr,307,2-1:1-2:2-0:4-1:1-0:1-1:3-0:3-2:2-2:3-1:3-3:4-0
Lille v Montpellier,X,fr,304,2-1:2-0:1-2:2-2:3-1:1-1
