game,res,league,howmany,scores
West Brom v Huddersfield,X,en2,444,1-2:1-1:2-1:2-0:0-2:0-1:0-0:1-0:2-2
Barnsley v Fulham,21,en2,433,0-2:1-3:0-3:1-2:1-1:0-1:1-4
Birmingham v Hull,0,en2,434,2-1:1-1:2-0:1-0:0-1:1-2
Blackburn v Bristol City,10,en2,435,2-0:2-1:1-0:1-1:3-1
Blackpool v Swansea,X,en2,436,2-1:1-1:1-2:1-0:2-0:2-2:0-1:0-2
Bournemouth v Derby,10,en2,437,2-1:2-0:1-1:3-1:1-0:1-2:3-0
Cardiff v Preston,X,en2,438,1-1:2-1:1-0:1-2:2-0:0-0:0-1
Coventry v Sheff Utd,2,en2,439,1-2:1-1:0-1:0-2:1-3:2-2:2-1
Millwall v Middlesbrough,X,en2,441,1-1:1-2:2-1:1-0:2-0:2-2:0-1
Nottm Forest v Reading,10,en2,442,2-0:2-1:3-1:3-0:1-0:1-1
Peterborough v Stoke,X,en2,443,1-2:1-1:0-1:0-2:1-0:2-1:1-3:2-0
Luton v QPR,X,en2,440,2-1:1-1:2-0:2-2:1-0:1-2:0-1
Norwich v Chelsea,21,en,297,0-3:0-2:1-3:0-4:1-2:0-1:1-4
Southampton v Newcastle,X,en,209,2-1:1-1:1-2:2-0:2-2:1-0:0-1
Wolves v Watford,0,en,190,2-1:2-0:1-0:1-1
Leeds v Aston Villa,X,en,196,1-2:1-1:2-1:0-2:2-2:1-3:0-1:1-0
Brighton v Liverpool,21,en,283,0-2:1-3:0-3:1-2:0-4:0-1:1-1
Brentford v Burnley,X,en,282,1-1:2-1:1-0:1-2:2-0:0-1:0-0:2-2:0-2
Man Utd v Tottenham,X,en,288,1-2:2-1:1-1:2-2:1-3:1-0:2-0
Chelsea v Newcastle,10,en,284,2-0:2-1:3-1:1-1:3-0:1-0:2-2
Everton v Wolves,X,en,286,1-1:1-2:2-1:1-0:0-1:0-2:2-0:0-0
Leeds v Norwich,0,en,287,2-1:2-0:1-0:1-1:3-1:1-2
Southampton v Watford,10,en,289,2-0:2-1:1-0:1-1:3-1:3-0
West Ham v Aston Villa,0,en,290,2-1:1-1:2-2:1-2:2-0:1-0:0-1
Arsenal v Leicester,10,en,281,2-1:2-0:3-1:1-1:2-2:1-0:1-2
