game,res,league,howmany,scores
Hull v West Brom,2,en2,402,1-2:1-1:0-1:0-2:2-1:1-0
Blackburn v Sheff Utd,X,en2,398,1-1:1-2:2-1:2-2:0-1:1-0:0-2
Cardiff v Bristol City,X,en2,400,1-1:1-2:1-0:2-1:0-1:0-2:2-0:0-0
Blackpool v Burnley,21,en2,399,0-2:0-3:1-3:1-2:0-1:1-1
Huddersfield v Coventry,X,en2,401,1-1:1-2:0-1:2-1:1-0:0-2:2-0:2-2:0-0
Luton v Swansea,10,en2,403,2-1:2-0:1-0:1-1:0-1:1-2:2-2
Middlesbrough v Reading,10,en2,404,2-0:2-1:3-0:3-1:1-1:1-0:2-2
Millwall v Norwich,X,en2,405,1-1:1-2:2-1:1-0:2-2:0-1:0-2:2-0
Rotherham v QPR,X,en2,406,1-1:2-1:1-2:0-0:1-0:0-1:0-2:2-0:2-2:3-1
Sunderland v Stoke,0,en2,407,2-1:2-0:1-1:1-0:3-1:2-2:0-1:1-2
Watford v Preston,10,en2,408,2-0:2-1:1-0:1-1:0-0:3-0:3-1
Wigan v Birmingham,X,en2,409,1-1:1-0:1-2:2-1:0-1:2-0:0-2:0-0:2-2
Huddersfield v Bristol City,X,en2,327,1-1:2-1:1-2:0-1:0-2:1-0:2-0:2-2:0-0
Reading v Sheff Utd,21,en2,334,1-2:0-2:0-1:1-1:1-3:2-1:1-0
West Brom v Wigan,10,en2,337,2-0:2-1:3-0:3-1:1-0:0-1:1-1
Bournemouth v Liverpool,21,en,261,0-2:1-2:1-3:0-3:1-1:0-1
Everton v Brentford,X,en,263,1-1:1-0:1-2:2-1:0-1:0-2:2-0
Leeds v Brighton,X,en,265,1-2:1-1:0-2:0-1:2-1:1-0:1-3:2-2:2-0
Leicester v Chelsea,X,en,266,1-2:1-1:2-1:0-1:0-2:2-2:1-0
Tottenham v Nottm Forest,10,en,269,2-0:2-1:3-0:1-0:3-1:1-1
Crystal Palace v Man City,21,en,262,0-2:1-2:1-3:0-3:1-1:0-1
Fulham v Arsenal,21,en,264,1-2:1-1:0-2:1-3:2-1:0-1:2-2
Man Utd v Southampton,10,en,267,2-0:3-0:2-1:3-1:1-0:4-0:1-1
West Ham v Aston Villa,X,en,270,1-1:2-1:1-2:1-0:2-0:0-1:2-2:0-0
Newcastle v Wolves,10,en,268,2-0:2-1:1-0:1-1:3-1:0-0:3-0
Man City v Burnley,10,enf,139,2-0:3-1:2-1:3-0:1-0:4-0:4-1:1-2
Sheff Utd v Blackburn,X,enf,141,2-1:1-2:1-0:1-1:2-0:0-1:2-2:1-3:3-2
Brighton v Grimsby,10,enf,138,2-0:3-0:3-1:2-1:1-0:1-2:4-0
Man Utd v Fulham,10,enf,140,2-0:2-1:1-0:3-1:1-2:3-0:0-1:1-1
Lille v Lyon,X,fr,266,1-1:2-1:2-2:1-0:0-0:0-2:1-2:2-0:2-3
Auxerre v Rennes,X,fr,263,1-1:1-2:2-2:0-1:1-0:2-0:2-1
Brest v PSG,21,fr,264,1-3:0-2:0-3:1-0:1-2:1-4:2-1:2-5
Clermont v Lens,2,fr,265,1-1:0-1:0-2:1-2:2-1:0-0:2-3
Ajaccio v Montpellier,2,fr,261,0-2:1-2:0-1:1-1:1-0:0-0:2-2:2-3
Angers v Toulouse,X,fr,262,0-1:1-0:1-1:0-0:1-2:2-0:0-3:1-3
Lorient v Troyes,0,fr,267,2-1:1-0:1-1:0-0:2-0:0-1:1-2
Nantes v Nice,X,fr,270,1-2:0-1:1-1:2-1:2-2:3-2:0-2:1-0:2-0
Monaco v Reims,0,fr,269,2-0:2-1:1-0:1-1:3-0:1-2:2-2:3-1
Marseille v Strasbourg,0,fr,268,2-0:2-1:1-1:3-1:0-1:1-0:3-0:3-3
Köln v VfL Bochum,1,de,208,1-0:2-0:2-1:0-1:3-1:1-1:1-2:0-0
Bayern Munich v Augsburg,10,de,210,3-0:2-0:3-1:2-1:4-0:5-1:0-1:1-1:2-2:5-0:6-0:7-2
Frankfurt v Stuttgart,0,de,209,2-0:1-1:2-1:1-0:1-2:4-1:0-0:3-1:3-2:3-3
Hertha Berlin v Mainz,X,de,212,1-1:0-1:1-2:1-0:0-0:1-3:2-0:0-5:2-1:2-3
