game,res,league,howmany,scores
Blackpool v QPR,X,en2,422,1-1:1-0:2-1:1-2:0-0:0-2:0-1:2-2:2-0
Millwall v Swansea,10,en2,424,2-0:2-1:1-0:1-1:0-1
Rotherham v Preston,X,en2,425,1-1:1-0:1-2:2-0:0-0:0-1:2-1:2-2
Watford v Birmingham,10,en2,426,2-0:2-1:1-0:1-1:1-2:3-1:2-2:0-1:0-0
Wigan v Coventry,X,en2,427,1-2:0-1:1-1:0-2:1-0:2-1:2-0:0-0
Middlesbrough v Stoke,10,en2,423,2-0:2-1:3-1:1-1:3-0:1-0:2-2:3-2
Blackburn v Reading,10,en2,428,2-0:2-1:3-1:1-0:1-1:3-0:1-2:2-2
Cardiff v West Brom,2,en2,429,1-2:1-1:0-2:0-1:1-0:2-0:2-1:2-2
Huddersfield v Norwich,2,en2,430,0-2:1-2:1-1:0-1:1-3:0-3:2-1:2-2
Hull v Burnley,21,en2,431,1-2:0-2:0-1:1-1:1-3:0-0:1-0:2-2
Luton v Bristol City,0,en2,432,2-1:2-0:1-1:1-0:3-1:3-0:1-2
Sunderland v Sheff Utd,X,en2,433,1-1:1-2:2-2:2-1:1-0:0-1:0-2:1-3
Brighton v Crystal Palace,0,en,73,2-1:2-0:1-1:1-0:1-2:3-1:0-1
Southampton v Brentford,X,en,69,1-1:1-2:2-1:2-2:1-0:0-1:0-2:2-0
Nottm Forest v Newcastle,2,en,278,1-2:1-1:0-2:0-1:1-3:1-0:2-1
Aston Villa v Bournemouth,0,en,272,2-0:2-1:1-0:1-1:1-2
Brentford v Leicester,0,en,273,2-1:2-0:1-1:1-0:1-2:2-2:3-1
Liverpool v Fulham,10,en,276,2-0:2-1:3-1:3-0:1-1:1-0
Southampton v Tottenham,21,en,279,1-2:0-2:1-1:0-1:1-3:1-0:2-1:0-3
Wolves v Leeds,0,en,280,1-1:2-1:1-0:2-0:2-2:1-2:0-1:0-0
Chelsea v Everton,10,en,275,2-0:2-1:1-0:1-1:3-0:3-1
Arsenal v Crystal Palace,10,en,271,2-0:3-0:3-1:2-1:1-0
Brighton v Man Utd,X,en,274,1-2:1-1:2-1:2-2:0-2:1-3:0-1:1-0
Man City v West Ham,10,en,277,3-0:2-0:3-1:4-0:2-1:4-1:1-0
Man City v Burnley,10,enf,139,3-1:2-0:3-0:2-1:1-0:4-0:3-2:4-1
Sheff Utd v Blackburn,1,enf,141,2-1:1-2:1-0:1-1:2-0:0-1:2-2:1-3
Brighton v Grimsby,10,enf,138,2-0:3-0:3-1:4-0:1-0:1-2:2-1
Man Utd v Fulham,10,enf,140,2-0:2-1:3-1:1-0:1-2:3-0:0-1:1-1
Lyon v Nantes,0,fr,273,2-0:1-0:2-1:1-1:1-2:3-0:0-0:0-1:2-3:3-3
Toulouse v Lille,X,fr,279,1-2:1-1:2-0:0-1:0-2:2-1:1-3
Lens v Angers,10,fr,272,2-0:1-0:2-1:1-1:3-0:1-2:3-2:5-0
Ajaccio v Monaco,2,fr,271,0-2:0-1:1-1:1-2:1-0:1-3:0-3:1-4:2-2:2-3:3-4
Montpellier v Clermont,0,fr,274,2-1:2-0:1-0:1-1:1-2:2-2:0-1:3-0:3-1
Nice v Lorient,0,fr,275,2-1:1-1:2-0:1-0:0-0:0-1:1-2
Strasbourg v Auxerre,X,fr,278,1-0:1-1:2-0:2-1:1-2:0-1:0-0:2-2
Troyes v Brest,X,fr,280,1-1:1-0:0-1:2-2:0-0:1-2:2-1:2-0:3-1
PSG v Rennes,10,fr,276,2-0:3-1:3-0:1-0:2-1:1-1:1-2:2-2:4-1
Reims v Marseille,2,fr,277,1-2:0-1:1-1:0-2:1-3:2-2:3-1:0-0:0-3:2-1
B Mgladbach v Werder Bremen,X,de,221,2-1:1-1:1-0:1-2:0-1:2-0:3-1:0-0:2-3
Augsburg v Schalke,1,de,222,0-1:1-0:1-2:2-1:1-1:0-2:2-0:0-0:1-3:2-3:3-1:3-4
Hoffenheim v Hertha Berlin,X,de,223,2-1:1-0:0-1:1-2:1-1:0-0:2-2:3-1:0-2:2-0:4-0:5-3
Stuttgart v Wolfsburg,X,de,224,1-1:1-2:1-0:0-1:1-3:2-0:2-1:2-2:0-0:0-3:1-4
VfL Bochum v RB Leipzig,21,de,225,0-2:1-2:1-0:0-3:2-3:0-0:1-1:1-3:1-5
B Dortmund v Köln,10,de,220,2-0:3-0:2-1:3-1:1-0:1-2:0-1:1-1
Union Berlin v Frankfurt,X,de,217,2-1:1-1:1-0:1-2:0-1:2-0:0-0:2-2:3-1:3-2:5-0
B Leverkusen v Bayern Munich,21,de,219,1-2:2-3:1-3:0-1:1-1:2-1:0-2:0-3:2-4:3-0:3-3
Mainz v Freiburg,X,de,218,1-0:2-1:1-1:2-0:1-2:0-0:0-1:2-2:2-3:3-0:3-1
AEK Athens v Olympiakos,X,gr,176,1-1:2-1:1-2:2-0:1-0:2-2:0-1:0-0
Aris v PAS Giannina,10,gr,177,2-0:2-1:1-0:1-1:3-0:2-2
Atromitos Athens v Panathinaikos,2,gr,178,0-1:0-2:1-2:1-1:1-0:0-0:1-3:2-1
Ionikos FC v Asteras Tripolis,X,gr,179,1-1:1-0:0-1:0-0:2-1:2-0:0-2:1-2
Levadiakos v OFI,X,gr,180,1-0:1-1:0-1:1-2:0-2:2-1:0-0:2-2
