game,res,league,howmany,scores
Coventry v Sunderland,X,en2,389,1-1:1-2:2-1:1-0:2-2:0-2:0-0:2-0
Birmingham v Luton,X,en2,386,1-1:1-2:2-1:1-0:0-1:2-0:0-2:2-2
Bristol City v Hull,0,en2,387,2-1:2-0:1-1:1-0:3-1:0-1:1-2
Burnley v Huddersfield,10,en2,388,2-0:3-0:3-1:2-1:1-1:4-0:1-0
Norwich v Cardiff,10,en2,390,2-0:2-1:1-0:3-1:1-1:3-0
Preston v Wigan,0,en2,391,2-1:1-0:1-1:2-0:0-1:1-2:0-0
QPR v Blackburn,X,en2,392,1-1:1-2:2-1:0-1:0-2:1-0:2-0:2-2:0-0:1-3
Reading v Blackpool,0,en2,393,2-1:2-0:1-1:1-0:0-1:1-2:0-0
Sheff Utd v Watford,0,en2,394,2-1:1-1:2-0:1-2:1-0:2-2:3-1:0-1
Stoke v Millwall,X,en2,395,1-1:1-2:2-1:0-1:1-0:2-0:0-2:0-0
West Brom v Middlesbrough,X,en2,397,1-2:1-1:2-1:2-2:1-3:1-0
Swansea v Rotherham,10,en2,396,2-0:2-1:1-0:1-1:0-1:3-0:1-2
Preston v Coventry,X,en2,333,1-1:2-0:2-1:1-0:1-2:0-1:0-0:0-2
Luton v Millwall,X,en2,261,1-1:2-1:1-0:1-2:2-0:0-1
Fulham v Wolves,0,en,244,2-1:2-0:1-1:1-0:1-2:0-1
Everton v Aston Villa,X,en,243,1-1:1-0:2-1:1-2:2-0:2-2:0-1
Leeds v Southampton,X,en,245,1-1:2-1:1-0:2-0:1-2:0-1:0-0:2-2
Leicester v Arsenal,21,en,246,1-2:1-3:0-2:1-1:2-2:2-1:0-1
West Ham v Nottm Forest,0,en,250,1-1:2-1:1-0:2-0:1-2:0-1
Bournemouth v Man City,21,en,241,0-3:0-2:1-3:0-4:1-2:1-4:0-1
Crystal Palace v Liverpool,2,en,242,1-2:1-1:0-2:1-3:2-1:2-2:0-1
Tottenham v Chelsea,0,en,249,2-1:1-1:2-0:2-2:1-0:1-2:0-1
Arsenal v Everton,10,en,61,2-0:2-1:3-0:3-1:1-0:1-1
Liverpool v Wolves,10,en,67,2-0:2-1:3-0:3-1:1-0:1-1
Stoke v Brighton,21,enf,134,1-2:0-2:1-3:0-1:0-3
