game,res,league,howmany,scores
Birmingham v Derby,0,en2,61,2-1:1-1:2-0:1-0:0-1:3-1:1-2
Blackburn v Luton,10,en2,62,2-1:1-0:1-1:2-0:0-1:3-1:1-2
Blackpool v Fulham,21,en2,63,0-2:1-3:1-2:0-3:0-1:1-1
Bournemouth v Barnsley,0,en2,64,2-0:2-1:1-1:2-2:3-0:1-0:3-1:0-1
Bristol City v Preston,0,en2,65,1-1:1-0:2-1:2-0:1-2:2-2:0-1
Coventry v Middlesbrough,X,en2,66,1-1:2-1:1-0:1-2:2-0:0-1:2-2:0-0
Reading v QPR,X,en2,68,1-2:1-1:1-3:0-2:2-1:0-1:1-0:2-0
Sheff Utd v Peterborough,0,en2,69,2-0:2-1:1-0:1-1:1-2:0-1:0-0:3-0:3-1
Stoke v Huddersfield,0,en2,70,2-0:2-1:1-1:1-0:1-2:3-1:0-1
Swansea v Hull,0,en2,71,2-1:1-0:2-0:1-1:3-1:1-2:0-1:0-0
West Brom v Millwall,10,en2,72,2-0:3-0:3-1:2-1:1-0:1-1
Nottm Forest v Cardiff,X,en2,67,1-2:1-1:2-1:0-1:1-0
Crystal Palace v Tottenham,21,en,34,1-2:0-2:0-1:1-1:1-3:0-3
Arsenal v Norwich,10,en,31,2-0:2-1:1-0:1-1:3-0:3-1
Brentford v Brighton,X,en,32,1-1:2-1:1-0:1-2:2-2:2-0:0-1
Leicester v Man City,21,en,37,1-2:1-3:1-1:0-2:2-2:2-1:0-3
Man Utd v Newcastle,10,en,38,3-0:2-0:4-0:3-1:2-1:4-1:1-0
Southampton v West Ham,2,en,39,1-2:1-1:1-3:0-2:2-2:0-1:2-1:1-0
Watford v Wolves,X,en,40,1-1:1-2:0-1:2-1:1-0:0-2:0-0:2-2
Chelsea v Aston Villa,10,en,33,2-0:3-0:3-1:2-1
Leeds v Liverpool,21,en,36,1-2:1-3:0-2:1-1:2-2:0-3:2-3:0-1
Everton v Burnley,10,en,35,2-0:2-1:1-0:1-1:3-0:3-1
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,2-1:1-2:3-1:2-0:0-1:1-0:1-1:2-2
Lorient v Lille,2,fr,43,1-2:1-1:0-1:1-0:1-3:0-0:0-2:2-1:2-2
PSG v Clermont,10,fr,49,4-0:3-0:2-0:4-1:1-0:5-0:0-1:3-1
Monaco v Marseille,X,fr,46,1-1:1-2:2-1:0-1:0-2:1-0:0-0:1-3:2-2:3-1
Montpellier v Saint-Étienne,X,fr,47,2-1:1-1:1-0:2-0:2-2:1-2:0-1:0-0:0-2:1-3
Bordeaux v Lens,X,fr,41,2-1:1-0:1-1:0-2:1-3:0-1:1-2:2-0:0-0:3-0
Brest v Angers,X,fr,42,1-1:1-2:2-1:0-1:0-2:1-0:1-3:2-2:0-0:0-3:2-0:3-0
Metz v Troyes,0,fr,45,1-0:2-0:1-1:0-1:2-1:0-0:1-2:3-1
Rennes v Reims,X,fr,50,2-1:2-0:1-1:0-0:0-1:1-0:1-2:0-2:1-3:3-0:3-1
Nantes v Nice,X,fr,48,1-2:0-1:1-1:0-2:2-1:0-0:0-3:1-0:1-3:2-0:3-0
Lyon v Strasbourg,10,fr,44,2-0:2-1:3-1:1-0:0-1:1-1:4-1:1-2:3-0:4-0
B Leverkusen v B Dortmund,X,de,29,1-2:2-2:1-1:2-1:1-3:3-2:0-1:1-0:3-1
Freiburg v Köln,X,de,33,2-1:1-1:1-2:1-0:0-1:2-0:1-3:2-2:3-1
Hoffenheim v Mainz,0,de,35,2-1:1-1:2-0:3-1:1-0:1-2:0-1:0-0:0-2
SpVgg Greuther Fürth v Wolfsburg,21,de,34,0-2:0-3:1-2:0-1:1-1:1-3:1-0
Union Berlin v Augsburg,10,de,28,2-1:2-0:1-0:1-1:1-2:3-1:0-2:3-0
