game,res,league,howmany,scores
Bristol City v Coventry,X,en2,397,1-1:2-1:1-2:2-2:2-0:0-1:1-0
Hull v Barnsley,10,en2,398,2-0:2-1:1-0:1-1:3-1
Middlesbrough v West Brom,0,en2,399,2-1:2-0:1-1:1-0:1-2:0-1:2-2
Preston v Nottm Forest,X,en2,400,1-2:1-1:1-0:0-2:2-1:1-3:0-1:2-2
Swansea v Bournemouth,1,en2,401,1-2:1-1:0-2:0-1:2-1:1-3:1-0:2-2:0-3
Reading v Birmingham,X,en2,402,1-1:1-2:2-1:1-0:2-0:0-1:0-2:2-2:0-0:1-3
Derby v Millwall,0,en2,403,2-1:1-1:1-0:2-0:2-2:1-2:0-1
Fulham v Peterborough,10,en2,404,3-0:2-0:2-1:4-0:3-1:4-1:5-0
Huddersfield v Cardiff,10,en2,405,2-1:2-0:1-1:1-0:1-2:3-0:3-1
QPR v Blackpool,0,en2,406,2-1:1-1:2-0:3-1:1-0:1-2:3-0
Sheff Utd v Blackburn,0,en2,407,2-1:1-1:2-0:1-0:1-2:2-2:3-1
Stoke v Luton,0,en2,408,2-1:1-1:1-0:2-0:1-2:2-2:0-0:0-1:3-0
Burnley v Tottenham,2,en,124,1-2:0-2:1-1:1-3:0-1:2-1:1-0:2-2
Watford v Crystal Palace,X,en,178,1-1:1-2:2-1:0-1:1-0:0-2:2-2:0-0:2-0
Liverpool v Leeds,10,en,184,3-0:3-1:2-0:4-0:4-1:2-1:5-0
Arsenal v Wolves,0,en,191,2-1:2-0:1-1:1-0:1-2:2-2:3-1
Southampton v Norwich,10,en,269,2-0:2-1:1-0:1-1:3-1:3-0
Leeds v Tottenham,2,en,267,1-2:1-1:1-3:2-1:2-2:0-2:0-1
Brentford v Newcastle,X,en,262,1-1:1-2:0-1:2-1:0-2:1-0:2-2
Brighton v Aston Villa,X,en,263,1-1:2-1:1-2:1-0:0-1:2-2:0-2:0-0:2-0
Crystal Palace v Burnley,0,en,265,1-0:1-1:2-1:2-0:1-2:0-1:0-0
Man Utd v Watford,10,en,268,2-0:3-0:2-1:3-1:1-0
Everton v Man City,21,en,266,1-3:1-2:0-2:0-3:1-1:0-4:1-4
Chelsea v Leicester,10,en,264,2-0:2-1:3-1:1-0:1-1:3-0:2-2
West Ham v Wolves,0,en,270,1-1:2-1:1-0:2-2:2-0:1-2:0-1
Burnley v Leicester,2,en,213,1-2:0-2:1-1:0-1:1-3:1-0:2-1
Peterborough v Man City,21,enf,204,0-3:0-4:0-5:1-4:0-6:0-2:1-2:1-3:1-5:0-7:1-0
Crystal Palace v Stoke,10,enf,198,2-1:2-0:3-0:3-1:1-0:1-2
Middlesbrough v Tottenham,21,enf,202,1-2:0-2:1-1:1-3:0-1:1-0:2-1
Luton v Chelsea,21,enf,201,1-3:0-2:1-2:0-3:0-1:1-4:0-4:0-5
Southampton v West Ham,1,enf,205,2-1:1-2:1-1:1-0:3-2:0-1:1-3:2-2:2-0:3-1
Liverpool v Norwich,10,enf,200,3-0:3-1:2-0:4-0:2-1:4-1:1-0
Everton v Boreham Wood,10,enf,199,3-0:3-1:4-0:5-0:2-1:5-1:2-0:4-1:0-1:1-0:1-1:6-0
Nottm Forest v Huddersfield,10,enf,203,2-1:2-0:1-1:3-1:1-0:0-1:1-2:3-0:2-2
Montpellier v Rennes,0,fr,257,1-1:2-1:0-0:1-0:1-2:2-2:3-0:0-2:3-1:3-2:4-0
Strasbourg v Nice,X,fr,259,1-1:0-1:0-0:2-1:1-0:1-2:2-0:3-0:3-2
PSG v Saint-Étienne,10,fr,258,2-1:2-0:3-0:0-0:4-1:1-1:1-2:1-0:3-1:3-2
Monaco v Reims,10,fr,256,1-0:2-1:2-0:0-0:3-0:3-1:3-2:0-1:1-1:1-2
Angers v Lens,X,fr,251,0-0:1-1:1-0:1-2:2-1:0-1:0-2:1-3:2-3:3-0
Brest v Lorient,X,fr,252,2-1:0-1:0-0:1-1:1-0:1-2:2-3:3-0:0-3:2-0
Clermont v Bordeaux,X,fr,253,1-1:2-1:1-2:0-0:1-0:0-2:2-0:0-1:2-2:2-3:3-0
Metz v Nantes,X,fr,255,1-2:0-0:1-1:0-1:1-0:2-1:0-2:0-3:1-3:2-0:2-2:3-0:3-1:3-2
Troyes v Marseille,2,fr,260,1-2:0-0:0-2:0-4:1-1:2-1:0-1:0-3:1-0:1-3:2-3:3-0
Lyon v Lille,0,fr,254,2-1:3-2:0-0:1-0:1-1:2-2:2-0:3-1:0-1:0-2:1-2:1-3:3-0
Hoffenheim v Stuttgart,1,de,215,2-1:1-0:3-1:2-0:0-1:1-1:1-2:0-2:2-2:3-0:1-3:2-3:3-2
B Leverkusen v Arminia Bielefeld,10,de,209,2-1:3-0:1-0:3-1:2-0:0-1:1-1:1-3:3-2:4-1:4-2
B Mgladbach v Wolfsburg,X,de,210,2-1:1-1:1-2:2-2:1-0:2-0:3-1:0-1:3-0:1-3:1-4
Freiburg v Hertha Berlin,X,de,213,2-1:1-0:1-1:1-2:2-0:0-0:0-1:1-3:2-2:3-0
