game,res,league,howmany,scores
Blackpool v Preston,X,en2,183,1-1:2-1:1-2:2-0:0-1:1-0:0-0
Blackburn v Birmingham,1,en2,182,2-0:2-1:1-0:0-1:1-1:0-2:1-2
Middlesbrough v Huddersfield,X,en2,184,1-1:2-1:2-0:1-0:0-1:0-2:1-2:1-3:3-0
Millwall v West Brom,X,en2,185,1-1:1-2:1-0:0-1:2-1:2-0:0-0:1-3:2-2:3-2
QPR v Wigan,0,en2,186,2-0:2-1:1-1:1-0:1-2:3-1:0-0:0-1:3-0
Reading v Bristol City,X,en2,187,1-1:2-1:0-1:2-0:1-0:1-2:0-0:3-0
Rotherham v Hull,X,en2,188,1-1:1-0:2-1:0-1:2-0:2-2:0-0:1-2:3-0
Sheff Utd v Norwich,X,en2,189,1-1:2-1:1-2:2-2:0-1:1-0:0-0:2-0
Stoke v Coventry,0,en2,190,2-0:2-1:1-1:1-0:0-0:1-2:0-1:3-0:3-1:2-2
Sunderland v Burnley,X,en2,191,1-2:0-1:1-1:2-1:1-0:0-2:0-0:1-3:1-4:2-0:3-1
Swansea v Cardiff,0,en2,192,1-1:1-0:2-1:2-0:2-2:3-1:0-1:1-2:0-0
Watford v Luton,0,en2,193,2-1:2-0:1-1:1-0:0-0:1-2:3-0:0-1:2-2:3-2
Coventry v Rotherham,10,en2,5,2-0:2-1:1-0:1-1:3-1:0-0:3-0
Burnley v Norwich,X,en2,89,1-1:2-1:1-2:1-0:2-2:0-1
Brighton v Nottm Forest,10,en,114,2-0:2-1:1-0:1-1:3-0:3-1
Crystal Palace v Wolves,0,en,117,2-1:1-1:1-0:2-0:0-1:0-0:1-2
Bournemouth v Southampton,X,en,112,1-1:2-1:1-0:1-2:2-2:2-0:0-1:0-0
Brentford v Chelsea,21,en,113,1-2:0-2:1-3:1-1:0-3:2-2:0-1:2-1
Liverpool v West Ham,10,en,119,2-0:2-1:3-1:3-0:1-1:1-0
Newcastle v Everton,10,en,118,2-0:2-1:1-0:1-1:3-1:3-0
Man Utd v Tottenham,X,en,120,1-2:1-1:2-1:2-2:0-1:1-3:1-0
Fulham v Aston Villa,X,en,115,1-1:2-1:1-0:1-2:2-0:0-1:0-0:2-2
