game,res,league,howmany,scores
QPR v Luton,0,en2,285,2-1:1-1:2-0:1-0:1-2:2-2:0-1
Blackburn v Middlesbrough,X,en2,279,1-1:2-1:1-2:2-0:1-0:0-1:0-2:2-2:3-1
Coventry v Cardiff,0,en2,281,2-0:1-1:2-1:1-0:0-1:1-2:0-0:3-1
Huddersfield v Rotherham,0,en2,282,1-1:2-1:1-0:1-2:2-2:0-0:2-0:0-1
Millwall v Bristol City,1,en2,283,2-1:2-0:1-0:1-1:1-2:0-1:0-0:2-2
Wigan v Sunderland,X,en2,287,1-2:1-1:0-1:2-1:1-0:2-0:0-2:1-3:2-2
West Brom v Preston,0,en2,289,2-1:2-0:1-1:1-0:1-2:2-2:0-1:3-0
Blackpool v Sheff Utd,21,en2,280,0-2:1-2:1-3:0-1:1-1:2-1:2-2
Birmingham v Hull,0,en2,278,2-1:2-0:1-1:0-1:1-0:1-2:3-0
Norwich v Reading,10,en2,284,2-1:2-0:3-1:1-2:3-0:1-0:0-1:1-1:2-2
Stoke v Burnley,2,en2,288,1-2:1-1:0-1:2-1:0-2:1-3:0-3
Swansea v Watford,X,en2,286,1-1:1-2:2-1:2-2:0-1:0-0:0-2:2-0:1-0:2-3
Brentford v Tottenham,X,en,163,1-2:1-1:2-1:0-2:1-3:2-2:0-1:1-0
Crystal Palace v Fulham,0,en,165,2-1:1-1:1-0:2-0:1-2:2-2:0-1
Everton v Wolves,0,en,166,1-1:1-0:2-1:2-0:0-0:1-2:0-1
Leicester v Newcastle,2,en,168,1-2:1-1:2-2:1-3:2-1:0-2:0-1:1-0
Southampton v Brighton,X,en,170,1-1:1-2:0-1:2-1:0-2:1-0:2-2:0-0:1-3
Aston Villa v Liverpool,21,en,162,1-2:1-3:0-2:0-3:1-1:2-1:2-2:0-1
Arsenal v West Ham,10,en,161,2-0:2-1:3-1:3-0:1-0:1-1:2-2
Chelsea v Bournemouth,10,en,164,2-0:2-1:3-0:3-1:1-0:1-1
