game,res,league,howmany,scores
Barnsley v Hull,0,en2,193,2-1:1-1:2-0:1-0:1-2:0-0:2-2
Birmingham v Reading,X,en2,194,2-1:2-0:1-0:1-1:1-2:2-2:0-1:3-0
Blackburn v Sheff Utd,X,en2,195,2-1:1-1:1-2:0-2:0-1:1-0:2-0:2-2
Bournemouth v Swansea,10,en2,197,2-1:2-0:3-0:1-1:3-1:2-2
Cardiff v Huddersfield,X,en2,198,1-1:1-2:1-0:2-1:0-1:0-2:2-0
Coventry v Bristol City,10,en2,199,2-1:2-0:1-0:1-1:3-1:1-2:0-0:0-1
Luton v Stoke,X,en2,200,1-1:2-1:1-2:0-2:2-2:1-0:1-3:2-0
Millwall v Derby,0,en2,201,1-0:2-1:1-1:2-0:0-0:1-2:3-1
Nottm Forest v Preston,X,en2,202,2-1:1-1:1-0:1-2:2-0:2-2:0-1:0-2
Peterborough v Fulham,21,en2,203,1-3:1-2:0-2:0-3:1-4:0-1:1-1
West Brom v Middlesbrough,10,en2,204,2-0:2-1:1-0:3-0:1-1:3-1
Blackpool v QPR,X,en2,196,1-1:2-1:1-2:0-1:0-2:1-0:1-3:2-2
Southampton v Aston Villa,X,en,109,2-1:1-1:1-2:1-0:2-0:2-2:0-1
Man Utd v Man City,X,en,108,1-2:1-3:2-1:2-2:1-1:0-2
Brentford v Norwich,10,en,102,2-0:2-1:1-0:3-0:1-1:3-1
Chelsea v Burnley,10,en,104,3-0:2-0:3-1:4-0:2-1:1-0
Crystal Palace v Wolves,0,en,105,2-1:1-1:2-0:1-0:1-2:2-2:0-1
Brighton v Newcastle,10,en,103,2-1:2-0:1-0:1-1:3-1:1-2
Arsenal v Watford,10,en,101,2-0:2-1:3-1:3-0:1-0:1-1
Everton v Tottenham,X,en,106,1-1:1-2:2-1:2-2:0-2:0-1:1-3:1-0
Leeds v Leicester,2,en,107,1-2:1-1:1-3:2-1:0-2:2-2:0-1:1-0
West Ham v Liverpool,2,en,110,1-2:1-3:2-2:1-1:2-1:2-3:0-2
AFC Sudbury v Colchester,21,enf,1,0-2:1-3:0-3:1-2:2-1:1-1:1-4
Scunthorpe v Doncaster,X,enf,30,1-2:0-2:2-1:1-1:0-1:2-2:0-3:2-0
Boreham Wood v Eastleigh,10,enf,5,2-1:2-0:1-1:1-0:3-1:0-1:1-2:1-3:0-0
Bradford v Exeter,X,enf,6,2-1:1-2:1-1:2-0:1-0:3-1:2-2
Carlisle v Horsham,10,enf,7,2-0:3-0:2-1:3-1:4-0:4-1:1-0
Charlton v Havant & Waterlooville,10,enf,8,3-0:2-1:2-0:4-0:3-1:1-0:4-1
Chesterfield v Southend,1,enf,9,2-1:2-0:1-2:1-1:3-0:3-1:1-0:0-1:2-2
Crawley v Tranmere,X,enf,10,2-1:1-1:1-2:0-2:0-1:1-0:2-0
Crewe v Swindon,1,enf,11,2-1:1-2:1-1:0-1:0-2:1-0:2-0:1-3:3-1
Fleetwood v Burton,X,enf,13,2-0:2-1:1-1:1-2:1-0:0-1:2-2:3-1
Gateshead v Altrincham,X,enf,37,1-2:2-1:1-1:1-0:0-1:3-1:0-2:2-0:0-0:1-3:3-0
Gillingham v Cheltenham,1,enf,14,2-1:1-2:2-0:1-0:1-1:3-1:0-2
Halifax v Maidenhead United,10,enf,34,2-1:2-0:1-0:3-1:1-2:3-0:0-2:1-1
Harrogate v Wrexham,X,enf,15,2-1:2-0:1-2:1-0:1-1:3-1:0-2:0-0:0-1:2-2:3-0
Hartlepool v Wycombe,1,enf,16,1-2:1-3:2-1:0-2:0-3:1-1:0-1:2-2:3-1
Hayes & Yeading v Sutton United,1,enf,36,1-2:0-1:2-1:0-2:1-3:0-0:1-1:2-2:0-3
Ipswich v Oldham,10,enf,17,2-0:3-0:3-1:2-1:3-2:4-0
Kidderminster v Grimsby,1,enf,18,1-2:2-1:0-1:1-3:0-2:1-1:1-0
King's Lynn v Walsall,21,enf,19,0-2:1-3:1-2:0-3:0-1:2-1:1-4:2-0:2-3
Leyton Orient v Ebbsfleet,10,enf,20,2-0:3-0:2-1:3-1:4-0:4-1:1-0
Lincoln City v Bowers & Pitsea,10,enf,21,3-0:2-0:3-1:4-0:2-1:5-0:5-1:1-0
MK Dons v Stevenage,10,enf,22,2-0:2-1:3-1:1-1:3-2:1-2:2-2:3-0:4-0
Morecambe v Newport,X,enf,23,1-1:1-2:2-1:2-0:0-1:2-2:0-2:1-0:3-1
Northampton v Cambridge,X,enf,24,2-1:1-2:1-1:3-1:2-0:2-2:0-1:0-2:2-3:3-2
Port Vale v Accrington,X,enf,26,2-1:1-1:1-2:2-0:1-0:3-1:0-1:1-3:3-0
Portsmouth v Harrow Borough,10,enf,27,3-0:2-0:3-1:4-0:2-1:5-0:1-0:4-1
Rotherham v Bromley,10,enf,29,2-0:3-0:3-1:4-0:1-0:2-1:1-2:4-1
Sunderland v Mansfield,10,enf,32,3-0:2-0:2-1:4-1:3-1:0-1:4-0
Wigan v Solihull Moors,10,enf,38,3-0:2-1:2-0:4-1:3-1:4-0:1-0
Wimbledon v Guiseley,10,enf,2,2-0:3-0:2-1:1-2:1-0:3-1:4-0:5-0
Yate Town v Yeovil,21,enf,39,1-2:0-2:1-1:2-1:0-1:0-3:1-3:0-4:1-0
York v Buxton,10,enf,40,2-1:2-0:1-0:1-1:3-0:3-1:1-2
Banbury United v Barrow,21,enf,3,1-2:0-2:1-3:2-1:0-1:0-3:1-1:1-0:2-2:1-4
Sheff Wed v Plymouth,X,enf,31,2-1:1-2:2-0:3-1:1-1:2-2:3-2:1-3:4-1
Oxford Utd v Bristol Rovers,10,enf,25,2-0:2-1:3-1:1-1:3-0:1-0:2-2:0-2:3-2
Bolton v Stockport,10,enf,4,2-0:2-1:3-1:3-0:1-0:4-1:1-2:4-0
Rochdale v Notts County,1,enf,28,2-1:1-2:2-0:1-1:0-1:1-3:1-0:0-0:0-2:2-2:3-1:3-2
