game,res,league,howmany,scores
Fulham v Bournemouth,0,en2,247,2-1:1-1:2-0:1-2:1-0:2-2:3-2
Coventry v West Brom,X,en2,246,1-1:2-1:1-2:1-0:0-1:2-0:0-2
Barnsley v Huddersfield,X,en2,241,1-1:1-2:2-1:0-1:0-2:1-0:0-0
Blackburn v Preston,0,en2,242,2-1:2-0:1-1:1-0:2-2:1-2:0-1:3-1
Blackpool v Luton,0,en2,243,2-1:1-1:1-0:2-0:1-2:0-0:0-2:0-1
Bristol City v Derby,X,en2,244,1-1:1-2:1-0:2-1:2-0:0-0:0-1
Cardiff v Sheff Utd,X,en2,245,1-2:1-1:2-1:0-1:2-0:1-0:2-2:0-2
Middlesbrough v Swansea,X,en2,248,2-1:1-1:1-2:1-0:2-0:2-2
Millwall v Birmingham,0,en2,249,1-0:1-1:2-1:0-0:2-0:0-1:1-2:0-2
Nottm Forest v Peterborough,10,en2,250,2-0:2-1:1-0:1-1:3-0:3-1
Reading v Hull,0,en2,252,2-1:1-1:2-0:1-0:1-2:2-2
QPR v Stoke,0,en2,251,2-1:2-0:1-1:1-2:1-0:2-2:3-1
West Ham v Chelsea,2,en,149,1-2:1-1:1-3:2-2:2-1:0-2:0-1:1-0
Newcastle v Burnley,0,en,145,1-1:2-1:1-0:2-0:1-2:0-0:0-1
Southampton v Brighton,X,en,146,1-1:2-1:1-2:1-0:2-0:0-0:0-1:2-2
Wolves v Liverpool,21,en,150,1-3:0-2:1-2:0-3:0-1:0-4:1-1
Watford v Man City,21,en,148,1-3:0-3:0-2:1-2:0-4:0-1:1-4
Leeds v Brentford,0,en,143,1-1:2-1:1-0:2-0:1-2:2-2:0-1
Man Utd v Crystal Palace,10,en,144,2-1:2-0:3-1:1-1:3-0:1-0
Tottenham v Norwich,10,en,147,2-0:3-0:2-1:1-0:3-1
Aston Villa v Leicester,X,en,141,1-1:2-1:1-2:2-2:1-0
Everton v Arsenal,2,en,142,1-2:1-1:0-2:2-1:0-1:1-3:1-0:2-2
Gateshead v Charlton,21,enf,67,0-2:1-3:1-2:0-3:1-1:0-1:2-1
Rotherham v Stockport,10,enf,64,2-0:2-1:3-1:1-0:3-0:1-1:1-2:2-2
Buxton v Morecambe,21,enf,56,1-2:0-1:0-2:1-1:1-0:0-3:2-1:1-3
Bristol Rovers v Sutton United,1,enf,68,2-1:2-0:3-1:1-1:0-1:1-2:2-2:3-0:1-0
Burton v Port Vale,1,enf,55,2-1:1-2:2-0:1-1:1-0:0-2
Cambridge v Exeter,X,enf,147,2-1:1-1:1-0:1-2:2-0:0-1
Carlisle v Shrewsbury,1,enf,57,1-2:1-0:2-1:1-1:0-1:2-0:0-2
Doncaster v Mansfield,10,enf,59,2-1:1-0:2-0:1-1:1-2:3-1:0-1
Ipswich v Barrow,10,enf,66,2-0:3-0:3-1:2-1:1-0:4-0
Leyton Orient v Tranmere,X,enf,61,2-1:1-1:2-0:1-2:1-0:0-1:0-0:2-2:3-1
Lincoln City v Hartlepool,10,enf,62,2-0:2-1:1-0:3-1:1-2:1-1:3-0:0-2
Portsmouth v Harrogate,10,enf,63,2-0:3-1:3-0:2-1:1-0:4-1:1-1
Walsall v Swindon,X,enf,69,1-2:2-1:1-1:0-1:1-0:0-2:2-2:2-0
Wimbledon v Cheltenham,0,enf,53,2-1:1-1:2-0:1-0:0-1:3-1:1-2:2-2
Yeovil v Stevenage,X,enf,70,1-2:2-1:1-1:1-0:0-1:2-2:0-2:2-0:3-1
Rochdale v Plymouth,21,enf,148,1-2:1-3:0-1:0-2:2-0:1-1:1-0
Colchester v Wigan,1,enf,58,1-2:0-2:2-1:1-3:1-1:0-1:2-0
Kidderminster v Halifax,X,enf,60,1-1:2-1:1-2:0-1:0-2:1-0:2-2:0-0
Salford v Chesterfield,0,enf,65,2-1:1-1:2-0:3-1:1-2:1-0
Boreham Wood v St Albans City,10,enf,54,2-1:2-0:1-0:3-1:1-1:3-0:2-2
