game,res,league,howmany,scores
Huddersfield v Coventry,X,en2,256,1-1:1-2:2-1:1-0:0-0:2-0:0-1:2-2:0-2
Birmingham v Cardiff,X,en2,253,2-1:1-1:2-0:1-2:1-0:0-0:0-1:2-2
Bournemouth v Blackburn,0,en2,254,2-1:2-0:3-1:1-1:1-0:2-2:1-2
Derby v Blackpool,X,en2,255,1-1:1-0:2-1:2-0:1-2:0-1:0-2:0-0
Hull v Bristol City,X,en2,257,2-1:1-1:1-0:2-0:1-2:0-1:0-0
Luton v Fulham,21,en2,258,1-2:0-2:1-3:1-1:0-1:0-3:2-1:2-2:2-3
Peterborough v Millwall,X,en2,259,1-2:1-1:1-0:2-1:0-1:0-2:2-0
Preston v Barnsley,10,en2,260,2-0:2-1:1-0:1-1:0-0:3-1:1-2
Stoke v Middlesbrough,0,en2,262,2-1:1-1:1-0:2-0:1-2:0-0:0-1
Swansea v Nottm Forest,X,en2,263,1-1:2-1:2-0:1-2:1-0:2-2:0-1:0-0
West Brom v Reading,10,en2,264,2-0:2-1:1-0:3-1:1-1:3-0
Sheff Utd v QPR,X,en2,261,2-1:1-1:2-0:1-0:1-2:2-2:0-1
Brentford v Man Utd,21,en,162,1-2:0-2:1-1:1-3:0-1:2-1:0-3
Norwich v Aston Villa,2,en,166,1-2:1-1:0-2:0-1:1-0:1-3:2-1
Man City v Leeds,10,en,170,2-0:3-0:3-1:2-1:1-0:4-0:4-1
Brighton v Wolves,X,en,163,1-1:1-0:2-1:0-0:1-2:0-1:2-0:2-2
Burnley v Watford,X,en,164,1-1:1-0:2-1:1-2:0-0:0-1:2-0:2-2
Crystal Palace v Southampton,0,en,167,2-1:1-1:2-0:1-0:1-2:3-1:2-2
Arsenal v West Ham,X,en,161,2-1:1-1:1-2:2-2:1-0:2-0:0-1
Leicester v Tottenham,X,en,165,2-1:1-1:1-2:2-2:1-0:2-0:0-1
Chelsea v Everton,10,en,168,2-0:3-0:3-1:2-1:1-0:1-1
Liverpool v Newcastle,10,en,169,3-0:4-0:2-0:3-1:5-0:4-1:2-1:1-0
Gateshead v Charlton,21,enf,67,0-2:1-3:1-2:0-3:0-1:1-1:2-1
Rotherham v Stockport,10,enf,64,2-0:2-1:3-1:1-0:1-1:1-2:3-0
Buxton v Morecambe,21,enf,56,1-2:0-2:1-1:0-1:1-3:2-1:1-0:0-3
Bristol Rovers v Sutton United,1,enf,68,2-1:2-0:1-1:3-1:1-2:0-1:1-0:3-0:2-2
Burton v Port Vale,1,enf,55,2-1:2-0:1-2:1-0:1-1:3-1
Cambridge v Exeter,X,enf,147,2-1:1-1:1-0:1-2:2-0:0-1:2-2
