game,res,league,howmany,scores
Birmingham v Norwich,2,en2,62,1-1:1-2:0-1:0-2:1-0:2-1:0-3
Burnley v Millwall,0,en2,63,2-0:2-1:1-1:1-0:0-1:3-0:1-2:3-1
Cardiff v Luton,X,en2,64,1-1:1-0:2-1:1-2:0-1:0-0:0-2
QPR v Hull,0,en2,65,1-1:2-1:1-0:2-0:1-2:0-0:0-1:3-1
Sheff Utd v Reading,10,en2,71,2-0:2-1:3-0:1-1:3-1:1-0:0-0:0-1:1-2
Wigan v West Brom,X,en2,67,1-1:1-2:0-1:1-0:1-3:0-2:0-0:2-0
Watford v Middlesbrough,10,en2,66,2-1:2-0:1-1:1-0:0-1:3-0:3-1
Bristol City v Huddersfield,X,en2,69,1-1:1-2:2-0:2-1:1-0:0-1:2-2:3-1
Coventry v Preston,0,en2,70,1-1:1-0:2-1:0-0:2-0:0-1:1-2:2-2
Stoke v Swansea,X,en2,73,1-1:2-1:2-0:1-0:0-1:2-2:1-2:0-0:0-2
Sunderland v Rotherham,0,en2,72,2-0:2-1:1-1:1-0:1-2:3-1:0-1:3-0
Blackpool v Blackburn,X,en2,68,1-1:1-2:2-1:0-1:2-2:1-3:2-3
Southampton v Man Utd,2,en,39,1-2:1-1:0-2:1-3:2-1:2-2:0-1
Brentford v Everton,0,en,33,2-1:2-0:1-1:1-0:1-2:0-1:3-1:2-2
Brighton v Leeds,X,en,34,1-1:2-1:2-2:1-2:1-0:2-0:0-1
Chelsea v Leicester,10,en,35,2-0:2-1:3-1:3-0:1-0:1-1:2-2
Liverpool v Bournemouth,10,en,36,3-0:2-0:4-0:3-1:2-1:1-0
Man City v Crystal Palace,10,en,37,3-1:3-0:2-0:2-1:4-0:4-1:1-0
Arsenal v Fulham,10,en,31,2-0:3-1:2-1:3-0:1-1:1-0:4-1
Aston Villa v West Ham,X,en,32,1-1:2-1:1-2:1-0:2-2:0-0:2-0:0-1
Wolves v Newcastle,2,en,40,1-2:1-1:0-1:0-2:2-1:1-3:1-0:2-2
Nottm Forest v Tottenham,21,en,38,1-2:0-2:1-3:0-3:1-1:0-1
Middlesbrough v Chelsea,21,enf,207,1-2:1-3:0-2:0-3:0-1:2-1
Crystal Palace v Everton,1,enf,206,2-1:2-0:1-2:1-0:0-1:1-1:3-1
Southampton v Man City,21,enf,208,1-2:1-3:0-2:0-3:0-1:1-0:2-1
Nottm Forest v Liverpool,21,enf,209,0-2:1-3:1-2:0-3:0-4:0-1:1-4
Man City v Liverpool,X,enf,211,2-1:1-2:1-1:2-2:2-3:1-0:3-1
Chelsea v Crystal Palace,10,enf,210,2-1:2-0:3-1:1-0:1-2:3-0
Chelsea v Liverpool,1,enf,212,1-2:1-3:2-1:0-2:1-1:1-0:3-1
Ajaccio v Lille,21,fr,31,1-2:0-2:1-1:1-3:0-1:2-1:0-0:1-0:1-4
Auxerre v Strasbourg,X,fr,32,1-1:2-1:1-2:1-0:0-1:0-0:0-2:1-3:2-0:2-2:3-0
Lens v Rennes,X,fr,34,2-1:1-1:2-2:2-0:1-2:1-0:0-1:0-0
Nantes v Toulouse,X,fr,36,2-1:1-1:1-2:1-0:2-0:0-0:0-1
Brest v Montpellier,X,fr,33,1-2:2-1:1-1:1-0:2-0:0-0:2-2:0-1:0-2
Lorient v Clermont,X,fr,35,1-1:2-1:1-0:1-2:2-0:0-1:0-0
Nice v Marseille,X,fr,37,1-2:1-1:2-1:0-2:1-0:1-3:2-2:0-1
Troyes v Angers,X,fr,40,1-1:2-1:1-2:0-1:1-0:0-0:0-2:2-0
Reims v Lyon,2,fr,39,1-2:0-2:1-3:1-1:0-1:2-1:2-2
PSG v Monaco,10,fr,38,3-1:2-0:3-0:5-1:2-1:4-0:4-1
Freiburg v VfL Bochum,10,de,34,2-0:2-1:3-1:1-0:1-2:1-1:3-0
Hertha Berlin v B Dortmund,21,de,32,1-2:1-3:0-2:1-1:0-1:2-1:2-3
Hoffenheim v Augsburg,10,de,36,2-0:2-1:1-1:1-0:3-1:1-2:3-0:2-2:0-1
Mainz v B Leverkusen,X,de,29,1-2:1-1:2-1:0-1:0-2:1-0:1-3:2-2:2-0:3-1
RB Leipzig v Wolfsburg,0,de,33,2-1:2-0:1-0:2-2:3-1:1-1:3-0
Schalke v Union Berlin,X,de,31,1-1:1-2:2-1:0-1:1-0:0-2:0-0
Bayern Munich v B Mgladbach,10,de,30,3-1:3-0:2-0:2-1:4-1:4-0:1-0:1-1:5-1
Köln v Stuttgart,X,de,28,2-1:1-1:1-0:1-2:2-0:2-2:0-1:3-1
Werder Bremen v Frankfurt,X,de,35,2-1:1-1:1-2:2-2:2-0:0-1:1-0:3-0:3-1:3-2
Ionikos FC v Levadiakos,0,gr,10,2-1:1-0:2-0:1-1:0-0:1-2:0-1
PAS Giannina v Lamia,0,gr,14,2-0:1-0:1-1:2-1:0-1:0-0:1-2
AEK Athens v Volos NFC,10,gr,8,2-0:3-1:3-0:2-1:1-0:1-1:2-2
Panetolikos v Aris,2,gr,12,1-2:1-1:0-1:0-2:0-0:1-0:2-1:1-3
OFI v Panathinaikos,2,gr,11,1-1:1-2:0-1:0-2:1-3:2-1:0-0:1-0:2-2
