game,res,league,howmany,scores
Barcelona v PSG                              ,0 ,euc,    22,2-1:1-1:2-2:3-2:0-0:1-0:1-2:1-3:2-0:2-3:3-0:3-1
RB Leipzig v Liverpool                       ,X ,euc,    22,2-1:1-1:1-2:0-2:2-0:0-1:1-0:1-3:3-1
FC Porto v Juventus                          ,X ,euc,    22,1-2:0-2:1-3:0-1:1-0:1-1:2-2:2-0:2-1
Sevilla v B Dortmund                         ,X ,euc,    22,1-1:1-0:2-1:0-2:2-0:0-0:1-3:2-2
Atl Madrid v Chelsea                         ,10,euc,    22,2-1:2-0:1-0:2-2:0-1:0-2:1-1:1-2:3-0
Lazio v Bayern Munich                        ,21,euc,    22,1-2:0-2:1-3:0-1:0-3:1-1:2-0
Atalanta v Real Madrid                       ,X ,euc,    22,1-2:1-1:2-1:2-2:0-2:1-3:2-0:2-3:2-4
B Mgladbach v Man City                       ,1 ,euc,    22,0-2:1-2:1-0:2-0:0-3:1-1:1-3:2-1:2-2:3-1
B Dortmund v Sevilla                         ,10,euc,    17,2-1:2-0:1-1:1-2:3-1
Juventus v FC Porto                          ,10,euc,    16,2-0:3-1:1-0:3-0:2-1:2-2:4-0
Liverpool v RB Leipzig                       ,0 ,euc,    16,3-1:2-0:2-2:2-1:1-0:1-1:3-0
PSG v Barcelona                              ,1 ,euc,    16,2-1:2-0:1-2:3-1:1-0:2-2
Man City v B Mgladbach                       ,10,euc,    16,3-1:2-0:3-0:1-1:1-0:1-2:2-1:4-1
Real Madrid v Atalanta                       ,10,euc,    16,2-0:3-1:2-1:1-2:3-2
Bayern Munich v Lazio                        ,10,euc,    16,3-0:2-0:3-1:1-1:4-1:4-2
Chelsea v Atl Madrid                         ,0 ,euc,    16,1-1:2-1:2-0:0-0:1-0:1-2:3-0
Dynamo Kyiv v Club Bruges                    ,X ,eue,    13,1-1:2-0:1-2:2-1
FK Krasnodar v Dinamo Zagreb                 ,X ,eue,    13,0-1:1-0:1-1:1-2:2-0:0-2:2-1:3-0
Olympiakos v PSV Eindhoven                   ,X ,eue,    13,1-1:1-0:2-1:0-1:1-2:2-0:2-2:5-3
Real Sociedad v Man Utd                      ,X ,eue,    13,2-1:2-2:0-1:2-0:0-0:1-2:1-3
Red Star Belgrade v AC Milan                 ,2 ,eue,    13,0-2:1-2:1-1:0-1:0-3:2-0
RZ Pellets WAC v Tottenham                   ,21,eue,    13,0-2:1-3:0-3:0-0:0-4:1-2:1-4:2-0
Slavia Prague v Leicester                    ,X ,eue,    13,1-2:0-1:1-1:1-3:1-0:2-0
Sporting Braga v Roma                        ,X ,eue,    13,1-2:1-1:2-1:0-0:2-0:2-2
Young Boys v B Leverkusen                    ,X ,eue,    13,1-1:1-2:0-1:1-0:1-3:2-0
Benfica v Arsenal                            ,X ,eue,    13,2-1:1-1:2-0:0-0:0-1:1-2:1-3:2-2
Granada v Napoli                             ,X ,eue,    13,1-2:0-2:2-1:1-0:1-1:2-0:2-2
Lille v Ajax                                 ,X ,eue,    12,1-1:0-1:2-0:1-0:1-2:2-1:2-2
Maccabi Tel-Aviv v Shakhtar Donetsk          ,X ,eue,    12,0-2:1-1:1-2:2-2:1-0:1-3:2-0:2-1
Molde v Hoffenheim                           ,1 ,eue,    12,1-2:0-2:1-0:1-1:1-3:2-0:2-1
RB Salzburg v Villarreal                     ,X ,eue,    12,1-1:1-2:2-0:0-1:1-0:2-1:2-2
Royal Antwerp v Rangers                      ,X ,eue,    12,1-0:0-2:1-1:2-1:1-2:2-0:2-2
Tottenham v RZ Pellets WAC                   ,10,eue,     9,3-0:2-0:1-0:2-1:4-1
Ajax v Lille                                 ,0 ,eue,     9,2-1:2-0:1-1:4-2
