game,res,league,howmany,scores
Blackburn v Cardiff,10,en2,291,2-0:2-1:1-0:1-1:1-2:0-1:3-1
Blackpool v Sunderland,X,en2,292,1-2:1-1:0-2:2-1:1-0:1-3:2-2:0-1:2-0
Coventry v Bristol City,0,en2,293,2-1:1-1:2-0:1-0:1-2:0-1:2-2:0-0
Huddersfield v Luton,X,en2,294,1-1:1-2:2-1:0-1:0-2:1-0:2-2:2-0:0-0
Millwall v Rotherham,10,en2,295,2-0:1-0:2-1:1-1:3-1:3-0:0-1
Birmingham v Middlesbrough,2,en2,290,1-2:1-1:0-1:0-2:2-1:1-0:1-3:2-0:2-2
Norwich v Watford,X,en2,296,2-1:1-2:1-1:2-0:1-0:0-1:0-0:2-2
Stoke v Preston,X,en2,298,1-1:1-0:2-1:2-0:1-2:0-1:0-2:0-0
Swansea v Burnley,2,en2,299,1-2:0-2:1-3:1-1:0-1:2-2:2-1
West Brom v Reading,10,en2,300,2-0:2-1:1-1:0-1:1-0:2-2:3-1:1-2:3-0
Wigan v Hull,X,en2,301,1-1:2-1:1-0:2-0:0-1:0-0:1-2:0-2
QPR v Sheff Utd,2,en2,297,1-2:0-2:1-1:1-3:2-1:2-2:0-1:0-3:2-0
Brentford v Liverpool,21,en,183,1-2:1-3:0-2:1-1:2-2:2-1:0-1:0-3
Arsenal v Newcastle,0,en,181,2-1:1-1:2-2:2-0:1-0:1-2:3-1
Everton v Brighton,X,en,186,1-1:1-2:2-1:1-0:0-1:0-2:0-0:2-0
Leicester v Fulham,X,en,188,2-1:1-1:2-0:1-2:1-0:2-2:0-1
Man Utd v Bournemouth,10,en,189,2-0:3-0:2-1:3-1:1-0:4-0:1-1
Southampton v Nottm Forest,X,en,190,1-1:1-0:2-1:1-2:0-1:0-0:2-0
Leeds v West Ham,X,en,187,2-1:1-1:1-0:1-2:2-0:2-2:0-1
Aston Villa v Wolves,0,en,182,2-1:1-1:2-0:1-0:1-2:0-1:2-2
Crystal Palace v Tottenham,2,en,185,1-2:1-1:2-1:0-2:0-1:1-3:2-2:1-0
Chelsea v Man City,2,en,184,1-2:1-3:1-1:2-2:0-2:2-1:0-1:2-3
Man Utd v Everton,10,enf,90,2-1:2-0:1-0:3-1:3-0:3-2
Crystal Palace v Southampton,10,enf,79,2-1:2-0:1-0:0-1:1-1:3-1:1-2
Forest Green v Birmingham,21,enf,82,1-2:0-2:0-1:1-3:1-0:1-1:0-0:0-3:2-1
Gillingham v Leicester,21,enf,100,0-3:0-2:1-3:1-2:0-1:0-4:1-0
Preston v Huddersfield,10,enf,95,2-1:1-0:2-0:1-1:0-1:1-2:2-2
Reading v Watford,X,enf,96,1-1:1-2:2-1:1-0:0-1:0-2:2-0:0-0
Tottenham v Portsmouth,10,enf,101,3-0:2-0:3-1:2-1:4-0:1-0:4-1
Blackpool v Nottm Forest,21,enf,71,1-2:1-3:0-1:0-2:1-1:2-1:1-0:2-2
