game,res,league,howmany,scores
Lazio v Club Bruges                          ,10,euc,    71,2-1:2-0:3-1:1-0:1-1
Zenit St Petersburg v B Dortmund             ,21,euc,    71,1-2:0-2:1-3:2-1:2-2:0-1:1-1:0-3
Barcelona v Juventus                         ,X ,euc,    71,2-1:2-2:1-1:3-2:1-2:1-0:3-1
Chelsea v FK Krasnodar                       ,10,euc,    71,3-0:2-0:4-0:1-0:2-1:3-1:4-1
Dynamo Kyiv v Ferencvárosi TC                ,10,euc,    71,2-0:1-0:2-1:3-1:1-2:1-1
PSG v Istanbul Basaksehir                    ,10,euc,    71,3-0:4-0:2-0:3-1:4-1:2-1
RB Leipzig v Man Utd                         ,X ,euc,    71,2-1:1-2:1-0:2-2:1-1:3-1:3-2
Rennes v Sevilla                             ,2 ,euc,    71,1-2:1-1:0-2:1-3:1-0:0-0:0-1:0-3
Ajax v Atalanta                              ,X ,euc,    71,2-1:2-2:1-1:2-0:1-2:1-0:2-3:2-4:3-1
FC Midtjylland v Liverpool                   ,21,euc,    71,0-2:1-2:1-3:0-3:0-4:2-1:0-1:1-1:1-4
Bayern Munich v Lokomotiv Moscow             ,10,euc,    71,3-0:2-0:4-0:5-0:3-1:2-1:4-1
Inter Milan v Shakhtar Donetsk               ,10,euc,    71,2-1:2-0:3-1:3-2:2-2:1-1:3-0:4-1
Man City v Marseille                         ,10,euc,    72,2-1:3-0:2-0:3-1:1-1:4-0:1-2:4-1
Olympiakos v FC Porto                        ,X ,euc,    72,1-1:1-2:0-1:0-2:2-1:1-0:2-0:2-2
RB Salzburg v Atl Madrid                     ,2 ,euc,    72,1-2:1-1:0-1:2-2:1-3:0-2:1-0:2-1:3-2
Real Madrid v B Mgladbach                    ,10,euc,    72,2-1:3-2:3-1:1-1:2-0:3-0:1-2:2-2:1-0
B Leverkusen v Slavia Prague                 ,10,eue,    30,2-0:2-1:3-1:1-0:2-2:3-0
CSKA Sofia v Roma                            ,2 ,eue,    29,1-2:1-1:1-3:0-2:0-1:0-3:2-1
Dundalk v Arsenal                            ,21,eue,    29,0-3:0-4:1-4:1-1:1-2:1-3
Hapoel Be'er Sheva v Nice                    ,X ,eue,    29,1-2:1-1:0-2:1-0:2-1
HNK Rijeka v AZ Alkmaar                      ,X ,eue,    29,1-2:1-3:2-2:0-2:1-1:2-0:2-1
Lech Poznan v Rangers                        ,2 ,eue,    29,1-2:0-2:1-1:0-0:0-1:2-1
Napoli v Real Sociedad                       ,0 ,eue,    29,2-1:2-2:3-1:3-2:2-0
PAOK Salonika v Granada                      ,X ,eue,    29,1-1:1-2:0-1:0-2:2-0:2-1:3-1
PSV Eindhoven v Omonia Nicosia               ,10,eue,    29,2-0:2-1:1-1:3-0:3-1
Rapid Vienna v Molde                         ,X ,eue,    29,2-1:1-1:1-2:2-2:1-0:2-0
Standard Liege v Benfica                     ,X ,eue,    29,1-1:1-2:2-1:1-3:0-0:0-1:0-2:0-3:2-2
Young Boys v CFR Cluj                        ,10,eue,    29,2-1:2-0:1-1:1-0:1-2:3-1
Celtic v Lille                               ,X ,eue,    29,1-2:1-1:2-1:2-2:3-1
Dinamo Zagreb v CSKA Moscow                  ,X ,eue,    29,2-1:1-1:1-2:3-1:2-0:2-2:3-0
Hoffenheim v KAA Gent                        ,10,eue,    29,2-1:2-0:3-0:3-1:1-0:1-1:2-2:4-1
Leicester v AEK Athens                       ,10,eue,    29,2-0:2-1:3-0:3-1:4-0
Ludogorets v LASK                            ,X ,eue,    29,0-1:2-2:0-2:1-1:1-2:1-3:1-0:2-1
Maccabi Tel-Aviv v Sivasspor                 ,X ,eue,    29,1-1:2-1:1-0:2-2:0-1:3-1
RZ Pellets WAC v Feyenoord                   ,X ,eue,    29,1-2:0-2:1-1:2-1
Slovan Liberec v Red Star Belgrade           ,X ,eue,    29,1-2:0-1:1-1:2-1:2-2
Sparta Prague v AC Milan                     ,21,eue,    29,1-3:0-2:1-2:0-1:1-0:2-2:2-3
Sporting Braga v Zorya Luhansk               ,10,eue,    29,2-1:2-0:3-1:1-0
Tottenham v Royal Antwerp                    ,10,eue,    29,2-0:2-1:3-0:3-1:1-0:1-2:4-1
Villarreal v FK Qarabag                      ,10,eue,    29,2-0:2-1:3-0:3-1:1-0
Burnley v Everton                            ,21,en ,  4087,1-2:0-2:1-1:0-1:1-3:1-0:2-1:0-3
Man City v Fulham                            ,10,en ,  4193,3-0:4-0:3-1:5-0:2-0:4-1:2-1
West Ham v Man Utd                           ,X ,en ,  4179,1-2:2-1:1-1:2-2:1-3:0-2:0-1:2-3
Chelsea v Leeds                              ,10,en ,  4174,2-1:3-1:2-0:2-2:1-1:3-2:3-0:1-0:1-2
West Brom v Crystal Palace                   ,X ,en ,  4014,1-1:1-2:1-0:0-1:2-1:0-0:0-2:2-2:2-0
Sheff Utd v Leicester                        ,21,en ,  4012,1-2:0-2:1-1:1-3:0-1:0-3:1-0
