game,res,league,howmany,scores
Lokomotiv Moscow v Bayern Munich             ,21,euc,    69,0-2:0-3:1-3:0-4:0-5:1-2:1-4
Shakhtar Donetsk v Inter Milan               ,X ,euc,    69,1-2:1-1:2-1:2-2:0-1:1-3:0-0:0-2:1-0:3-2
Atalanta v Ajax                              ,10,euc,    69,2-1:2-0:3-1:1-1:2-2:3-2:1-2
Atl Madrid v RB Salzburg                     ,10,euc,    69,2-0:2-1:1-0:3-1:1-1:3-0
B Mgladbach v Real Madrid                    ,2 ,euc,    69,1-2:0-2:1-1:2-1:2-2:0-1:1-3:0-3
FC Porto v Olympiakos                        ,0 ,euc,    69,2-0:2-1:1-0:1-1:2-2:3-1
Liverpool v FC Midtjylland                   ,10,euc,    69,3-0:4-0:2-0:5-0:3-1:2-1
Marseille v Man City                         ,21,euc,    69,1-2:0-2:1-3:0-1:0-3:1-1:2-1:1-4
FK Krasnodar v Chelsea                       ,21,euc,    67,1-2:1-3:0-2:1-1:0-1:0-3:1-0
Istanbul Basaksehir v PSG                    ,21,euc,    68,0-2:1-2:0-3:1-3:0-1
B Dortmund v Zenit St Petersburg             ,10,euc,    67,2-0:2-1:3-1:1-0:1-1:3-0
Club Bruges v Lazio                          ,2 ,euc,    67,1-2:1-1:0-1:0-2:2-1:1-3:2-2
Ferencvárosi TC v Dynamo Kyiv                ,2 ,euc,    67,1-2:1-1:0-1:0-2:0-0:1-3:1-0:2-1
Juventus v Barcelona                         ,0 ,euc,    68,2-1:1-1:2-2:1-2:2-0:0-1
Man Utd v RB Leipzig                         ,0 ,euc,    68,2-1:2-0:1-1:1-2:2-2:3-1:1-0
Sevilla v Rennes                             ,10,euc,    67,2-0:2-1:3-0:3-1:1-0:1-1:0-1
AC Milan v Sparta Prague                     ,10,eue,    34,2-0:3-0:3-1:2-1
AEK Athens v Leicester                       ,1 ,eue,    35,1-2:1-1:1-0:2-1:0-2:1-3
CSKA Moscow v Dinamo Zagreb                  ,0 ,eue,    34,2-1:2-0:1-1:1-2:2-2:3-1
Feyenoord v RZ Pellets WAC                   ,10,eue,    34,2-0:3-1:1-0:3-0:2-1:1-1
FK Qarabag v Villarreal                      ,X ,eue,    33,1-2:1-1:0-2:2-1
KAA Gent v Hoffenheim                        ,X ,eue,    33,1-2:1-1:2-1:0-1:0-2:2-0
LASK v Ludogorets                            ,X ,eue,    33,2-0:2-1:1-2:1-1:0-0:0-1:1-0:2-2:3-1
Lille v Celtic                               ,0 ,eue,    34,2-1:3-1:1-2:2-2:1-1:2-0:1-0
Red Star Belgrade v Slovan Liberec           ,10,eue,    33,2-1:1-0:2-0:1-1:3-1:2-2
Royal Antwerp v Tottenham                    ,21,eue,    34,1-2:1-3:0-2:0-3:1-1:0-4:1-4
Sivasspor v Maccabi Tel-Aviv                 ,X ,eue,    33,1-1:2-0:0-1:1-2:2-1:1-0:2-2:3-1:3-2
Zorya Luhansk v Sporting Braga               ,X ,eue,    33,1-2:0-1:2-1:0-2:1-1:2-2
Arsenal v Dundalk                            ,10,eue,    34,3-0:4-0:5-0:2-0:2-1:3-1:4-1
AZ Alkmaar v HNK Rijeka                      ,10,eue,    33,2-0:2-1:1-0:3-1
Benfica v Standard Liege                     ,0 ,eue,    33,2-1:2-0:1-1:3-1:2-2
CFR Cluj v Young Boys                        ,X ,eue,    33,2-1:1-0:1-1:1-2:0-1:2-2:2-0
Granada v PAOK Salonika                      ,10,eue,    33,2-1:1-0:2-0:3-1:0-1:1-1:2-2:3-0
Molde v Rapid Vienna                         ,X ,eue,    33,1-2:1-1:2-1:1-0:0-0:0-1:2-0:3-1
Nice v Hapoel Be'er Sheva                    ,10,eue,    33,2-0:2-1:1-0:3-1:1-1:2-2
Omonia Nicosia v PSV Eindhoven               ,21,eue,    33,1-2:0-2:0-1:1-1:1-3
Rangers v Lech Poznan                        ,0 ,eue,    34,2-1:2-0:1-0:3-1:1-1:2-2:3-0
Real Sociedad v Napoli                       ,X ,eue,    33,1-2:1-1:2-2:2-0:1-3:2-1:2-4:3-1
Roma v CSKA Sofia                            ,10,eue,    33,2-0:2-1:3-0:3-1:1-1
Slavia Prague v B Leverkusen                 ,21,eue,    33,1-2:1-3:2-1:0-2:1-1:2-2
Aston Villa v Leeds                          ,0 ,en ,  3994,2-1:1-1:2-2:1-2:2-0:1-0:3-1:0-1
West Ham v Man City                          ,21,en ,  3988,1-3:1-2:0-2:0-3:2-2:1-4:1-1
Fulham v Crystal Palace                      ,2 ,en ,  3969,1-1:1-2:0-1:0-2:2-1:1-0:0-0:1-3
Man Utd v Chelsea                            ,X ,en ,  3972,2-2:2-1:1-2:1-1:3-2:3-1:2-0:1-3:2-3
Liverpool v Sheff Utd                        ,10,en ,  3963,3-0:2-0:3-1:2-1:4-0:4-1:1-0
Southampton v Everton                        ,2 ,en ,  3910,1-2:1-1:1-3:2-1:2-2:0-2:0-1
Wolves v Newcastle                           ,10,en ,  3902,2-0:2-1:1-0:1-1:3-1:2-2:3-0
Arsenal v Leicester                          ,0 ,en ,  3899,2-1:2-0:2-2:1-1:3-1:1-2:1-0:3-2
Brighton v West Brom                         ,0 ,en ,  3892,1-0:2-0:2-1:1-1:0-0:3-1:1-2
Burnley v Tottenham                          ,21,en ,  3895,1-3:0-2:1-2:0-3:1-4:1-1:0-4:0-1
Nottm Forest v Derby                         ,0 ,en2,   227,2-1:1-1:1-0:2-0:1-2:0-1:0-0:2-2:3-1
Watford v Bournemouth                        ,0 ,en2,   209,2-1:1-1:2-0:1-2:2-2:1-0
