game,res,league,howmany,scores
Bristol City v Cardiff,X,en2,329,2-1:1-1:1-2:2-0:1-0:0-1:0-2:2-2
Nottm Forest v Derby,X,en2,331,2-1:1-1:2-0:1-2:1-0:2-2:0-1
Birmingham v Barnsley,10,en2,325,2-0:2-1:1-0:1-1:0-1
Blackpool v Millwall,X,en2,327,1-1:2-1:1-0:1-2:2-0:0-1
Bournemouth v Hull,10,en2,328,2-0:2-1:3-0:3-1:1-0:1-1
Coventry v QPR,X,en2,330,1-1:1-2:2-1:2-2:0-1:1-0:2-0:1-3:0-2
Reading v Huddersfield,X,en2,332,1-1:1-2:0-2:2-1:0-1:1-0:0-0:2-0
Sheff Utd v Luton,10,en2,333,2-1:2-0:1-1:1-0:1-2:3-1
Stoke v Fulham,21,en2,334,1-2:1-3:1-1:0-2:0-3:1-4:2-1
Swansea v Preston,0,en2,335,1-1:2-1:2-0:1-0:1-2:0-1:2-2:3-1
West Brom v Peterborough,10,en2,336,2-0:3-0:2-1:1-0:3-1:1-1
Blackburn v Middlesbrough,0,en2,326,2-1:1-1:2-0:1-2:2-2:1-0:3-1:0-1
Birmingham v Peterborough,10,en2,289,2-0:2-1:1-0:1-1:1-2:0-0:0-2:3-0
Coventry v Stoke,X,en2,270,2-1:1-1:1-2:1-0:2-0:2-2:0-0:0-1
Luton v Bristol City,0,en2,283,2-1:2-0:1-1:1-0:2-2:1-2:3-1
Nottm Forest v Barnsley,10,en2,307,2-0:2-1:1-0:3-0:1-1:3-1
QPR v Swansea,10,en2,275,2-1:2-0:1-0:1-1:1-2:2-2:3-1
West Brom v Preston,10,en2,300,2-0:2-1:1-0:1-1:3-1:3-0
Southampton v Brentford,0,en,176,2-1:1-1:1-2:1-0:2-0:2-2:0-1
West Ham v Norwich,10,en,179,2-0:3-0:3-1:2-1:4-0:1-0
Brighton v Crystal Palace,X,en,212,1-1:2-1:1-2:1-0:2-2:2-0:0-1
Man City v Chelsea,0,en,215,2-1:2-0:1-1:3-1:2-2:1-2:3-2:1-0
Newcastle v Watford,0,en,216,2-1:1-1:1-0:2-0:1-2:0-1:2-2
Norwich v Everton,2,en,217,1-2:0-2:0-1:1-1:1-0:1-3:2-1:0-0
Wolves v Southampton,0,en,220,2-1:1-0:2-0:1-1:1-2:2-2:0-1
Aston Villa v Man Utd,X,en,211,2-1:1-2:1-1:2-2:1-0:1-3:2-0:0-1:0-2
Liverpool v Brentford,10,en,214,2-0:3-0:3-1:2-1:4-0:1-0:4-1
West Ham v Leeds,10,en,219,2-1:2-0:3-1:1-1:1-0:2-2:3-0
Brighton v Chelsea,21,en,232,1-2:0-2:1-3:1-1:0-1:0-3
Leicester v Tottenham,X,en,165,2-1:1-1:1-2:2-2:1-0:0-1:2-0
Brentford v Man Utd,21,en,162,1-2:0-2:1-1:1-3:0-1:2-1:2-2:0-3
Burnley v Watford,X,en,164,1-1:1-0:2-1:1-2:0-0:0-1:2-0:0-2:2-2
Man Utd v Middlesbrough,10,enf,195,2-0:3-1:2-1:3-0:1-2:1-1
Chelsea v Plymouth,10,enf,184,3-0:4-0:2-0:4-1:5-0:1-0:2-1:3-1
Kidderminster v West Ham,21,enf,188,1-3:0-3:0-2:1-2:1-4:0-5:0-4:1-0
Crystal Palace v Hartlepool,10,enf,185,2-0:3-0:2-1:3-1:1-0:4-1:0-1
Everton v Brentford,X,enf,186,2-1:1-1:1-2:1-0:2-0
Huddersfield v Barnsley,10,enf,187,2-1:2-0:1-0:1-1:3-1:0-1:0-2:3-0
Man City v Fulham,10,enf,190,2-1:3-0:4-0:4-1:5-0:5-1:3-1:1-2:2-0:3-2:2-2
Peterborough v QPR,1,enf,192,1-2:2-1:0-1:0-2:1-1:1-0:1-3:2-0
