game,res,league,howmany,scores
Birmingham v QPR,X,en2,194,1-2:1-1:2-1:0-2:1-3:0-1:1-0
Bristol City v Swansea,X,en2,195,1-1:2-1:1-2:1-0:2-2:0-1:0-2:2-0:1-3
West Brom v Sheff Utd,X,en2,204,1-2:1-1:0-1:0-2:2-1:1-0:2-0:2-2:1-3
Burnley v Reading,10,en2,196,2-0:2-1:3-0:3-1:1-0:1-1
Cardiff v Rotherham,X,en2,197,1-1:2-1:1-0:2-0:0-1:1-2
Coventry v Blackpool,0,en2,198,2-1:1-1:2-0:1-0:1-2:2-2:0-1
Huddersfield v Millwall,X,en2,199,1-2:1-1:0-2:0-1:2-1:1-0:0-0:1-3
Hull v Blackburn,21,en2,200,1-2:1-1:0-1:0-2:2-1:1-3:2-2:1-0
Luton v Sunderland,0,en2,201,2-1:1-1:2-0:1-0:1-2:2-2:0-1
Norwich v Stoke,10,en2,202,2-1:2-0:1-1:1-0:3-1:3-0:1-2
Preston v Middlesbrough,X,en2,203,1-1:1-0:2-1:0-1:1-2:0-0
Wigan v Watford,21,en2,205,1-2:1-3:0-2:1-1:2-1:2-2:0-1
Leicester v Man City,21,en,137,1-3:0-3:1-2:0-2:1-4:1-1:0-4
Bournemouth v Tottenham,21,en,132,1-2:0-2:1-1:0-1:1-3:0-3
Brentford v Wolves,0,en,133,2-1:2-0:1-1:1-0:0-1:1-2
Brighton v Chelsea,2,en,134,1-2:1-1:0-2:0-1:1-3:2-1:2-2:1-0
Crystal Palace v Southampton,0,en,135,2-1:1-1:2-0:1-0:1-2:0-1
Newcastle v Aston Villa,10,en,140,2-0:2-1:3-1:3-0:1-1:1-0:2-2
Fulham v Everton,X,en,136,1-1:2-1:1-2:2-2:1-0:2-0:0-1:0-0
Liverpool v Leeds,10,en,138,2-0:3-0:3-1:2-1:4-0:1-0:4-1
Arsenal v Nottm Forest,10,en,131,2-0:3-0:3-1:2-1:4-0:1-0
Man Utd v West Ham,0,en,139,2-1:2-0:1-1:3-1:1-0:2-2:1-2:3-0
Sheff Wed v Morecambe,10,enf,1,2-0:3-0:3-1:2-1:0-2:1-0:1-1:1-3:2-2:4-1:5-0
Hereford v Portsmouth,21,enf,2,0-2:1-3:0-1:0-3:1-2:1-1:1-4:0-0:0-4:2-0:2-1:2-2
South Shields v Forest Green,X,enf,3,1-2:1-0:2-1:0-2:0-3:1-1:1-3:2-2:0-0:0-1:1-4:1-5:2-4
Barnet v Chelmsford City,10,enf,5,2-0:2-1:3-0:3-1:0-1:1-0:1-1:1-2:4-1
Barrow v Mansfield,X,enf,6,1-1:2-1:1-2:1-0:0-1:0-2:0-0:0-3:1-3:2-2:3-1:3-2
Bolton v Barnsley,X,enf,7,2-1:1-1:1-2:0-2:1-0:1-3:2-0:3-1:2-2:0-0:0-1:3-3
Boreham Wood v Eastleigh,0,enf,8,2-1:2-0:1-0:1-1:2-2:0-2:1-2:3-0:3-1:3-2:0-0:0-1:2-3
Bradford v Harrogate,10,enf,9,2-1:3-1:2-0:0-1:1-1:3-0:1-0:1-2:2-2:2-3:4-2
Bristol Rovers v Rochdale,10,enf,10,2-0:2-1:3-0:3-1:1-0:1-1:0-1:1-2:0-2:2-3:4-3:5-2
Burton v Needham Market,10,enf,11,3-0:2-0:3-1:1-0:0-1:1-1:2-1:3-2:4-0:5-0:2-2:4-2
Buxton v Merthyr Town,X,enf,12,2-1:2-0:1-0:1-1:1-2:0-0:0-1:2-2:3-1:0-2:0-3:3-0:4-3
Carlisle v Tranmere,X,enf,13,2-1:1-2:1-1:2-2:0-1:0-2:1-0:1-3:2-0:3-1:3-2:0-0:2-3:3-3
Charlton v Coalville Town,10,enf,14,3-0:4-0:2-0:2-1:0-1:1-0:1-1:4-1:5-0:1-4:3-1:4-2:6-0
Cheltenham v Alvechurch,10,enf,15,2-0:3-0:2-1:3-1:4-0:4-1:0-1:5-0:0-2:1-0:1-1:1-2:1-3
Chesterfield v Northampton,X,enf,16,1-2:1-1:2-1:0-1:1-3:0-2:1-0:2-0:2-2:2-3:3-1
Chippenham Town v Lincoln City,21,enf,17,1-2:0-2:1-3:0-3:1-4:0-1:1-0:1-1:0-4:0-5:1-6:2-0:2-1:2-2
