game,res,league,howmany,scores
Preston v Watford,2,en2,353,1-2:1-1:0-2:1-0:1-3:2-1:0-0
Stoke v Sheff Wed,0,en2,355,1-1:2-1:2-0:1-0:0-1:0-0:1-2
Bristol City v Reading,X,en2,350,1-2:1-1:2-1:0-2:0-1:0-0:1-0:2-0
Middlesbrough v Huddersfield,0,en2,352,2-1:2-0:1-0:1-1:0-0:0-1:3-1
Wycombe v Derby,2,en2,354,1-2:1-1:0-2:0-1:1-3:2-1:0-0:1-0:2-2
Luton v Cardiff,X,en2,351,1-2:1-1:0-1:2-1:0-2:1-0:1-3:0-0:2-0
Coventry v Norwich,21,en2,358,1-2:0-2:1-3:1-1:0-1:0-3:0-0
Millwall v Birmingham,10,en2,359,2-0:1-0:2-1:1-1:0-0:0-1
QPR v Brentford,21,en2,360,1-2:1-1:1-3:2-1:0-1:0-2:2-2:0-0:1-0:1-4
Swansea v Nottm Forest,10,en2,361,2-0:2-1:1-0:1-1:3-0:0-0:3-1:0-1
Barnsley v Blackburn,X,en2,356,1-1:2-1:1-0:0-0:1-2:2-0:2-2:0-1:3-1:0-2
Bournemouth v Rotherham,10,en2,357,2-0:2-1:1-0:3-0:3-1:1-1:1-2:0-1
Leicester v Liverpool,X,en,236,1-2:2-1:1-1:2-2:1-3:0-2:1-0
Crystal Palace v Burnley,X,en,234,1-1:2-1:1-0:2-0:0-1:0-0:1-2:0-2
Man City v Tottenham,10,en,237,3-1:2-1:2-0:3-0:1-1:1-0:3-2
Brighton v Aston Villa,X,en,232,1-1:1-2:2-1:0-1:1-0:0-2:2-2:1-3:0-0
Southampton v Wolves,X,en,238,2-1:1-1:2-0:1-0:1-2:0-1:0-0:2-2
West Brom v Man Utd,21,en,239,0-2:0-3:1-3:1-2:0-1:0-4:1-4:1-1
Arsenal v Leeds,X,en,231,2-1:1-2:1-1:2-2:2-0:3-1:1-0:3-2
Everton v Fulham,10,en,235,2-0:2-1:3-1:1-0:3-0:1-1
West Ham v Sheff Utd,10,en,240,2-0:2-1:1-0:1-1:3-1:3-0
Chelsea v Newcastle,10,en,233,2-0:2-1:3-0:3-1:1-0:1-1
Burnley v Fulham,0,en,162,1-0:1-1:2-1:2-0:1-2:0-0:0-1
Everton v Man City,21,en,155,1-2:1-3:0-2:1-1:2-2:0-3:2-1:0-1
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-0:0-1:0-3:1-3
Chelsea v Sheff Utd,10,enf,118,2-0:2-1:3-0:3-1:1-0:1-1
Everton v Man City,1,enf,119,1-3:1-2:1-0:0-2:1-4:2-1:1-1:2-2
Leicester v Man Utd,1,enf,120,2-1:2-0:1-2:1-3:1-0:2-2:0-1:0-2:2-3:3-2
PSG v Nice,10,fr,248,2-0:3-0:3-1:1-0:2-1:1-1:4-0:4-1
Reims v Lens,X,fr,249,1-1:1-2:0-1:1-0:2-1:0-2:2-0:0-0
Lyon v Montpellier,10,fr,245,2-1:2-0:1-1:3-1:1-0:4-1:3-0
Monaco v Lorient,10,fr,247,2-0:2-1:3-1:0-1:1-0:3-0:4-1
Angers v Nantes,X,fr,241,1-1:2-1:1-0:1-2:2-0:0-1:3-1:0-0
Dijon v Nîmes,X,fr,243,1-1:1-2:0-1:1-0:0-0:2-1:2-2:2-0
Metz v Strasbourg,X,fr,246,2-1:1-2:1-1:1-0:2-0:0-1:0-0:2-2
Rennes v Saint-Étienne,X,fr,250,1-1:2-0:2-1:1-0:0-1:0-0:1-2:2-2
Lille v Brest,10,fr,244,2-0:2-1:1-0:3-0:3-1:1-1
Bordeaux v Marseille,X,fr,242,1-1:1-2:0-1:2-1:2-0:1-0:2-2:0-0
Marseille v Nice,0,fr,105,2-1:2-0:1-1:1-0:1-2:3-0:0-1
Arminia Bielefeld v Wolfsburg,X,de,192,0-2:0-1:1-1:1-2:1-0:2-1:0-3:2-2:2-3
B Mgladbach v Mainz,1,de,191,2-1:2-0:1-1:3-0:0-1:1-2:1-0:3-1
Frankfurt v Bayern Munich,X,de,193,1-2:1-3:1-1:0-2:1-0:2-1:0-3:3-2
Freiburg v Union Berlin,X,de,197,1-1:2-0:2-1:1-0:1-2:0-1:0-2:2-2
Köln v Stuttgart,X,de,190,1-1:2-1:0-1:1-2:0-0:1-0:0-2:2-0:2-2
Schalke v B Dortmund,21,de,195,0-2:1-2:0-1:1-1:1-3:0-3:1-0:1-4
Augsburg v B Leverkusen,2,de,194,1-2:1-1:0-1:1-0:0-2:1-3:0-3:2-1
Hertha Berlin v RB Leipzig,2,de,196,1-2:1-1:0-2:0-3:0-1:1-0:2-1
Hoffenheim v Werder Bremen,X,de,198,1-1:2-1:1-2:1-0:0-0:0-2:2-0:0-1:2-2
