game,res,league,howmany,scores
Barnsley v Stoke,X,en2,277,1-2:1-1:0-1:0-2:1-0:1-3:2-0:2-1:0-0
Cardiff v Coventry,X,en2,278,1-1:1-0:1-2:2-0:2-1:2-2:0-1:0-2
Fulham v Birmingham,10,en2,280,2-0:2-1:3-0:1-0:1-1:1-2
Huddersfield v Blackpool,0,en2,281,2-1:1-0:1-1:2-0:1-2:0-0:0-2
Hull v Blackburn,X,en2,282,1-2:1-1:1-3:0-2:2-1:1-0:0-0:0-1:2-0
Luton v Bristol City,0,en2,283,2-1:1-0:1-1:2-0:0-1:1-2:3-1:2-2
Middlesbrough v Nottm Forest,X,en2,284,1-1:2-1:1-0:1-2:2-0:0-2:1-3:2-2:3-1
Millwall v Swansea,X,en2,285,2-1:1-1:1-0:1-2:2-0:0-2:0-1:2-2
Peterborough v Reading,X,en2,286,1-1:1-2:2-1:1-0:0-0:0-1:2-2:0-2
Preston v Sheff Utd,X,en2,287,1-2:2-1:1-1:0-1:1-0:2-0:2-2:0-2:1-3
Derby v West Brom,2,en2,279,1-1:1-2:0-2:1-3:0-1:2-1:2-2:1-0
QPR v Bournemouth,X,en2,288,1-2:2-1:1-1:0-1:1-0:2-2:0-2:2-0
Liverpool v Leeds,10,en,184,3-0:3-1:2-0:4-0:2-1:4-1:5-0
Wolves v Watford,0,en,190,2-1:1-0:1-1:2-0:1-2
Burnley v Everton,X,en,183,1-1:1-2:1-0:0-1:2-1:0-0:2-2:0-2
Man City v Leicester,10,en,185,3-1:2-1:2-0:3-0:3-2
Norwich v Arsenal,21,en,187,0-2:1-2:0-3:1-3:0-1:1-1
Tottenham v Crystal Palace,0,en,188,2-1:2-0:1-1:1-0:2-2:3-1:1-2
West Ham v Southampton,10,en,189,2-1:2-0:1-0:1-1:3-1:2-2:3-0
Aston Villa v Chelsea,2,en,181,1-2:1-1:0-2:1-3:2-1:0-1:2-2:1-0
Brighton v Brentford,0,en,182,1-1:2-1:1-0:1-2:2-0:0-0:0-1:2-2
Newcastle v Man Utd,21,en,186,1-2:0-2:1-3:0-3:1-1:0-1:2-1
Swindon v Man City,21,enf,175,0-3:0-4:0-5:0-2:1-3:0-6:1-4
Bristol City v Fulham,21,enf,153,1-2:1-1:0-2:1-3:2-3:2-1:0-1:0-3
Burnley v Huddersfield,10,enf,154,2-0:2-1:1-0:3-1:2-2
Coventry v Derby,0,enf,158,2-1:2-0:1-1:1-0:3-1:1-2:2-2
Hartlepool v Blackpool,21,enf,159,1-2:0-2:1-1:2-1:0-1:1-0:1-3:2-0
Mansfield v Middlesbrough,21,enf,166,0-2:1-2:1-1:1-3:0-3:0-1:2-0
Millwall v Crystal Palace,21,enf,167,1-2:1-3:0-2:2-1:0-0:0-1:1-1:2-3:2-2
Barnsley v Barrow,X,enf,150,1-0:1-2:1-1:2-0:2-1:3-0:0-0
Boreham Wood v Wimbledon,21,enf,152,1-2:0-2:0-1:1-1:1-3:2-1
Kidderminster v Reading,21,enf,161,1-2:0-2:0-3:1-3:0-1:1-1:2-2
Leicester v Watford,10,enf,162,2-1:3-1:2-0:1-1:1-2:2-2:3-2
Newcastle v Cambridge,10,enf,168,2-0:3-0:2-1:3-1:4-0:1-0
Peterborough v Bristol Rovers,10,enf,170,2-1:2-0:1-0:1-1:0-1:3-0:0-2:1-2:2-2
Port Vale v Brentford,21,enf,171,1-2:0-2:1-3:0-3:1-4:1-1
QPR v Rotherham,10,enf,172,2-0:2-1:3-1:3-0:1-0:1-2:4-1
West Brom v Brighton,X,enf,177,1-2:1-1:2-1:1-3:0-1:2-0:2-2:0-0:1-0:3-2
Wigan v Blackburn,X,enf,179,1-2:1-1:2-1:0-1:1-3:2-2:1-0:2-0
Birmingham v Plymouth,10,enf,151,2-1:2-0:3-1:1-1:1-0:1-2
Chelsea v Chesterfield,10,enf,157,4-0:5-0:3-0:3-1:4-1:5-1:6-0:6-1
Hull v Everton,21,enf,160,0-2:1-2:1-3:0-3:1-1:2-1
Swansea v Southampton,1,enf,174,1-2:1-3:2-1:1-1:0-2:1-0:2-2
Yeovil v Bournemouth,21,enf,181,0-2:1-2:1-3:0-3:0-4:1-4:0-1
Luton v Harrogate,10,enf,164,2-0:2-1:3-1:3-0:1-0:0-2:1-2:4-0
Cardiff v Preston,0,enf,155,2-1:1-1:2-0:1-0:0-1:1-2:0-3:3-1
Charlton v Norwich,21,enf,156,1-2:0-2:0-1:2-1:1-1:1-3:2-0:2-2
Liverpool v Shrewsbury,10,enf,163,3-0:4-0:5-0:2-0:6-1:3-1:5-1
Stoke v Leyton Orient,10,enf,173,2-0:2-1:3-0:3-1:1-0:1-1
Tottenham v Morecambe,10,enf,176,3-0:5-0:4-0:6-0:2-0:3-1:4-1:5-1
Wolves v Sheff Utd,10,enf,180,2-1:2-0:1-0:3-0:3-1:1-1:2-2
