game,res,league,howmany,scores
FK Krasnodar v Sevilla                       ,21,euc,   110,1-2:0-2:0-1:1-3:2-1:1-1:0-3:2-2
Rennes v Chelsea                             ,21,euc,   109,0-2:1-2:1-3:0-3:1-1:0-1
B Dortmund v Club Bruges                     ,10,euc,   110,2-0:3-0:3-1:2-1:4-0:4-1
Dynamo Kyiv v Barcelona                      ,21,euc,   110,1-2:1-3:0-2:0-3:1-1:2-2
Juventus v Ferencvárosi TC                   ,10,euc,   110,3-0:2-0:4-0:4-1:3-1:2-1
Lazio v Zenit St Petersburg                  ,0 ,euc,   110,2-1:2-0:1-1:1-0:3-1:1-2:2-2
Man Utd v Istanbul Basaksehir                ,10,euc,   111,2-0:2-1:3-0:3-1:1-0:4-0:4-1
PSG v RB Leipzig                             ,10,euc,   110,2-1:3-1:1-2:2-0:1-1:3-2:3-0:2-2
B Mgladbach v Shakhtar Donetsk               ,0 ,euc,   109,2-1:2-0:3-1:1-1:2-2:1-2:3-2
Olympiakos v Man City                        ,21,euc,   110,0-2:1-2:1-3:0-3:2-2:0-4:1-1
Ajax v FC Midtjylland                        ,10,euc,   108,2-0:3-0:2-1:3-1:4-0
Atl Madrid v Lokomotiv Moscow                ,10,euc,   108,2-0:2-1:3-0:1-0:3-1:1-1
Bayern Munich v RB Salzburg                  ,10,euc,   108,4-1:3-0:3-1:4-0:2-0:2-1:5-1
Inter Milan v Real Madrid                    ,X ,euc,   108,2-1:2-2:1-1:1-2:1-0
Liverpool v Atalanta                         ,10,euc,   108,3-1:2-1:2-0:3-0:4-2:4-0
Marseille v FC Porto                         ,X ,euc,   107,1-1:1-2:2-1:2-2:0-1:0-2
AEK Athens v Zorya Luhansk                   ,10,eue,    50,2-0:2-1:1-0:3-0:1-1:3-1:4-1
CSKA Moscow v Feyenoord                      ,X ,eue,    50,2-1:2-0:2-2:0-1:1-0:1-1:1-2
CSKA Sofia v Young Boys                      ,X ,eue,    50,1-1:1-2:0-2:2-0:1-0:2-1:0-1:2-2:1-3
FK Qarabag v Sivasspor                       ,X ,eue,    50,1-1:2-0:0-2:1-0:2-1:1-2:0-1:1-3:3-1
KAA Gent v Red Star Belgrade                 ,X ,eue,    50,2-1:1-1:1-2:2-0:2-2:3-1:1-3
LASK v Royal Antwerp                         ,X ,eue,    50,2-0:1-1:2-1:1-0:0-1:3-1:1-2:0-2:1-3:2-2
Lille v AC Milan                             ,X ,eue,    50,2-2:1-1:1-2:1-3:0-2:2-0:2-1:1-0:3-1:0-3
Maccabi Tel-Aviv v Villarreal                ,21,eue,    50,1-2:1-3:0-2:0-1:0-3:2-1:1-1:0-0:0-4:0-5:2-0:2-2
Molde v Arsenal                              ,21,eue,    50,1-3:0-2:0-3:1-2:1-1:1-4:0-1
RZ Pellets WAC v Dinamo Zagreb               ,2 ,eue,    50,1-2:0-2:1-1:0-1:2-0:1-3:0-3:1-0:2-2
Slovan Liberec v Hoffenheim                  ,2 ,eue,    50,0-2:1-1:1-2:0-3:0-1:1-3:1-0:2-2
Sparta Prague v Celtic                       ,X ,eue,    50,2-1:1-1:1-2:2-0:3-1:2-2:0-1:0-2
Sporting Braga v Leicester                   ,21,eue,    49,1-2:1-3:1-1:0-3:2-0:2-2:0-2:2-4:3-1
AZ Alkmaar v Real Sociedad                   ,X ,eue,    49,1-2:1-1:0-2:2-1:2-0:2-2:1-3:1-0:2-3
B Leverkusen v Hapoel Be'er Sheva            ,10,eue,    49,2-0:3-0:4-1:4-0:2-1:3-1:1-0:1-1:5-0:5-1
CFR Cluj v Roma                              ,21,eue,    49,1-2:0-2:1-3:1-1:0-1:1-4
Dundalk v Rapid Vienna                       ,X ,eue,    49,1-2:1-1:0-3:0-1:0-2:2-0:2-1:2-2:1-3:3-2
Granada v Omonia Nicosia                     ,10,eue,    49,2-0:2-1:3-0:3-1:1-1:1-2:4-0
Napoli v HNK Rijeka                          ,10,eue,    49,2-0:3-1:3-0:4-1:1-1:2-1:4-0
Nice v Slavia Prague                         ,0 ,eue,    49,2-1:1-1:2-0:1-0:3-1:0-1:0-2:2-2
PSV Eindhoven v PAOK Salonika                ,0 ,eue,    49,2-0:1-1:3-1:2-1:1-0:1-2
Rangers v Benfica                            ,X ,eue,    49,2-1:1-2:1-1:2-2:2-0:1-3:3-0:3-1
Standard Liege v Lech Poznan                 ,0 ,eue,    49,2-0:1-0:2-1:1-1:3-1:2-2:1-2
Tottenham v Ludogorets                       ,10,eue,    49,3-0:2-0:4-0:3-1:4-1:5-0:5-1:1-1
Newcastle v Chelsea                          ,21,en ,  4203,1-2:1-3:0-2:0-3:1-1:0-1
Aston Villa v Brighton                       ,10,en ,  4348,2-1:2-0:1-1:3-1:1-0:3-0:2-2
Tottenham v Man City                         ,X ,en ,  4381,1-2:2-2:1-1:2-1:1-3:2-3
Man Utd v West Brom                          ,10,en ,  4407,2-0:3-0:3-1:2-1:4-0:1-0:4-1:1-1
Fulham v Everton                             ,21,en ,  4386,1-2:0-2:1-3:1-1:0-1:0-3
Sheff Utd v West Ham                         ,X ,en ,  4409,1-1:1-2:0-1:2-1:1-0:0-2:1-3:0-0:2-0:2-2
Leeds v Arsenal                              ,X ,en ,  4400,1-2:2-1:2-2:1-1:1-3:2-3:0-2:1-0:0-1
Liverpool v Leicester                        ,X ,en ,  4395,2-1:2-2:1-2:1-1:3-1:3-2:2-0:1-0
Burnley v Crystal Palace                     ,X ,en ,  4299,1-1:1-2:0-1:1-0:0-2:0-0:2-1:2-0:1-3
Wolves v Southampton                         ,X ,en ,  4306,1-1:2-1:1-2:2-2:2-0:1-0:0-1
Luton v Birmingham                           ,X ,en2,    65,2-1:1-2:1-1:2-0:0-1:1-0:0-2
QPR v Rotherham                              ,10,en2,    65,2-1:2-0:1-0:1-1:3-0:1-2:0-1
Stoke v Norwich                              ,X ,en2,    64,1-1:1-2:2-1:0-1:0-2
Wycombe v Huddersfield                       ,X ,en2,    65,1-1:2-1:0-2:0-0:0-1:1-2:1-0
Barnsley v Brentford                         ,X ,en2,    64,1-2:1-1:0-1:2-1:1-3:2-0:2-2:1-0
Preston v Blackburn                          ,X ,en2,    64,1-1:2-1:1-2:2-0:0-1:1-0:0-0
Bournemouth v Nottm Forest                   ,10,en2,    64,2-1:2-0:3-0:1-0:1-1:3-1:0-1:1-2
Middlesbrough v Derby                        ,10,en2,    64,2-0:2-1:1-0:1-1:1-2:3-0:3-1
Millwall v Reading                           ,X ,en2,    63,1-1:1-2:2-1:0-1:1-0:0-0:2-0
Bristol City v Watford                       ,X ,en2,    63,1-1:1-2:2-1:2-2:0-1:0-2:1-3:2-0
Coventry v Cardiff                           ,2 ,en2,    63,1-2:1-1:0-2:0-1:2-1:0-0:1-0
Swansea v Sheff Wed                          ,10,en2,    63,2-0:2-1:1-0:1-1:0-0:1-2:3-0
Harrogate v Skelmersdale United              ,10,enf,   132,2-0:3-0:2-1:3-1:1-0:4-0:1-1:4-1
Tonbridge Angels v Bradford                  ,21,enf,   138,1-2:0-2:0-3:1-3:0-1:1-1:1-4:0-4:2-1
