game,res,league,howmany,scores
Middlesbrough v Watford,2,en2,474,1-2:1-1:1-0:0-2:0-1:2-1:2-2
Blackburn v Bournemouth,X,en2,470,1-2:1-1:0-1:2-1:1-0:0-2:2-2:1-3
Coventry v Bristol City,X,en2,472,1-1:2-1:1-0:1-2:0-1:2-0:0-0:0-2
Luton v Barnsley,X,en2,473,1-2:1-1:0-2:2-1:1-0:1-3:2-0:0-0:0-1
Nottm Forest v QPR,X,en2,476,2-1:1-1:1-0:1-2:0-2:2-0:0-1:1-3:2-2:3-1
Reading v Derby,10,en2,477,2-0:2-1:1-0:1-1:0-1:3-0:3-1:0-0:1-2
Rotherham v Wycombe,10,en2,478,2-1:1-0:1-1:2-0:0-1:1-2:3-2
Stoke v Millwall,0,en2,480,2-1:2-0:1-1:1-0:1-2:0-0:0-1:2-2
Swansea v Preston,10,en2,481,2-0:2-1:1-1:3-1:1-0:3-0:1-2:0-2
Sheff Wed v Cardiff,X,en2,479,1-2:0-1:1-1:0-2:1-0:2-1:2-0:2-2
Brentford v Birmingham,10,en2,471,2-0:2-1:1-0:3-0:0-0:1-1:3-1:0-1
Norwich v Huddersfield,10,en2,475,2-0:3-0:2-1:1-0:0-0:1-2:3-1
Chelsea v West Brom,10,en,293,2-0:3-0:3-1:2-1:4-0:1-0
Leeds v Sheff Utd,10,en,295,2-0:2-1:1-0:3-1:3-0:1-1
Leicester v Man City,2,en,296,1-2:1-3:1-1:2-2:2-1:0-2:0-1:2-3
Arsenal v Liverpool,X,en,291,1-2:1-1:2-1:2-2:1-3:0-2:0-1:1-0
Southampton v Burnley,0,en,299,1-1:2-1:1-0:2-0:1-2:0-1:0-0
Newcastle v Tottenham,21,en,298,0-2:1-2:1-3:0-3:1-1:0-1
Aston Villa v Fulham,0,en,292,2-1:1-1:2-0:1-0:1-2:0-1
Man Utd v Brighton,10,en,297,2-0:2-1:3-1:3-0:1-0:1-1
Everton v Crystal Palace,10,en,294,2-1:2-0:1-0:1-1:3-1
Wolves v West Ham,X,en,300,1-1:1-2:2-1:2-2:0-1:0-2:1-0:1-3:2-0
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,X,enf,121,1-2:2-1:1-1:1-0:0-1:0-2:2-2:1-3:2-0:0-0:3-2
Leicester v Southampton,10,enf,122,2-0:3-1:2-1:1-0:3-0:0-1:1-1:3-2
TBC v TBC,X,enf,123,1-0:1-1:0-1:1-2:0-2:2-0:3-1
Monaco v Metz,10,fr,306,2-0:2-1:1-0:3-1:3-0:0-0
PSG v Lille,10,fr,309,2-1:2-0:3-1:1-1:3-0:1-2:0-0
Lens v Lyon,21,fr,303,1-2:0-2:1-3:0-1:1-0:1-1:2-1
Angers v Montpellier,X,fr,301,1-1:0-1:0-2:1-2:2-1:1-0:1-3:2-0
Bordeaux v Strasbourg,0,fr,302,1-0:2-1:2-0:1-1:0-2:0-0:1-2:2-2
Lorient v Brest,X,fr,304,1-1:2-1:2-0:1-2:1-0:0-1:0-0:0-2:2-2
Nantes v Nice,X,fr,307,1-1:1-2:2-1:1-0:0-2:2-0:0-1:2-2
Reims v Rennes,X,fr,310,1-1:0-1:1-2:2-1:0-2:2-0:1-0:2-2
Nîmes v Saint-Étienne,X,fr,308,1-1:1-2:1-0:0-1:0-2:2-0:2-1:0-0:1-3
Marseille v Dijon,10,fr,305,2-0:3-0:2-1:3-1:4-0:1-0:4-1
Augsburg v Hoffenheim,X,de,240,1-1:1-2:2-1:2-0:1-0:0-1:2-2
B Dortmund v Frankfurt,0,de,238,2-1:2-0:3-1:1-1:2-2:3-2:1-2:1-3:3-0
B Leverkusen v Schalke,10,de,237,2-0:3-0:3-1:2-1:1-0:1-1:4-1
Mainz v Arminia Bielefeld,X,de,236,1-1:2-1:1-0:1-2:2-0:0-1:0-0:3-1
Wolfsburg v Köln,10,de,243,2-1:2-0:3-1:1-1:3-0:1-0:2-2
RB Leipzig v Bayern Munich,X,de,241,1-2:1-1:2-1:2-2:1-3:1-0:2-3:3-2:0-2
B Mgladbach v Freiburg,10,de,239,2-1:2-0:1-1:1-0:3-1:1-2:2-2:3-0
Stuttgart v Werder Bremen,X,de,242,1-1:2-1:1-0:2-0:1-2:0-1:3-1
Union Berlin v Hertha Berlin,X,de,235,2-1:1-1:1-2:2-0:1-0:0-0:0-1
Atromitos Athens v Apollon Smyrnis,10,gr,190,2-0:2-1:1-0:1-1:1-2:3-1
OFI v PAS Giannina,X,gr,191,1-0:1-1:1-2:2-1:0-1:2-0:0-0:0-2
Lamia v Volos NFC,X,gr,192,1-1:1-0:2-1:0-0:0-1:1-2:2-0:2-2:0-2
Larissa v Panetolikos,0,gr,193,1-0:2-0:1-1:2-1:1-2
Panathinaikos v PAOK Salonika,X,gr,194,1-1:1-2:2-1:1-0:0-1:2-2
Aris v Asteras Tripolis,10,gr,195,2-0:2-1:1-0:1-1:3-1
AEK Athens v Olympiakos,2,gr,196,1-2:1-1:1-3:0-2:0-1:1-0:2-1:0-0
AC Milan v Sampdoria,10,it,287,2-0:2-1:1-0:3-1:3-0
Atalanta v Udinese,10,it,281,2-0:2-1:3-1:3-0:1-0:1-1
Benevento v Parma,X,it,282,1-1:1-2:2-1:1-0:2-0:0-1
Cagliari v Hellas Verona,X,it,284,1-1:2-1:1-2:1-0:2-0:0-1:0-2
Genoa v Fiorentina,X,it,285,1-1:2-1:2-2:1-2:0-1:1-0:2-0:0-0
Lazio v Spezia,10,it,286,2-0:3-1:2-1:3-0:1-1:1-0
Napoli v Crotone,10,it,288,2-0:3-0:3-1:2-1:4-0:1-1:4-1
Sassuolo v Roma,2,it,289,1-2:1-1:0-2:0-1:2-1:1-3:2-3
Torino v Juventus,21,it,290,1-2:0-2:1-3:1-1:0-1:0-3:2-2:1-0:2-1
Bologna v Inter Milan,21,it,283,1-2:0-2:1-3:1-1:0-1:0-3:2-2:0-0
Inter Milan v Sassuolo,10,it,273,2-0:3-0:3-1:2-1:1-0:2-2:3-2
Juventus v Napoli,10,it,30,2-1:2-0:1-1:2-2:3-0:1-0:3-2:3-1:1-2
Celtic v Livingston,10,sc,199,2-0:2-1:3-0:1-0:3-1:4-0
Hamilton v Dundee Utd,X,sc,200,1-1:1-2:2-1:0-1:0-2:1-0:2-0:0-0
Kilmarnock v Ross County,0,sc,201,1-1:2-1:2-0:1-0:1-2:3-1
Motherwell v St Mirren,X,sc,202,2-1:1-1:1-2:2-0:1-0:0-1:0-2:2-2
St Johnstone v Aberdeen,X,sc,203,1-1:1-2:2-1:1-0:0-1:0-2:2-0:1-3
Rangers v Hibernian,10,sc,204,2-1:2-0:3-1:3-0:1-0:1-1:4-0
Levante v Huesca,0,es,286,2-0:2-1:1-0:1-1:3-1:1-2
Granada v Villarreal,X,es,285,1-1:1-2:2-1:2-2:0-2:1-0:0-0
Real Madrid v Eibar,10,es,288,2-0:3-0:3-1:4-0:2-1
Osasuna v Getafe,X,es,287,1-1:1-2:2-1:1-0:2-0:0-1:0-0
Alavés v Celta Vigo,X,es,281,1-2:1-1:1-0:0-1:2-1:0-2:2-0
Elche v Real Betis,2,es,284,1-2:0-2:1-1:0-1:1-3:0-3
