game,res,league,howmany,scores
QPR v Nottm Forest,0,en2,176,2-1:1-1:1-0:2-0:1-2:0-1
Fulham v West Brom,X,en2,171,2-1:1-1:1-2:2-0:2-2:0-1:3-2:0-2
Bristol City v Barnsley,0,en2,169,2-0:2-1:1-0:1-1:1-2:0-0:3-1:0-1:2-2
Derby v Blackburn,X,en2,170,1-2:1-1:2-1:0-1:0-2:1-0:2-0
Huddersfield v Millwall,0,en2,172,1-1:2-1:1-0:1-2:2-0:0-1:0-2:2-2
Hull v Coventry,X,en2,173,1-2:0-2:1-1:0-1:2-1:0-0:1-0:2-0:2-2
Middlesbrough v Birmingham,10,en2,174,2-1:2-0:1-0:1-1:1-2:3-1
Preston v Luton,X,en2,175,1-1:2-1:1-0:1-2:2-0:0-1:2-2
Sheff Utd v Blackpool,10,en2,178,2-1:1-0:2-0:3-1:1-1:1-2:2-2:3-2:0-1
Stoke v Cardiff,10,en2,179,2-0:2-1:1-1:1-0:0-1:1-2:2-2:3-1
Swansea v Peterborough,10,en2,180,2-1:2-0:1-0:1-1:1-2:3-0:3-1:0-1:2-2
Reading v Bournemouth,21,en2,177,1-2:0-1:1-1:1-3:0-2:0-3:2-1:2-2
Leicester v Arsenal,0,en,93,2-1:1-1:1-2:2-0:2-2:1-0
Burnley v Brentford,X,en,92,1-1:1-2:1-0:0-1:2-1:0-2:2-2:0-0:2-0
Liverpool v Brighton,10,en,94,3-0:2-0:3-1:4-0:2-1:4-1:1-0
Man City v Crystal Palace,10,en,95,3-0:3-1:2-0:4-0:2-1:4-1
Newcastle v Chelsea,21,en,96,0-2:1-3:1-2:0-3:1-1:0-1
Watford v Southampton,0,en,99,1-1:2-1:1-0:1-2:2-0:2-2:0-1
Tottenham v Man Utd,X,en,98,1-1:1-2:2-1:2-2:1-3:1-0
Norwich v Leeds,2,en,97,1-2:0-2:0-1:1-1:1-0:2-1:0-0:0-3:1-3
Aston Villa v West Ham,X,en,91,1-2:1-1:2-1:2-2:1-3:0-2:0-1:1-0
Wolves v Everton,X,en,100,1-1:2-1:1-2:1-0:2-2:0-1:2-0
AFC Sudbury v Colchester,21,enf,1,0-2:0-3:1-2:1-3:2-0:0-1:0-4:1-1:2-1
Bolton v Stockport,10,enf,4,2-0:3-1:3-0:4-1:2-1:0-1:0-2:1-0:1-1:1-2:4-0
Boreham Wood v Eastleigh,X,enf,5,2-1:1-1:0-1:1-0:1-3:0-0:1-2:2-0:3-1
Bradford v Exeter,X,enf,6,1-2:2-1:1-0:1-1:2-0:3-1:1-3:2-2:2-6:3-0
Carlisle v Horsham,1,enf,7,2-1:2-0:3-0:3-1:4-0:1-2:4-1:0-1:0-2:1-0:1-3
Charlton v Havant & Waterlooville,10,enf,8,2-1:3-0:1-0:2-0:3-1:0-0:1-1:1-2:1-7:3-2:4-0:4-1:5-1:5-2
Chesterfield v Southend,X,enf,9,2-1:1-1:1-2:3-0:0-1:1-0:4-1:2-0:2-2:2-3:3-1:3-2
Crawley v Tranmere,1,enf,10,2-1:1-2:0-2:1-1:2-0:0-1:1-0:1-3:2-3
Crewe v Swindon,1,enf,11,2-1:0-1:1-2:0-2:1-0:1-1:2-0:2-2:0-5:2-3
Fleetwood v Burton,X,enf,13,1-1:2-1:2-0:1-0:2-2:3-1:0-1:1-2:1-3:2-3:2-4:4-1
Gateshead v Altrincham,X,enf,37,1-2:0-1:1-1:2-1:0-0:1-3:3-0:3-1:1-0:2-0
Gillingham v Cheltenham,1,enf,14,2-1:2-0:1-0:1-1:0-2:1-2:1-3:2-2:3-0:3-1
Halifax v Maidenhead United,1,enf,34,2-1:2-0:1-0:0-2:1-2:3-1:0-0:0-3:1-1:2-3:3-2
Harrogate v Wrexham,X,enf,15,2-1:1-0:2-0:0-0:1-1:0-1:0-2:0-3:1-2:1-3:3-1
Hartlepool v Wycombe,1,enf,16,2-1:1-2:1-3:0-2:0-1:0-3:1-0:1-1:1-4:2-2:3-1
Hayes & Yeading v Sutton United,X,enf,36,1-2:0-0:1-1:2-1:1-3:2-2:0-1:0-2:1-0:2-0:2-4:3-4:4-2
Ipswich v Oldham,10,enf,17,2-0:3-0:2-1:3-1:4-0:0-0:1-0:1-3:3-2:4-1:4-2:5-0:5-2
Kidderminster v Grimsby,1,enf,18,2-1:1-0:0-1:0-2:1-1:1-2:1-3:2-2:3-0:5-2
King's Lynn v Walsall,21,enf,19,0-2:0-3:1-2:1-3:2-1:0-1:0-0:1-0:1-4:2-3:4-5
Leyton Orient v Ebbsfleet,10,enf,20,2-0:2-1:3-0:1-0:3-1:4-0:4-1:1-1:2-2:2-3:5-0
Lincoln City v Bowers & Pitsea,10,enf,21,3-0:2-0:3-1:1-0:1-3:2-1:5-0:5-1:1-2:4-0:4-2:5-2:6-0:7-0
MK Dons v Stevenage,10,enf,22,2-0:2-1:1-1:1-2:4-0:3-0:3-1:3-2:4-1:5-2
Morecambe v Newport,X,enf,23,1-1:2-1:1-2:2-0:0-0:0-1:0-2:1-0:2-2:5-0
Northampton v Cambridge,X,enf,24,1-2:2-1:1-1:0-2:3-1:3-2:0-0:1-0:2-2:2-3
Oxford Utd v Bristol Rovers,10,enf,25,2-0:2-1:1-1:3-0:0-1:3-1:3-2:1-2:1-3
Port Vale v Accrington,1,enf,26,1-2:2-1:1-0:2-0:1-1:0-1:2-3:3-2:5-0
Portsmouth v Harrow Borough,10,enf,27,3-0:3-1:4-0:2-0:2-1:4-1:0-2
