game,res,league,howmany,scores
Bournemouth v Millwall,10,en2,244,2-0:2-1:3-0:3-1:1-1:1-0:0-0
Middlesbrough v Birmingham,10,en2,285,2-0:2-1:1-0:1-1:1-2:3-0:3-1:0-0:0-1
Blackburn v Stoke,0,en2,279,1-1:2-1:1-0:2-0:1-2:0-0
Bournemouth v Luton,10,en2,280,2-0:2-1:3-0:3-1:1-0:1-1
Bristol City v Preston,X,en2,281,2-1:2-0:1-2:1-0:1-1:0-0:2-2:0-1:0-2
Cardiff v Norwich,21,en2,282,1-2:1-1:0-2:0-1:1-3:2-1:1-0:2-2
Coventry v Sheff Wed,X,en2,283,1-1:2-1:1-2:1-0:0-0:0-1:2-0:0-2
Derby v Rotherham,0,en2,284,2-0:2-1:1-1:1-0:0-1:0-2:3-1
Nottm Forest v Millwall,0,en2,286,1-1:2-0:1-0:2-1:1-2:0-0:0-1
QPR v Wycombe,10,en2,287,2-0:2-1:1-0:1-1:0-1:1-2:3-1
Watford v Huddersfield,10,en2,289,2-0:2-1:3-1:1-0:1-1:3-0
Barnsley v Swansea,2,en2,278,1-2:1-1:0-2:1-3:2-1:2-2:0-1:1-0
Sheff Utd v Newcastle,X,en,176,1-1:1-2:1-0:0-1:2-1:0-2:0-0:2-0
Burnley v Man Utd,21,en,1,0-2:1-2:1-3:0-3:1-1:0-1
Wolves v Everton,X,en,178,1-1:2-1:1-2:2-2:1-0:2-0:0-1
Man City v Brighton,10,en,180,3-0:4-0:2-0:3-1:4-1:5-0:2-1
Tottenham v Fulham,10,en,159,2-0:3-0:2-1:3-1:1-0:4-0:1-1
Arsenal v Crystal Palace,10,en,171,2-1:2-0:3-1:1-1:1-0:3-0:2-2
Wolves v West Brom,10,en,190,2-0:2-1:1-0:1-1:3-0:3-1
Leeds v Brighton,10,en,184,2-1:2-0:3-1:1-1:1-0:2-2:3-2:3-0
West Ham v Burnley,0,en,189,2-1:2-0:1-1:1-0
Fulham v Chelsea,21,en,183,0-2:1-2:1-3:0-3:1-1:0-1
Leicester v Southampton,0,en,185,2-1:1-1:2-2:2-0:1-2:3-1:1-0
Aston Villa v Everton,X,en,182,1-1:2-1:1-2:2-2:0-1:1-0
Barnsley v Norwich,21,enf,93,1-2:0-1:0-2:1-0:1-3
Bournemouth v Crawley,10,enf,94,2-0:3-0:3-1:1-0:2-1:1-1:1-2:4-0
Brentford v Leicester,21,enf,95,1-2:1-3:0-2:1-1:2-1:2-2:2-5
Brighton v Blackpool,10,enf,96,2-0:2-1:1-0:3-0:0-1:1-1:1-2
Chelsea v Luton,10,enf,97,3-0:2-0:3-1:4-1:4-0:1-0:1-2:2-1
Cheltenham v Man City,21,enf,98,0-4:0-3:0-5:0-2:1-3:1-4:1-5
Chorley v Wolves,21,enf,99,0-2:1-3:1-2:0-4:0-3:2-1:0-1:1-4
Everton v Sheff Wed,10,enf,100,2-0:2-1:3-0:3-1:1-0:1-1
Fulham v Burnley,X,enf,101,1-1:2-1:1-0:1-2:0-1:2-0
Man Utd v Liverpool,1,enf,102,1-2:2-1:1-1:0-2:2-0:1-3:2-2:2-3:3-1
Millwall v Bristol City,1,enf,103,1-2:2-1:1-0:1-1:0-1:2-0:0-2:1-3
Sheff Utd v Plymouth,10,enf,104,2-0:2-1:1-0:3-1:1-1:3-2
Swansea v Nottm Forest,10,enf,105,2-1:1-0:2-0:1-1:3-1:0-1:1-2
TBC v Arsenal,21,enf,107,0-2:2-1:1-2:1-3:0-1:0-3:1-1:1-4:1-5
West Ham v Doncaster,10,enf,106,2-0:1-0:3-0:2-1:1-2:1-1:3-1:0-2:2-2:4-1
Wycombe v Tottenham,21,enf,108,0-3:1-3:0-2:0-4:1-4:1-2:0-1
Montpellier v Monaco,X,fr,197,1-2:1-1:0-2:2-1:1-0:0-1:2-2
Marseille v Nîmes,10,fr,196,2-0:2-1:3-0:3-1:0-1:1-0:1-1
Angers v PSG,21,fr,191,1-2:0-2:1-3:0-3:0-4:1-1:1-0:2-2
Brest v Rennes,X,fr,192,1-1:1-2:0-1:2-1:0-2:1-0:0-0
Lorient v Dijon,X,fr,194,2-1:1-1:1-0:0-1:2-2:0-0:0-2:1-2:2-0
Nantes v Lens,X,fr,198,1-1:2-1:0-1:1-0:1-2:2-0:0-0:2-2
Nice v Bordeaux,X,fr,199,1-1:1-0:1-2:2-1:2-0:0-1:0-0:3-1
Strasbourg v Saint-Étienne,X,fr,200,1-1:1-2:2-1:1-0:0-1:2-0:0-0:2-2
Lille v Reims,10,fr,193,2-0:1-0:1-1:3-1:2-1:1-2:3-0:0-1
Lyon v Metz,10,fr,195,2-0:3-1:1-0:2-1:1-1:3-0:0-1
Marseille v Lens,10,fr,84,2-1:2-0:1-0:1-1:3-0:0-1:3-1:1-2
Union Berlin v B Leverkusen,X,de,137,1-2:2-1:2-2:1-0:1-1:1-3:2-0:0-1:2-3:0-2
B Dortmund v Mainz,10,de,138,2-0:3-0:3-1:4-0:2-1:4-1:1-0:0-1
Hoffenheim v Arminia Bielefeld,0,de,142,2-1:1-0:1-1:2-0:1-2:0-1:0-2:2-2:3-1
Köln v Hertha Berlin,X,de,136,1-2:0-1:1-1:1-0:1-3:2-1:0-0:0-2:2-0:2-2
Werder Bremen v Augsburg,X,de,141,1-1:2-1:2-0:1-0:1-2:0-1:2-2:3-1
Wolfsburg v RB Leipzig,X,de,144,1-2:1-1:1-3:0-1:2-2:0-2:1-0:2-1:2-0
Stuttgart v B Mgladbach,X,de,143,1-2:1-1:1-0:2-1:2-2:0-2:2-3:0-1
Bayern Munich v Freiburg,10,de,140,2-0:3-1:3-0:2-1:4-0:0-1:4-1
Frankfurt v Schalke,10,de,139,2-1:1-1:1-0:2-0:3-1:1-2:3-0:0-2:2-2:4-0
PAOK Salonika v Olympiakos,X,gr,112,1-1:1-2:2-1:1-3:0-1:1-0:0-2
Atromitos Athens v Lamia,0,gr,87,2-0:1-0:1-1:2-1:0-0:0-1:3-0
Aris v AEK Athens,X,gr,54,1-1:1-2:2-1:2-2:0-1:0-0:0-2:1-0:1-3:2-0
Asteras Tripolis v Panetolikos,0,gr,113,2-0:1-0:1-1:2-1:0-0:1-2:3-0
Larissa v Apollon Smyrnis,X,gr,114,1-1:2-1:1-0:0-0:0-1:2-0:1-2:0-2
Olympiakos v PAS Giannina,10,gr,115,3-0:2-0:3-1:4-0:4-1:2-1:1-0:1-1:5-0
OFI v PAOK Salonika,2,gr,116,1-1:0-2:1-2:0-1:1-0:2-1:0-3:1-3:2-2
Volos NFC v Lamia,0,gr,117,1-0:2-0:1-1:2-1:0-0:0-1:1-2:3-0
Aris v Panathinaikos,0,gr,118,1-1:2-1:1-0:2-0:0-0:2-2:0-1:1-2:1-3
AEK Athens v Atromitos Athens,10,gr,119,2-1:2-0:1-0:1-1:3-0:3-1:0-0
Lazio v Roma,X,it,176,1-1:1-2:2-1:2-2:1-0:0-1:1-3:0-0:2-3
Bologna v Hellas Verona,X,it,172,1-1:0-1:1-2:2-1:1-0:2-0:0-0:0-2
Torino v Spezia,X,it,180,1-1:1-0:2-1:2-0:1-2:0-1:3-0:3-1:0-0:0-2
Sampdoria v Udinese,0,it,178,2-1:1-1:1-0:2-0:1-2:0-1:0-0:3-0
Napoli v Fiorentina,10,it,177,2-1:2-0:1-1:3-1:1-0:3-0
Crotone v Benevento,X,it,174,1-2:1-1:0-1:2-1:0-0:1-0:0-2:2-2
Sassuolo v Parma,10,it,179,1-0:2-1:2-0:1-1:3-0:1-2:3-1:0-1:3-2
Atalanta v Genoa,10,it,171,2-0:2-1:3-1:3-0:0-0:0-1:4-1:1-0:5-0
Inter Milan v Juventus,X,it,175,1-1:1-2:2-1:2-2:1-3:1-0:0-0:0-1:3-0
Cagliari v AC Milan,21,it,173,1-2:0-2:1-3:0-1:2-1:0-3:1-1
Udinese v Atalanta,2,it,99,1-2:1-1:0-2:2-1:1-3:2-2
Celtic v Livingston,10,sc,136,2-0:3-0:2-1:1-0:1-1:3-1
