game,res,league,howmany,scores
Lokomotiv Moscow v RB Salzburg               ,X ,euc,    44,1-2:2-1:1-1:1-0:0-0:2-0
Shakhtar Donetsk v Real Madrid               ,21,euc,    44,0-2:1-2:1-3:0-1:0-4:1-1:0-3:2-2
Atalanta v FC Midtjylland                    ,10,euc,    44,3-0:2-0:2-1:4-1:3-1
Atl Madrid v Bayern Munich                   ,1 ,euc,    44,1-2:2-1:0-2:1-1:1-3:2-3:0-1:2-2
B Mgladbach v Inter Milan                    ,X ,euc,    44,1-2:2-2:2-1:1-1:0-1:0-2:1-0:1-3:2-0:2-3
FC Porto v Man City                          ,2 ,euc,    44,1-2:0-2:1-1:2-2:1-0:1-3
Liverpool v Ajax                             ,10,euc,    44,2-1:2-0:3-1:1-0:1-2:0-1:0-2:1-1:2-2
Marseille v Olympiakos                       ,X ,euc,    44,2-0:1-1:1-0:0-1:1-2:2-1:0-0:2-2
FK Krasnodar v Rennes                        ,X ,euc,    44,1-1:1-2:0-2:1-0:2-1:2-2:0-0:0-1:2-0
Istanbul Basaksehir v RB Leipzig             ,2 ,euc,    44,0-2:1-1:1-2:1-3:0-1:2-1:2-2
B Dortmund v Lazio                           ,0 ,euc,    44,2-1:3-1:2-0:1-0:1-1:2-2:3-0:3-2
Club Bruges v Zenit St Petersburg            ,X ,euc,    44,1-1:1-2:2-1:2-0:2-2:0-1:1-3:1-0:3-1
Ferencvárosi TC v Barcelona                  ,21,euc,    44,1-3:0-3:0-2:0-4:1-2:1-4
Juventus v Dynamo Kyiv                       ,10,euc,    44,2-0:3-0:2-1:1-0:4-2:3-1
Man Utd v PSG                                ,X ,euc,    44,2-1:1-2:2-2:1-1:1-3:1-0:2-0:3-2
Sevilla v Chelsea                            ,X ,euc,    44,2-1:1-1:1-2:0-2:1-0:2-2:0-1
AEK Athens v Zorya Luhansk                   ,10,eue,   106,2-0:2-1:3-0:1-0:3-1:1-1
CSKA Moscow v Feyenoord                      ,0 ,eue,   106,2-1:1-1:2-2:1-0:1-2:2-0:0-1:3-1
CSKA Sofia v Young Boys                      ,X ,eue,   106,1-1:1-2:0-2:0-1:1-0:1-3:2-0:2-1
FK Qarabag v Sivasspor                       ,X ,eue,   106,1-1:2-0:2-1:1-0:1-2:0-2:2-2
KAA Gent v Red Star Belgrade                 ,X ,eue,   106,2-1:1-1:1-2:2-0:2-2:1-0
LASK v Royal Antwerp                         ,0 ,eue,   106,1-1:2-0:2-1:1-0:3-1:0-1:1-2
Lille v AC Milan                             ,2 ,eue,   106,1-2:1-1:2-2:0-2:1-3:2-1:0-3
Maccabi Tel-Aviv v Villarreal                ,21,eue,   106,1-2:0-2:1-3:1-1:0-3:0-1
Molde v Arsenal                              ,21,eue,   106,0-2:1-2:0-3:1-3:0-1:1-1:1-4
RZ Pellets WAC v Dinamo Zagreb               ,X ,eue,   106,1-2:1-1:0-2:0-1:2-1:1-0
Slovan Liberec v Hoffenheim                  ,21,eue,   106,0-2:1-3:1-2:0-3:1-1:0-1
Sparta Prague v Celtic                       ,X ,eue,   106,2-1:1-1:1-2:2-0:2-2:0-2:3-1
Sporting Braga v Leicester                   ,2 ,eue,   105,1-2:1-1:1-3:0-2:2-2:0-1
AZ Alkmaar v Real Sociedad                   ,X ,eue,   104,1-2:1-1:0-2:2-1:1-0:1-3:2-0:2-2
B Leverkusen v Hapoel Be'er Sheva            ,10,eue,   104,3-0:2-0:4-0:3-1:4-1:2-1
CFR Cluj v Roma                              ,21,eue,   104,0-2:1-2:1-3:1-1:0-1:0-3:1-4
Dundalk v Rapid Vienna                       ,2 ,eue,   104,1-2:1-1:0-2:0-1:0-3:1-3
Granada v Omonia Nicosia                     ,10,eue,   104,2-0:2-1:3-0:3-1:1-1:1-0:4-0
Napoli v HNK Rijeka                          ,10,eue,   104,2-0:3-0:3-1:4-1:2-1:4-0
Nice v Slavia Prague                         ,0 ,eue,   104,2-1:1-1:2-0:1-0:3-1
PSV Eindhoven v PAOK Salonika                ,0 ,eue,   103,2-0:1-1:2-1:3-1:1-0:1-2
Rangers v Benfica                            ,X ,eue,   104,2-1:2-2:1-1:1-2:2-0
Standard Liege v Lech Poznan                 ,0 ,eue,   104,2-1:2-0:1-1:1-0:3-1:1-2
Tottenham v Ludogorets                       ,10,eue,   104,3-0:4-0:3-1:2-0:4-1
Crystal Palace v Newcastle                   ,0 ,en ,  1809,2-1:1-1:1-0:2-0:1-2:0-1:0-0
Brighton v Liverpool                         ,21,en ,  1758,0-2:1-3:1-2:0-3:1-1:1-4:0-1:0-4
Man City v Burnley                           ,10,en ,  1746,3-0:2-0:4-0:3-1:2-1:1-0
Everton v Leeds                              ,0 ,en ,  1742,2-1:2-2:1-1:2-0:1-2:3-1:1-0:3-2
West Brom v Sheff Utd                        ,X ,en ,  1742,1-1:1-0:0-0:2-1:0-1:1-2:2-0:2-2
Southampton v Man Utd                        ,X ,en ,  1733,1-2:2-1:1-1:2-2:1-3:1-0:0-2
Chelsea v Tottenham                          ,X ,en ,  1728,2-2:2-1:1-1:1-2
Arsenal v Wolves                             ,0 ,en ,  1731,2-1:1-1:2-0:1-0:1-2:0-1:3-1:2-2
Leicester v Fulham                           ,10,en ,  1729,2-0:3-0:3-1:2-1:1-0:4-0:4-1
West Ham v Aston Villa                       ,X ,en ,  1728,2-1:1-1:1-2:2-2:1-0:2-0:0-1
Brentford v QPR                              ,10,en2,    80,2-1:2-0:1-2:1-1:3-1:2-2
Reading v Bristol City                       ,X ,en2,    73,1-1:1-2:1-0:2-1:0-2:2-0:0-1
Birmingham v Millwall                        ,X ,en2,    71,1-1:0-1:2-1:1-0:2-0:1-2:0-0
Blackburn v Barnsley                         ,0 ,en2,    71,2-1:2-0:1-1:1-2:1-0:3-1:0-0:2-2:3-0
Cardiff v Luton                              ,0 ,en2,    71,2-1:2-0:1-1:1-0:1-2:0-0:0-1:2-2:3-0
Derby v Wycombe                              ,0 ,en2,    71,2-1:1-1:1-0:2-0:0-0:1-2:3-0:0-1
Huddersfield v Middlesbrough                 ,X ,en2,    71,1-2:1-1:2-1:0-1:0-2:1-0:0-0:1-3:2-0:2-2
Norwich v Coventry                           ,10,en2,    71,3-0:2-0:3-1:2-1:1-2:1-1
Rotherham v Bournemouth                      ,21,en2,    71,1-2:1-3:0-2:1-1:0-1:1-0:2-2
Sheff Wed v Stoke                            ,X ,en2,    71,1-1:1-2:2-1:0-2:2-0:2-2:3-1
Watford v Preston                            ,10,en2,    71,2-0:2-1:1-1:3-1:3-0:1-2
Nottm Forest v Swansea                       ,X ,en2,    71,1-1:1-2:2-1:0-1:1-0:1-3:0-2:2-2
Harrogate v Skelmersdale United              ,10,enf,   132,2-0:3-0:2-1:3-1:1-0:4-0:1-1:4-1
Tonbridge Angels v Bradford                  ,21,enf,   138,1-2:0-2:0-3:1-3:0-1:1-1:1-4:0-4:2-1
Exeter v Fylde                               ,10,enf,   143,2-0:2-1:3-0:3-1:1-1:1-0:4-0:4-1
Banbury United v Canvey Island               ,0 ,enf,   136,1-1:2-1:1-0:1-2:2-0:2-2:0-0:0-1
Bolton v Crewe                               ,X ,enf,   136,2-1:1-2:1-1:2-0:0-2:0-1:2-2
Boreham Wood v Southend                      ,X ,enf,   136,1-2:1-1:2-1:1-0:0-2:2-0:0-1:0-0:1-3
Brackley Town v Bishop's Stortford           ,0 ,enf,   135,2-1:1-1:1-0:2-0:0-1:1-2:2-2:3-1:0-2
