game,res,league,howmany,scores
Barnsley v Luton,0,en2,25,1-1:2-1:1-0:2-0:1-2:0-1:0-0:2-2:3-1:3-2
Blackpool v Coventry,X,en2,26,1-1:2-1:0-1:1-0:0-2:1-2:2-0
Huddersfield v Preston,X,en2,27,1-1:1-0:1-2:2-1:0-1:2-0:3-1:0-0
Millwall v Fulham,2,en2,28,1-2:1-1:0-1:0-2:2-1:1-0
Peterborough v Cardiff,X,en2,29,1-2:1-1:0-1:0-2:2-1:1-0:0-3:3-0
Swansea v Stoke,X,en2,30,2-1:1-1:2-0:0-1:1-2:1-0:0-2:3-0
Reading v Bristol City,0,en2,35,2-1:1-1:2-0:1-0:1-2:0-0:0-1:0-2:2-2:3-0
Birmingham v Bournemouth,2,en2,31,1-2:1-1:0-1:1-3:0-2:1-0:2-2:0-0:2-1
Hull v Derby,0,en2,32,2-1:1-0:2-0:1-1:1-2:3-0:0-0:3-1
Middlesbrough v QPR,X,en2,33,2-1:1-1:0-1:1-0:3-0:0-0:0-2:1-2:1-3:2-0
Nottm Forest v Blackburn,X,en2,34,1-1:2-1:1-0:0-1:1-2:0-0:0-2:2-0:2-2
West Brom v Sheff Utd,0,en2,36,2-1:2-0:1-1:3-0:0-0:0-1:1-0:1-2:0-2:2-2:3-2
Brentford v Arsenal,2,en,1,1-2:0-2:1-1:1-3:2-1:0-1:2-2:1-0:0-3
Man Utd v Leeds,10,en,2,2-1:2-0:3-1:1-1:2-2:1-0:3-0
Burnley v Brighton,X,en,3,1-1:1-0:0-0:2-1:0-1:1-2:2-0:0-2
Chelsea v Crystal Palace,10,en,4,2-0:3-0:3-1:2-1:1-0:4-0
Everton v Southampton,0,en,5,2-1:2-0:1-1:1-0:1-2
Leicester v Wolves,10,en,6,2-0:2-1:1-0:3-1:1-1:3-0
Watford v Aston Villa,2,en,7,1-2:1-1:0-2:0-1:1-0:1-3:2-1
Norwich v Liverpool,21,en,8,0-2:0-3:1-3:1-2:0-4:1-4:0-1
Newcastle v West Ham,X,en,9,1-1:1-2:2-1:2-2:0-1:0-2:1-0
Tottenham v Man City,21,en,10,1-2:1-3:0-2:1-1:2-2:2-1:0-1:0-3
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-1:0-1:1-3:1-0
Everton v Man City,21,enf,119,1-3:1-2:0-2:2-1:1-0
Chelsea v Sheff Utd,10,enf,118,2-0:3-0:2-1:4-0:3-1:1-0
Leicester v Man Utd,1,enf,120,1-2:2-1:1-1:1-3:1-0:0-1:2-0:2-2:2-3
Chelsea v Man City,1,enf,121,1-2:1-3:2-1:1-1:0-1:0-2:1-0
Leicester v Southampton,10,enf,122,2-0:2-1:3-1:3-0:1-0
Chelsea v Leicester,1,enf,123,2-1:1-2:3-1:2-0:0-1:1-0:1-1:2-2
Lorient v Monaco,21,fr,16,1-2:0-2:0-1:1-3:1-1:0-0:1-0:2-1
Lille v Nice,10,fr,15,2-1:2-0:1-0:3-1:1-1:0-0
PSG v Strasbourg,10,fr,19,3-0:2-0:4-0:3-1:1-0:2-1:5-0:4-1
Angers v Lyon,21,fr,11,1-2:0-2:1-3:0-1:1-1:2-2
Brest v Rennes,X,fr,12,1-1:1-2:1-0:2-1:0-1:0-0:1-3:2-2:0-2:2-0
Clermont v Troyes,X,fr,13,1-1:1-0:0-0:2-1:1-2:2-2:0-1:2-0:0-2
Nantes v Metz,X,fr,18,2-1:1-0:1-1:2-0:1-2:0-1:0-0:0-2
Reims v Montpellier,X,fr,20,1-1:1-2:1-0:0-1:2-1:0-2:0-0:2-2:1-3:2-0
Lens v Saint-Étienne,X,fr,14,1-1:1-0:2-1:0-0:0-1:1-2:0-2:2-0:3-1:2-2
Marseille v Bordeaux,10,fr,17,2-0:2-1:1-0:3-1:3-0:1-1:3-2:0-0
B Mgladbach v Bayern Munich,21,de,1,1-2:1-3:0-2:2-2:1-1:2-1:2-3:0-1
Arminia Bielefeld v Freiburg,X,de,6,1-1:1-2:2-1:0-1:1-0:2-0:0-2:0-0
Augsburg v Hoffenheim,X,de,7,1-1:1-2:2-1:1-0:0-1:0-2:2-0:2-2
Stuttgart v SpVgg Greuther Fürth,10,de,8,2-0:2-1:3-1:1-0:3-0:1-1
Union Berlin v B Leverkusen,2,de,3,1-2:1-1:2-2:1-0:1-3:2-1:0-1:0-2
Wolfsburg v VfL Bochum 1848,10,de,9,2-0:2-1:3-0:1-0:1-1:3-1
B Dortmund v Frankfurt,10,de,5,2-1:3-1:2-0:3-0:1-0:1-1
Mainz v RB Leipzig,21,de,4,0-2:1-2:1-3:1-1:0-1:0-3
Köln v Hertha Berlin,X,de,2,1-1:1-2:2-1:1-0:2-0:0-0:0-1:0-2:2-2
