game,res,league,howmany,scores
Sheff Wed v Derby,X,en2,274,1-2:1-1:2-1:0-1:0-2:1-0:2-0:2-2
Birmingham v Blackburn,X,en2,266,1-2:1-1:2-1:0-1:1-0:0-2:2-2:2-0
Huddersfield v Reading,X,en2,268,1-1:2-1:1-2:1-0:0-1:0-2:2-0:2-2
Millwall v Coventry,0,en2,270,1-1:2-1:1-0:2-0:0-1:0-0:1-2:3-1
Norwich v Barnsley,10,en2,271,2-0:2-1:3-1:3-0:1-0:1-1
Preston v Nottm Forest,X,en2,272,2-1:2-0:1-1:1-0:1-2:0-1:0-2
Swansea v Watford,X,en2,276,1-1:2-1:2-2:1-0:2-0:1-2:0-0:0-2:0-1
Wycombe v Middlesbrough,21,en2,277,1-2:0-2:0-1:1-1:1-3:1-0:0-0:2-1
Stoke v Bournemouth,X,en2,275,1-2:1-1:2-1:2-2:0-2:0-1:1-3:1-0:2-0
Luton v QPR,0,en2,269,2-1:1-1:1-0:2-0:0-1:1-2:0-0:0-2
Sheff Utd v Newcastle,X,en,176,1-1:1-2:1-0:0-1:0-2:2-1:0-0
Burnley v Man Utd,21,en,1,0-2:1-2:1-3:0-3:1-1:0-1
Wolves v Everton,X,en,178,1-1:2-1:1-2:2-2:1-0:0-1:2-0
Man City v Brighton,10,en,180,3-0:2-0:4-0:3-1:2-1:4-1:5-0
Aston Villa v Tottenham,2,en,172,1-2:1-1:2-2:2-1:1-3:0-2:0-1:1-0
Arsenal v Crystal Palace,10,en,171,2-1:2-0:3-1:1-1:1-0:3-0
Fulham v Chelsea,21,en,183,1-2:0-2:1-3:0-3:1-1:0-1
Wolves v West Brom,10,en,190,2-0:2-1:1-0:1-1:3-0:3-1
Leeds v Brighton,10,en,184,2-1:3-1:2-0:1-1:1-0:2-2:3-0:3-2
West Ham v Burnley,0,en,189,2-1:2-0:1-1:1-0:3-1
Aston Villa v Everton,X,en,182,1-1:2-1:1-2:2-2:1-0:2-0
Leicester v Southampton,0,en,185,2-1:1-1:2-2:2-0:1-2:1-0:3-1
Aston Villa v Liverpool,1,enf,62,1-2:2-1:1-3:0-3:0-2:0-1
Wolves v Crystal Palace,10,enf,91,2-1:2-0:1-0:1-1:1-2:3-1
Boreham Wood v Millwall,21,enf,66,0-2:1-2:0-3:1-3:0-1:0-4:1-4:2-1
Everton v Rotherham,10,enf,75,2-0:3-0:3-1:4-1:2-1:4-0:1-0
Luton v Reading,1,enf,78,1-2:2-1:1-1:1-0:0-2:0-1:2-0:1-3
Norwich v Coventry,10,enf,83,2-0:2-1:3-1:3-0:1-0:1-1
Nottm Forest v Cardiff,X,enf,84,1-2:2-1:1-1:1-0:0-1:0-2:2-0:0-0
Chorley v Derby,21,enf,73,1-2:1-3:0-3:0-2:0-1:1-1:0-4:2-1:1-0:1-4
Blackburn v Doncaster,10,enf,64,2-0:2-1:3-1:1-0:3-0:1-1:4-0:4-1
Blackpool v West Brom,1,enf,65,1-2:0-2:2-1:0-1:1-1:1-3:0-3:1-0
Bristol Rovers v Sheff Utd,1,enf,69,1-2:0-2:2-1:0-1:1-0:1-3:1-1:2-0
Burnley v MK Dons,10,enf,70,2-0:2-1:3-0:1-0:3-1:4-0:1-1
Exeter v Sheff Wed,1,enf,76,1-2:2-1:1-1:0-2:1-3:0-1:1-0
Oldham v Bournemouth,21,enf,85,0-2:1-2:1-3:0-3:0-1:2-1:0-4:1-4
QPR v Fulham,1,enf,86,1-2:2-1:2-0:0-2:1-0:1-1:1-3:2-2:0-1
Stevenage v Swansea,21,enf,88,0-2:1-2:0-3:0-1:1-3:0-4:1-0:2-1:1-1:1-4
Stoke v Leicester,21,enf,90,1-2:1-3:0-2:0-3:2-1:0-1:1-4
