game,res,league,howmany,scores
Cardiff v Derby,10,en2,398,2-1:2-0:1-0:1-1:1-2:0-0
Coventry v Middlesbrough,X,en2,399,1-1:1-2:0-1:2-1:0-2:1-0:0-0:1-3
Huddersfield v Birmingham,X,en2,400,1-1:2-1:2-0:1-0:0-1:1-2:0-2
Millwall v Preston,X,en2,401,1-1:1-0:1-2:2-1:2-0:0-1:0-0:0-2:2-2
Nottm Forest v Luton,0,en2,402,1-0:2-0:1-1:2-1:1-2
Reading v Blackburn,10,en2,403,2-1:2-0:1-0:1-1:3-1:1-2:3-0:0-1
Norwich v Brentford,X,en2,405,2-1:1-1:1-2:2-2:1-0:2-0:3-0:3-1:3-2:0-1
QPR v Barnsley,X,en2,406,1-1:2-1:1-2:1-0:0-1:0-0:0-2:2-0
Watford v Wycombe,10,en2,408,2-0:3-0:2-1:3-1:1-0:4-0:0-0
Bristol City v Bournemouth,X,en2,404,2-1:1-2:1-1:1-0:0-1:2-0:2-2:0-0:0-2:1-3
Sheff Wed v Rotherham,X,en2,407,1-0:2-0:1-1:2-1:1-2:0-1:0-0:0-2:2-2
Stoke v Swansea,X,en2,409,1-2:1-1:2-1:0-2:2-2:0-1:1-0:0-0:1-3
Man City v West Ham,10,en,256,2-0:3-1:2-1:3-0:1-0:1-1
West Brom v Brighton,X,en,260,1-1:1-2:1-0:0-1:2-1:0-0:0-2:2-0
Leeds v Aston Villa,0,en,254,2-1:1-1:2-2:2-0:1-2:3-1:1-0:0-1
Newcastle v Wolves,X,en,257,1-2:1-1:0-1:2-1:0-2:1-0:0-0:1-3
Crystal Palace v Fulham,X,en,252,1-1:2-1:1-2:1-0:2-0:0-1:0-0:0-2
Leicester v Arsenal,0,en,255,2-1:2-0:1-1:1-2:2-2:3-1:1-0
Tottenham v Burnley,10,en,259,2-0:2-1:1-0:3-0:3-1:1-1
Chelsea v Man Utd,X,en,251,1-1:1-2:2-1:2-2:1-0:2-0:0-0:1-3
