game,res,league,howmany,scores
Watford v Derby,10,en2,373,2-1:2-0:1-0:3-1:1-1:3-0:0-0:2-2
Coventry v Brentford,21,en2,364,1-2:0-2:1-1:1-3:0-1:0-3:2-1
Bristol City v Barnsley,X,en2,362,1-2:1-1:2-1:1-0:0-1:2-0:0-2:2-2
Cardiff v Preston,10,en2,363,2-1:2-0:1-0:1-1:3-1:3-0:1-2
Huddersfield v Swansea,21,en2,365,1-2:0-2:1-3:1-1:0-1
Millwall v Wycombe,10,en2,366,2-0:2-1:1-0:3-1:3-0:1-1
Norwich v Rotherham,10,en2,367,2-0:3-0:2-1:3-1:1-0
Nottm Forest v Blackburn,X,en2,368,1-1:2-1:1-2:1-0:0-2:2-0:0-1
QPR v Bournemouth,X,en2,369,1-2:1-1:2-1:1-0:0-2:1-3:0-1:2-2
Reading v Middlesbrough,0,en2,370,2-1:2-0:1-0:1-1:0-1:0-2:1-2
Sheff Wed v Birmingham,0,en2,371,1-0:2-1:1-1:2-0:0-0:1-2:0-2:0-1
Stoke v Luton,0,en2,372,2-1:1-1:2-0:1-0:3-1:1-2:0-0:0-1
Wolves v Leeds,X,en,250,2-1:1-2:1-1:2-2:1-3:2-0:1-0
Southampton v Chelsea,21,en,248,1-2:0-2:1-1:1-3:0-1:2-1:0-3:2-2
Burnley v West Brom,0,en,244,1-0:2-1:2-0:1-1:0-1:1-2:0-0
Liverpool v Everton,0,en,246,2-1:2-0:3-1:1-1:2-2:1-2:1-0
Fulham v Sheff Utd,0,en,245,1-0:2-1:1-1:2-0:1-2:0-1:0-0
West Ham v Tottenham,X,en,249,1-2:2-1:1-1:2-2:1-3:0-2:1-0
Aston Villa v Leicester,2,en,242,1-2:1-1:2-1:2-2:1-3:0-2:1-0:0-1
Arsenal v Man City,21,en,241,1-3:1-2:0-2:0-3:1-1
Man Utd v Newcastle,10,en,247,2-0:3-0:2-1:3-1:1-0:4-0
Brighton v Crystal Palace,0,en,243,1-1:1-0:2-1:2-0:1-2:0-0:0-1
Leeds v Southampton,0,en,174,2-1:1-1:2-0:1-2:2-2:3-1:1-0:3-2
Bournemouth v Southampton,1,enf,117,1-2:0-2:2-1:1-3:0-1:0-3:1-0
Everton v Man City,1,enf,119,1-3:1-2:0-2:2-1:1-0:0-1:1-4
Chelsea v Sheff Utd,10,enf,118,2-0:2-1:3-0:3-1:1-0:1-1
Leicester v Man Utd,1,enf,120,2-1:1-2:1-3:2-0:1-0:2-2:2-3:0-2:1-1
Brest v Lyon,21,fr,251,1-2:0-2:1-3:0-1:1-1:0-0:0-3
Saint-Étienne v Reims,X,fr,259,1-1:1-0:2-1:2-0:1-2:0-1
Nantes v Marseille,X,fr,255,1-2:1-1:2-1:0-1:0-0:1-3:0-2:1-0
Montpellier v Rennes,X,fr,254,1-1:2-1:1-2:2-0:1-0:0-0:0-1:0-2:2-2
Lens v Dijon,10,fr,252,2-0:1-0:2-1:1-1:1-2:3-1:0-0:0-1:3-0:2-2
Nice v Metz,X,fr,256,1-0:2-1:1-1:2-0:0-1:1-2:0-0:0-2:1-3:2-2
Nîmes v Bordeaux,2,fr,257,1-1:0-1:1-2:0-2:0-3:1-0:1-3:2-1:2-2:0-0:2-0:2-3
Strasbourg v Angers,X,fr,260,2-1:1-1:1-0:1-2:3-1:0-1:0-2:2-0:3-0
Lorient v Lille,21,fr,253,1-2:0-1:0-2:1-1:1-3:0-3:2-1:0-0:0-4:1-0:2-3
PSG v Monaco,10,fr,258,3-1:2-0:2-1:1-1:3-2:0-1:1-0:0-0:1-2:3-0:3-3
Nîmes v Lorient,X,fr,206,1-0:1-2:1-1:0-0:0-1:2-1:2-2:0-2:2-0
Arminia Bielefeld v Wolfsburg,2,de,192,1-2:0-2:1-1:2-1:0-1:1-0:0-0:1-3:2-2:0-3
B Mgladbach v Mainz,10,de,191,2-0:2-1:3-0:3-1:1-1:1-0:0-1
Frankfurt v Bayern Munich,21,de,193,1-2:1-3:1-1:0-3:0-2:2-1:2-2:2-3:1-0
Freiburg v Union Berlin,0,de,197,2-1:1-1:2-0:1-0:0-1:1-2:2-2:0-2:3-1
