game,res,league,howmany,scores
Lokomotiv Moscow v Atl Madrid                ,21,euc,    53,1-2:0-2:0-1:1-1:1-3
Shakhtar Donetsk v B Mgladbach               ,X ,euc,    52,1-1:1-2:2-0:2-1:2-2
Atalanta v Liverpool                         ,X ,euc,    52,1-2:1-1:2-1:2-2:3-3
FC Midtjylland v Ajax                        ,21,euc,    51,0-2:1-2:0-3:1-3:1-1:1-4
FC Porto v Marseille                         ,0 ,euc,    52,1-1:2-0:2-1:1-0:0-1:1-2:2-2
Man City v Olympiakos                        ,10,euc,    52,3-0:2-0:3-1:2-1:4-0
RB Salzburg v Bayern Munich                  ,21,euc,    51,1-3:0-3:0-2:1-2:1-1:1-4
Real Madrid v Inter Milan                    ,0 ,euc,    52,2-1:1-1:2-2:2-0:0-1:1-2:3-1
Istanbul Basaksehir v Man Utd                ,21,euc,    52,0-2:1-2:0-1:0-3:1-1
Zenit St Petersburg v Lazio                  ,X ,euc,    51,1-1:1-2:2-1:0-1:1-0:1-3
Barcelona v Dynamo Kyiv                      ,10,euc,    52,2-0:3-1:3-0:4-1:2-1
Chelsea v Rennes                             ,10,euc,    52,2-0:3-0:2-1:1-0:3-1:4-0
Club Bruges v B Dortmund                     ,21,euc,    52,1-2:0-2:1-3:1-1:0-1:0-3
Ferencvárosi TC v Juventus                   ,21,euc,    52,0-2:0-3:0-1:1-2
RB Leipzig v PSG                             ,2 ,euc,    52,1-2:1-1:2-2:0-2:1-3:2-0:2-1
Sevilla v FK Krasnodar                       ,10,euc,    52,2-0:3-0:1-0:2-1:3-1:4-0
AC Milan v Sparta Prague                     ,10,eue,   134,2-0:3-0:3-1:2-1:1-0
AEK Athens v Leicester                       ,2 ,eue,   135,1-2:1-1:0-2:1-3:2-1:0-1:0-3
CSKA Moscow v Dinamo Zagreb                  ,10,eue,   132,2-1:2-0:1-1:1-0:3-1
Feyenoord v RZ Pellets WAC                   ,10,eue,   132,2-0:2-1:3-1:3-0:1-0:1-1
FK Qarabag v Villarreal                      ,21,eue,   132,1-2:0-2:1-3:1-1:0-1:0-3
KAA Gent v Hoffenheim                        ,X ,eue,   132,1-2:1-1:2-1:0-2:0-1:1-0:2-2
LASK v Ludogorets                            ,X ,eue,   132,2-0:2-1:1-1:1-2:1-0:0-1:3-1
Lille v Celtic                               ,10,eue,   133,2-1:2-0:1-1:1-0:3-1:1-2:2-2
