game,res,league,howmany,scores
Barcelona v PSG                              ,X ,euc,     5,2-1:3-2:1-0
RB Leipzig v Liverpool                       ,X ,euc,     5,2-1:0-1:0-2:1-3
FC Porto v Juventus                          ,X ,euc,     5,1-2:1-0:1-1:2-2
Sevilla v B Dortmund                         ,X ,euc,     5,2-1:0-2:1-3:2-0
Atl Madrid v Chelsea                         ,X ,euc,     5,2-1:0-2:2-2
Lazio v Bayern Munich                        ,X ,euc,     5,0-2:1-1:1-2:1-3
Atalanta v Real Madrid                       ,X ,euc,     5,1-2:1-3:2-3
B Mgladbach v Man City                       ,X ,euc,     5,0-2:1-2:1-3:3-1
B Dortmund v Sevilla                         ,X ,euc,     3,2-1:1-2
Juventus v FC Porto                          ,X ,euc,     3,2-0:2-2:3-1
Liverpool v RB Leipzig                       ,X ,euc,     3,3-1:1-1
PSG v Barcelona                              ,X ,euc,     3,1-2:2-1
Man City v B Mgladbach                       ,X ,euc,     3,3-1
Real Madrid v Atalanta                       ,X ,euc,     3,3-1:2-0
Bayern Munich v Lazio                        ,X ,euc,     3,2-0:3-0:3-1
Chelsea v Atl Madrid                         ,X ,euc,     3,1-0:1-1:1-2
Dynamo Kyiv v Club Bruges                    ,X ,eue,     3,2-0:1-2
FK Krasnodar v Dinamo Zagreb                 ,X ,eue,     3,0-1:1-2:2-1
Olympiakos v PSV Eindhoven                   ,X ,eue,     3,1-1:2-2:5-3
Real Sociedad v Man Utd                      ,X ,eue,     3,0-1:2-2
Red Star Belgrade v AC Milan                 ,X ,eue,     3,0-2:1-1:1-2
RZ Pellets WAC v Tottenham                   ,X ,eue,     3,1-3:0-2
Slavia Prague v Leicester                    ,X ,eue,     3,0-1:1-0:1-3
Sporting Braga v Roma                        ,X ,eue,     3,2-1:1-2
Young Boys v B Leverkusen                    ,X ,eue,     3,1-0:1-1:1-2
Benfica v Arsenal                            ,X ,eue,     3,0-1:1-1:1-3
Granada v Napoli                             ,X ,eue,     3,2-1:1-2
Lille v Ajax                                 ,X ,eue,     3,0-1:1-2:2-0
Maccabi Tel-Aviv v Shakhtar Donetsk          ,X ,eue,     3,1-2:1-3:2-1
Molde v Hoffenheim                           ,X ,eue,     3,1-2:1-3:2-1
RB Salzburg v Villarreal                     ,X ,eue,     3,0-1:1-2:2-0
Royal Antwerp v Rangers                      ,X ,eue,     3,1-1:2-1:2-2
Tottenham v RZ Pellets WAC                   ,X ,eue,     2,2-1:3-0
Ajax v Lille                                 ,X ,eue,     2,2-0:2-1
Arsenal v Benfica                            ,X ,eue,     2,3-1
Hoffenheim v Molde                           ,X ,eue,     2,2-1:3-0
Napoli v Granada                             ,X ,eue,     2,2-0:3-1
Rangers v Royal Antwerp                      ,X ,eue,     2,2-0:2-2
Shakhtar Donetsk v Maccabi Tel-Aviv          ,X ,eue,     2,2-0:2-1
Villarreal v RB Salzburg                     ,X ,eue,     2,1-1:3-1
AC Milan v Red Star Belgrade                 ,X ,eue,     2,2-1:3-1
B Leverkusen v Young Boys                    ,X ,eue,     2,2-0:2-1
Club Bruges v Dynamo Kyiv                    ,X ,eue,     2,1-0:2-2
Dinamo Zagreb v FK Krasnodar                 ,X ,eue,     2,2-0:2-1
Leicester v Slavia Prague                    ,X ,eue,     2,3-1
Man Utd v Real Sociedad                      ,X ,eue,     2,3-1:3-2
PSV Eindhoven v Olympiakos                   ,X ,eue,     2,2-0:2-2
Roma v Sporting Braga                        ,X ,eue,     2,2-1:3-1
Wolves v Chelsea                             ,21,en ,  3542,1-2:0-2:1-1:1-3:0-1:2-1:2-2:1-0:0-3
Man City v West Brom                         ,10,en ,  3813,3-0:4-0:2-0:3-1:5-0:4-1:2-1
Arsenal v Southampton                        ,X ,en ,  3895,1-2:1-1:2-1:0-2:1-0:2-2:0-1:2-0:1-3
Leeds v Newcastle                            ,0 ,en ,  3883,2-1:1-1:2-0:1-0:1-2:2-2:3-1:0-1
Leicester v Everton                          ,0 ,en ,  3877,2-1:1-1:2-2:2-0:1-2:3-1:1-0:0-1
Fulham v Brighton                            ,X ,en ,  3869,1-1:2-1:1-0:1-2:2-0:0-1:0-0:0-2:2-2
Liverpool v Tottenham                        ,X ,en ,  3868,2-1:1-1:2-2:1-2:3-1:2-0:1-0:0-1
West Ham v Crystal Palace                    ,0 ,en ,  3865,2-1:1-1:2-0:1-0:1-2:2-2:0-1:3-1
Aston Villa v Burnley                        ,0 ,en ,  3795,2-0:2-1:1-0:1-1:0-1:3-1
Sheff Utd v Man Utd                          ,21,en ,  3791,0-2:1-2:1-3:0-3:0-1:1-1
QPR v Stoke                                  ,X ,en2,   211,1-1:1-2:2-1:1-0:0-2:0-1:2-0:2-2:0-0
Barnsley v Preston                           ,X ,en2,   227,2-1:1-1:1-2:2-0:0-1:1-0:0-2
Bournemouth v Wycombe                        ,10,en2,   227,3-0:2-0:4-0:3-1:2-1:1-0:4-1
Bristol City v Millwall                      ,10,en2,   227,2-1:2-0:1-0:1-1:0-0:3-1
Nottm Forest v Sheff Wed                     ,0 ,en2,   227,1-1:1-0:2-1:1-2:0-0:2-0:0-1
Watford v Brentford                          ,X ,en2,   227,2-1:1-1:1-2:2-2:1-0:0-1:2-0
Derby v Swansea                              ,X ,en2,   209,1-2:1-1:0-1:0-2:1-0:2-1:2-0:1-3
Cardiff v Birmingham                         ,0 ,en2,   208,2-1:2-0:1-0:1-1:0-1:1-2:0-0:3-1
Middlesbrough v Luton                        ,10,en2,   208,2-0:2-1:1-0:1-1:0-1:3-1
Blackburn v Rotherham                        ,10,en2,   207,2-0:2-1:3-1:1-0:1-1
Coventry v Huddersfield                      ,X ,en2,   206,1-1:2-1:1-2:2-0:1-0:0-0:2-2
Reading v Norwich                            ,X ,en2,   206,1-2:1-1:2-2:1-3:2-1:0-2:0-1:1-0:2-0
Aston Villa v Liverpool                      ,21,enf,    59,1-2:1-3:0-3:0-1:0-2:1-0:2-1
Wolves v Crystal Palace                      ,10,enf,    59,2-1:2-0:1-0:3-1:3-2
Boreham Wood v Millwall                      ,21,enf,    58,0-2:1-2:1-3:0-1:0-3:1-1
Everton v Rotherham                          ,10,enf,    58,2-0:3-0:3-1:2-1:4-0:4-1
Luton v Reading                              ,1 ,enf,    58,1-2:2-1:0-1:1-1:0-2:1-0:1-3
Norwich v Coventry                           ,10,enf,    58,2-1:2-0:3-1:1-0
Nottm Forest v Cardiff                       ,X ,enf,    58,1-2:1-1:2-1:0-1:0-0:0-2:2-0
Chorley v Derby                              ,21,enf,    58,0-2:1-2:1-3:0-1:1-1:0-4:1-0:2-1
Blackburn v Doncaster                        ,10,enf,    59,2-0:2-1:1-0:3-0:1-1:3-1:0-1:1-2
Blackpool v West Brom                        ,1 ,enf,    58,1-2:0-1:0-2:1-1:2-1:1-3:1-0:2-0
Bristol Rovers v Sheff Utd                   ,1 ,enf,    58,1-2:0-1:0-2:1-0:1-3:2-1:1-1
Burnley v MK Dons                            ,10,enf,    58,2-0:2-1:3-0:1-0:3-1
Exeter v Sheff Wed                           ,X ,enf,    58,1-2:2-1:1-1:1-3:0-1:0-2:1-0:2-0
Oldham v Bournemouth                         ,21,enf,    58,0-2:1-2:1-3:0-1:0-3
QPR v Fulham                                 ,1 ,enf,    58,2-1:1-2:2-0:1-0:0-2:1-1:0-1:1-3:2-2:2-3
Stevenage v Swansea                          ,21,enf,    59,1-2:0-2:0-1:0-3:1-1:1-3:1-0:1-4
Stoke v Leicester                            ,21,enf,    59,1-2:1-3:0-2:2-1:0-1:1-4
Wycombe v Preston                            ,2 ,enf,    59,0-1:1-2:1-1:0-2:2-1:1-3:2-2:1-0
Arsenal v Newcastle                          ,10,enf,    59,2-1:2-0:3-1:3-0:1-0:1-1:1-2:2-2
Brentford v Middlesbrough                    ,1 ,enf,    58,2-1:1-0:1-2:0-1:1-1:2-0:2-2
Huddersfield v Plymouth                      ,10,enf,    58,2-1:2-0:1-0:1-2:1-1:3-1
Man Utd v Watford                            ,10,enf,    58,2-0:2-1:3-0:3-1:1-0:1-1:1-2:4-0
Southampton v Shrewsbury                     ,10,enf,    58,2-0:4-0:3-0:4-1:2-1:3-1:5-0
Barnsley v Tranmere                          ,10,enf,    59,2-0:2-1:1-0:0-1:0-2:1-2:3-0
Bristol City v Portsmouth                    ,1 ,enf,    58,2-1:2-0:1-2:0-1:1-0:1-1
Chelsea v Morecambe                          ,10,enf,    58,5-0:4-0:2-0:3-0:7-0:6-0
Cheltenham v Mansfield                       ,X ,enf,    58,2-1:1-2:2-0:1-0:1-1
Crawley v Leeds                              ,21,enf,    58,1-2:0-3:0-2:0-4:1-3:1-4:0-1
Man City v Birmingham                        ,10,enf,    58,4-0:3-0:5-0:3-1:2-0:2-1
Marine v Tottenham                           ,21,enf,    58,0-3:0-4:0-5:0-6:0-2:0-7:1-0:1-4
Newport v Brighton                           ,1 ,enf,    58,1-2:0-2:2-1:0-3:1-1:1-3:0-1
Stockport v West Ham                         ,21,enf,    59,0-2:0-3:1-3:1-4:0-4:1-2:0-1
Angers v Strasbourg                          ,0 ,fr ,    91,1-1:2-1:1-2:2-0:2-2:0-0:0-1:1-0
Dijon v Lille                                ,21,fr ,    91,1-2:0-2:0-1:1-3:0-3:1-1:0-0:1-0:2-2
Montpellier v Metz                           ,0 ,fr ,    91,2-0:1-0:2-1:1-1:3-0:1-2:3-1
Nîmes v Nice                                 ,2 ,fr ,    91,1-1:1-2:0-2:0-1:1-0:2-1:0-0:1-3:2-0
Reims v Nantes                               ,X ,fr ,    91,2-1:1-1:2-0:1-0:1-2:0-0:0-3:2-2
