game,res,league,howmany,scores
Lokomotiv Moscow v Bayern Munich             ,21,euc,    24,0-2:0-3:1-3:1-2:1-4:0-4:1-0:1-5
Shakhtar Donetsk v Inter Milan               ,2 ,euc,    23,1-1:1-2:0-1:1-3:0-0:2-2:0-2:2-1:3-2
Atalanta v Ajax                              ,X ,euc,    23,2-1:2-2:0-1:1-0:1-1:2-0:3-2:1-2:2-3:2-4:3-1:4-2
Atl Madrid v RB Salzburg                     ,10,euc,    23,2-1:2-0:1-0:3-1:0-1:3-0
B Mgladbach v Real Madrid                    ,21,euc,    23,1-2:0-2:1-3:2-1:0-1:1-0:1-1:2-2:2-3:2-4
FC Porto v Olympiakos                        ,10,euc,    23,2-0:1-0:2-1:0-1:1-1:3-0:3-1
Liverpool v FC Midtjylland                   ,10,euc,    23,3-0:4-0:2-0:2-1:5-0:1-0:4-1:7-0
Marseille v Man City                         ,1 ,euc,    23,1-2:1-3:2-1:0-1:0-2:0-3:1-1:2-0:2-3:3-3
FK Krasnodar v Chelsea                       ,21,euc,    23,1-2:0-1:0-2:0-3:1-1:1-3:0-4:0-6:1-0:2-1
Istanbul Basaksehir v PSG                    ,21,euc,    23,0-2:1-2:1-3:0-0:0-1:0-3:0-4:1-1:1-4:1-5
B Dortmund v Zenit St Petersburg             ,10,euc,    23,2-1:3-1:1-0:2-0:1-1:3-0:3-2:4-2:5-3
Club Bruges v Lazio                          ,2 ,euc,    23,1-2:0-1:1-1:0-2:0-0:1-0:1-3:2-0:2-2:2-3
Ferencvárosi TC v Dynamo Kyiv                ,2 ,euc,    23,1-1:1-2:0-0:0-1:0-2:1-3:1-0:2-1
Juventus v Barcelona                         ,0 ,euc,    23,2-1:2-2:1-2:0-1:1-1:2-0:3-2
Man Utd v RB Leipzig                         ,X ,euc,    23,2-1:2-0:3-1:1-0:1-2:2-2:3-0:0-0:0-1:1-1:2-3
Sevilla v Rennes                             ,10,euc,    23,2-0:2-1:0-1:1-1:3-0:3-1:1-0:4-0
B Leverkusen v Nice                          ,10,eue,    80,2-1:2-0:3-1:1-1:1-0
CSKA Sofia v CFR Cluj                        ,X ,eue,    80,1-1:2-0:2-1:1-2:1-0:0-1
Dundalk v Molde                              ,X ,eue,    80,1-1:1-2:0-1:2-1:0-2:1-0:1-3
Hapoel Be'er Sheva v Slavia Prague           ,X ,eue,    80,1-2:0-2:1-1:0-1:2-1:2-0:2-2
HNK Rijeka v Real Sociedad                   ,21,eue,    80,1-2:0-2:1-3:0-3:0-1:1-1:2-1
Lech Poznan v Benfica                        ,21,eue,    81,1-2:0-2:1-3:1-1:0-1:2-0:0-3:2-2
