text,pred,col,row
"
	        0	        Sevilla
	        ",0,1,1
"
	        1	        Villarreal
	        ",1,2,1
"
	        1	        Barcelona
	        ",1,1,2
"
	        0	        Eibar
	        ",0,2,2
"
	        1	        Cádiz
	        ",1,1,3
"
	        0	        Real Valladolid
	        ",0,2,3
"
	        3	        Levante
	        ",3,1,4
"
	        0	        Real Betis
	        ",0,2,4
"
	        0	        Granada
	        ",0,1,5
"
	        1	        Valencia
	        ",1,2,5
"
	        0	        Atl Madrid
	        ",0,1,6
"
	        0	        Getafe
	        ",0,2,6
"
	        0	        Celta Vigo
	        ",0,1,7
"
	        0	        Huesca
	        ",0,2,7
"
	        0	        Elche
	        ",0,1,8
"
	        1	        Real Madrid
	        ",1,2,8
"
	        Ath Bilbao
	        ",NA,1,9
"
	        Real Sociedad
	        ",NA,2,9
"
	        Osasuna
	        ",NA,1,10
"
	        Alavés
	        ",NA,2,10
